RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,HOOK_DATA_RETRIES,INIT_EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES
1,2.1095450909999998,0.033553054000000006,30,90,30,10,1658774692091,1658774602091,3,3.2,1,0,0,34759,888786554,1658774739746,0,4
1,2.131687192,0.062647531,30,90,30,20,1658774722091,1658774632091,3,3.2,1,0,0,34789,888750152,1658774769791,1,4
1,2.152782253,0.090383561,30,90,30,30,1658774752091,1658774662091,3,3.2,1,0,0,34819,900818861,1658774799844,2,4
1,2.17286485,0.124079735,30,90,30,40,1658774782091,1658774692091,3,3.2,1,0,0,34849,903111183,1658774829884,3,4
1,2.1856252832,0.119375869,30,90,30,40,1658774812091,1658774722091,3,3.2,1,0,0,34879,907838361,1658774859892,4,4
1,2.2101665556,0.117691965,30,90,30,40,1658774842091,1658774752091,3,3.2,1,0,0,34909,912099519,1658774889892,5,4
1,2.225904619,0.120618108,30,90,30,40,1658774872091,1658774782091,3,3.2,1,0,0,34939,917367385,1658774919898,6,4
1,2.2343927192,0.121706322,30,90,30,40,1658774902091,1658774812091,3,3.2,1,0,0,34969,924954775,1658774949910,7,4
1,2.234619592,0.11779751899999999,30,90,30,40,1658774932091,1658774842091,3,3.2,1,0,0,34999,930226893,1658774979912,8,4
1,2.232897968,0.118864468,30,90,30,40,1658774962091,1658774872091,3,3.2,1,0,0,35029,929305648,1658775009905,9,4
1,2.2327501948,0.11794168999999999,30,90,30,40,1658774992091,1658774902091,3,3.2,1,0,0,35059,933626520,1658775039913,10,4
1,2.2331316584000005,0.118343041,30,90,30,40,1658775022091,1658774932091,3,3.2,1,0,0,35089,938447693,1658775069921,11,4
1,2.2318787290000004,0.11826574499999999,30,90,30,40,1658775052091,1658774962091,3,3.2,1,0,0,35119,942591628,1658775099922,12,4
