RESPONSES,TOTAL_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID
1,2.598169859,15,15,16,1,1654642610672,1654642595672,2590,2600,10,0,1654642630696,1654642631196,1654642633283,0
1,2.5999402799999998,15,15,16,2,1654642625672,1654642610672,2590,2600,10,0,1654642645697,1654642646197,1654642648285,1
1,2.594319352,15,15,16,2,1654642640672,1654642625672,2590,2600,10,0,1654642660698,1654642661199,1654642663282,2
1,2.6086313580000002,15,15,16,2,1654642655672,1654642640672,2590,2600,10,0,1654642675700,1654642676200,1654642678296,3
1,2.611888873,15,15,16,2,1654642670672,1654642655672,2590,2600,10,0,1654642690696,1654642691197,1654642693299,4
1,1.167861801,15,15,16,2,1654642685672,1654642670672,2590,2600,10,0,1654642705697,1654642706197,1654642706855,5
1,1.844919756,15,15,16,2,1654642700672,1654642685672,2590,2600,11,0,1654642720699,1654642721199,1654642722533,6
1,0.743048984,15,15,16,2,1654642715672,1654642700672,2590,2600,11,0,1654642735699,1654642736199,1654642736431,7
1,1.736609381,15,15,16,2,1654642730672,1654642715672,2590,2600,11,0,1654642750698,1654642751198,1654642752424,8
1,2.607000508,15,15,16,2,1654642745672,1654642730672,2590,2600,11,0,1654642765701,1654642766202,1654642768298,9
1,2.6043467220000003,15,15,16,2,1654642760672,1654642745672,2590,2600,11,0,1654642780705,1654642781206,1654642783298,10
1,2.602861445,15,15,16,2,1654642775672,1654642760672,2590,2600,11,0,1654642795706,1654642796207,1654642798298,11
1,0.91686459,15,15,16,2,1654642790672,1654642775672,2590,2600,11,0,1654642810707,1654642811208,1654642811614,12
1,2.0483749419999997,15,15,16,2,1654642805672,1654642790672,2590,2600,11,0,1654642825706,1654642826206,1654642827745,13
1,2.601101749,15,15,16,2,1654642820672,1654642805672,2590,2600,12,0,1654642840708,1654642841209,1654642843298,14
1,1.575100795,15,15,16,2,1654642835672,1654642820672,2590,2600,12,0,1654642855707,1654642856209,1654642857272,15
1,1.5630970339999999,15,15,16,2,1654642850672,1654642835672,2590,2600,12,0,1654642870707,1654642871207,1654642872261,16
1,1.567564859,15,15,16,2,1654642865672,1654642850672,2590,2600,12,0,1654642885708,1654642886209,1654642887266,17
1,0.7616923729999999,15,15,16,2,1654642880672,1654642865672,2590,2600,12,0,1654642900707,1654642901208,1654642901460,18
1,1.5957706539999998,15,15,16,2,1654642895672,1654642880672,2590,2600,12,0,1654642915708,1654642916209,1654642917295,19
1,0.8123505360000001,15,15,16,2,1654642910672,1654642895672,2590,2600,12,0,1654642930712,1654642931212,1654642931511,20
1,0.866903482,15,15,16,2,1654642925672,1654642910672,2590,2600,13,0,1654642945709,1654642946210,1654642946566,21
1,2.6287044500000003,15,15,16,2,1654642940672,1654642925672,2590,2600,13,0,1654642960711,1654642961212,1654642963328,22
