RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES
1,2.314563844,0.03879137,5,30,5,10,1658741642278,1658741612278,3,3.2,2,0,1675,52665309,1658741655115,0,4
1,2.3150117085,0.048468812,5,30,5,10,1658741647278,1658741617278,3,3.2,2,0,1680,54211631,1658741660118,1,4
1,2.315690827,0.10931247000000001,5,30,5,40,1658741652278,1658741622278,3,3.2,2,0,1685,57606731,1658741665123,2,4
1,2.31534060675,0.132646434,5,30,5,50,1658741657278,1658741627278,3,3.2,2,0,1690,58218870,1658741670120,3,4
1,2.3151483692,0.159759476,5,30,5,60,1658741662278,1658741632278,3,3.2,2,0,1695,58463544,1658741675121,4,4
1,2.3181922154,0.188066284,5,30,5,70,1658741667278,1658741637278,3,3.2,2,0,1700,59811056,1658741680138,5,4
1,2.3336709306,0.20988010399999998,5,30,5,80,1658741672278,1658741642278,3,3.2,2,0,1705,60909762,1658741685202,6,4
1,2.3477903857999998,0.220192602,5,30,5,80,1658741677278,1658741647278,3,3.2,2,0,1710,61157270,1658741690197,7,4
1,2.3602072063999997,0.20986949200000002,5,30,5,80,1658741682278,1658741652278,3,3.2,2,0,1715,64196739,1658741695189,8,4
1,2.381243505,0.22941222200000003,5,30,5,80,1658741687278,1658741657278,3,3.2,2,0,1720,61173795,1658741700229,9,4
1,2.3992744586,0.218161691,5,30,5,80,1658741692278,1658741662278,3,3.2,2,0,1725,67745337,1658741705236,10,4
1,2.4013176624,0.221420408,5,30,5,80,1658741697278,1658741667278,3,3.2,2,0,1730,65356977,1658741710216,11,4
1,2.4047895764,0.215191848,5,30,5,80,1658741702278,1658741672278,3,3.2,2,0,1735,72268290,1658741715225,12,4
1,2.4077022026,0.212667317,5,30,5,80,1658741707278,1658741677278,3,3.2,2,0,1740,81209205,1658741720220,13,4
1,2.4063074793999997,0.216806445,5,30,5,80,1658741712278,1658741682278,3,3.2,2,0,1745,63855131,1658741725224,14,4
1,2.4095712074,0.21613766,5,30,5,80,1658741717278,1658741687278,3,3.2,2,0,1750,110073535,1658741730294,15,4
1,2.4117291130000003,0.217034809,5,30,5,80,1658741722278,1658741692278,3,3.2,2,0,1755,70404612,1658741735232,16,4
1,2.4113552032,0.219646673,5,30,5,80,1658741727278,1658741697278,3,3.2,2,0,1760,74063446,1658741740225,17,4
1,2.4105331316000003,0.22026995,5,30,5,80,1658741732278,1658741702278,3,3.2,2,0,1765,75564521,1658741745210,18,4
1,2.4118815858,0.24155632600000002,5,30,5,80,1658741737278,1658741707278,3,3.2,2,0,1770,72944258,1658741750240,19,4
1,2.4088857744,0.22458002999999999,5,30,5,80,1658741742278,1658741712278,3,3.2,2,0,1775,73682302,1658741755243,20,4
1,2.4072063498,0.218538139,5,30,5,80,1658741747278,1658741717278,3,3.2,2,0,1780,92523611,1658741760246,21,4
1,2.4097688796,0.21993572800000002,5,30,5,80,1658741752278,1658741722278,3,3.2,2,0,1785,78684419,1658741765243,22,4
1,2.4119666868,0.213579169,5,30,5,80,1658741757278,1658741727278,3,3.2,2,0,1790,75350658,1658741770221,23,4
1,2.417562232,0.217656443,5,30,5,80,1658741762278,1658741732278,3,3.2,2,0,1795,129476433,1658741775325,24,4
1,2.4139318784,0.21713871499999998,5,30,5,80,1658741767278,1658741737278,3,3.2,2,0,1800,74278546,1658741780226,25,4
