RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES
1,1.55073022,0.03216091,15,30,15,10,1657545404909,1657545374909,3,3.2,8,0,1657545424937,1657545425437,1657545426475,0,4
1,1.57233022,0.086715743,15,30,15,30,1657545419909,1657545389909,3,3.2,8,0,1657545439939,1657545440439,1657545441497,1,4
1,1.5682757509999998,0.087074713,15,30,15,30,1657545434909,1657545404909,3,3.2,8,0,1657545454942,1657545455442,1657545456493,2,4
1,1.6302576340000001,0.091251272,15,30,15,30,1657545449909,1657545419909,3,3.2,8,0,1657545469938,1657545470438,1657545471554,3,4
1,1.538967048,0.085400753,15,30,15,30,1657545464909,1657545434909,3,3.2,8,0,1657545484937,1657545485437,1657545486463,4,4
1,1.587736975,0.085583133,15,30,15,30,1657545479909,1657545449909,3,3.2,8,0,1657545499939,1657545500439,1657545501512,5,4
1,0.880424409,0.08770423,15,30,15,30,1657545494909,1657545464909,3,3.2,8,0,1657545514939,1657545515440,1657545515805,6,4
1,1.554133231,0.08932386099999999,15,30,15,30,1657545509909,1657545479909,3,3.2,9,0,1657545529938,1657545530439,1657545531478,7,4
1,1.533069683,0.087797976,15,30,15,30,1657545524909,1657545494909,3,3.2,9,0,1657545544943,1657545545443,1657545546458,8,4
1,1.5677403810000001,0.09011701899999999,15,30,15,30,1657545539909,1657545509909,3,3.2,9,0,1657545559942,1657545560442,1657545561493,9,4
1,1.537063034,0.08661886199999999,15,30,15,30,1657545554909,1657545524909,3,3.2,9,0,1657545574944,1657545575444,1657545576463,10,4
1,1.5969774829999999,0.085380102,15,30,15,30,1657545569909,1657545539909,3,3.2,9,0,1657545589939,1657545590439,1657545591523,11,4
1,1.57663374,0.086694413,15,30,15,30,1657545584909,1657545554909,3,3.2,9,0,1657545604940,1657545605440,1657545606503,12,4
1,1.568919629,0.086418304,15,30,15,30,1657545599909,1657545569909,3,3.2,9,0,1657545619941,1657545620442,1657545621496,13,4
1,1.565635147,0.083781757,15,30,15,30,1657545614909,1657545584909,3,3.2,10,0,1657545634941,1657545635442,1657545636493,14,4
1,1.563531626,0.087314615,15,30,15,30,1657545629909,1657545599909,3,3.2,10,0,1657545649944,1657545650445,1657545651492,15,4
1,1.55440356,0.087769902,15,30,15,30,1657545644909,1657545614909,3,3.2,10,0,1657545664942,1657545665442,1657545666483,16,4
1,1.6009119390000002,0.08869866600000001,15,30,15,30,1657545659909,1657545629909,3,3.2,10,0,1657545679943,1657545680444,1657545681531,17,4
1,1.583255214,0.088241014,15,30,15,30,1657545674909,1657545644909,3,3.2,10,0,1657545694949,1657545695449,1657545696513,18,4
1,1.704388643,0.091341617,15,30,15,30,1657545689909,1657545659909,3,3.2,10,0,1657545709944,1657545710445,1657545711635,19,4
1,1.611972553,0.085865753,15,30,15,30,1657545704909,1657545674909,3,3.2,10,0,1657545724946,1657545725446,1657545726543,20,4
1,1.5572813289999998,0.08692804200000001,15,30,15,30,1657545719909,1657545689909,3,3.2,10,0,1657545739946,1657545740447,1657545741489,21,4
