MIN,MAX,MEAN,STDEV,NUMBER_ESC_RUNNING
0.9631624369999999,2.669686863,0.8932743848333334,0.8015906683401004,1
0.830753183,2.855940787,1.3588969464444443,0.8328259850926157,2
0.908080437,2.79719671,1.6719711318541666,0.7458307615347509,3
1.567436979,2.7703468790000003,1.72845066488,0.6407954671628155,4
0.9430055119999999,2.777042489,1.586347697402778,0.6278614164004696,5
0.953193682,2.8152525300000004,1.611941245345238,0.6045861548541765,6
1.535586041,2.79981751,1.9203396544846068,0.5049382010291464,7
100,0,0,0,6
100,0,0,0,5
100,0,0,0,4
100,0,0,0,3
100,0,0,0,2
100,0,0,0,1
