RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID
1,1.4571089799999999,0.06307842500000001,15,50,15,20,1655408954236,1655408904236,2.5,3,5,0,1655408974316,1655408974816,1655408975761,0
1,1.5001640330000001,0.19493412699999998,15,37.5,15,60,1655408969236,1655408931736,2.5,3,5,0,1655408989324,1655408989824,1655408990805,1
1,1.4870352009999999,0.223596162,15,28.125,15,60,1655408984236,1655408956111,2.5,3,5,0,1655409004337,1655409004837,1655409005794,2
1,1.552655065,0.227801064,15,21.09375,15,60,1655408999236,1655408978142.25,2.5,3,6,0,1655409019326,1655409019826,1655409020858,3
1,1.460976825,0.117518129,15,15.8203125,15,40,1655409014236,1655408998415.6875,2.5,3,6,0,1655409034321,1655409034822,1655409035767,4
1,1.4698759259999998,0.12832541800000002,15,15.8203125,15,40,1655409029236,1655409013415.6875,2.5,3,6,0,1655409049320,1655409049820,1655409050775,5
1,1.559757004,0.14645272499999998,15,15.8203125,15,40,1655409044236,1655409028415.6875,2.5,3,7,0,1655409064322,1655409064823,1655409065866,6
1,1.0827930469999998,0.144776432,15,15.8203125,15,40,1655409059236,1655409043415.6875,2.5,3,7,0,1655409079322,1655409079824,1655409080391,7
1,1.558018753,0.14397322399999998,15,15.8203125,15,40,1655409074236,1655409058415.6875,2.5,3,7,0,1655409094325,1655409094825,1655409095867,8
1,0.812754533,0.15699842,15,15.8203125,15,40,1655409089236,1655409073415.6875,2.5,3,7,0,1655409109325,1655409109826,1655409110124,9
1,1.604939495,0.169765293,15,15.8203125,15,40,1655409104236,1655409088415.6875,2.5,3,8,0,1655409124330,1655409124832,1655409125916,10
1,1.500669222,0.16893634,15,15.8203125,15,40,1655409119236,1655409103415.6875,2.5,3,8,0,1655409139325,1655409139826,1655409140812,11
1,1.5932721699999999,0.143879852,15,15.8203125,15,40,1655409134236,1655409118415.6875,2.5,3,8,0,1655409154326,1655409154827,1655409155905,12
1,1.594500056,0.210606548,15,15.8203125,15,40,1655409149236,1655409133415.6875,2.5,3,9,0,1655409169325,1655409169828,1655409170907,13
1,1.498788256,0.16737369000000002,15,15.8203125,15,40,1655409164236,1655409148415.6875,2.5,3,9,0,1655409184327,1655409184829,1655409185811,14
1,1.584962372,0.164338648,15,15.8203125,15,40,1655409179236,1655409163415.6875,2.5,3,9,0,1655409199326,1655409199828,1655409200897,15
1,0.948173469,0.167491578,15,15.8203125,15,40,1655409194236,1655409178415.6875,2.5,3,9,0,1655409214328,1655409214828,1655409215260,16
1,1.6762270590000001,0.181368425,15,15.8203125,15,40,1655409209236,1655409193415.6875,2.5,3,10,0,1655409229326,1655409229829,1655409230989,17
1,1.534436688,0.16779257,15,15.8203125,15,40,1655409224236,1655409208415.6875,2.5,3,10,0,1655409244328,1655409244831,1655409245849,18
1,1.540322974,0.16926365200000001,15,15.8203125,15,40,1655409239236,1655409223415.6875,2.5,3,10,0,1655409259330,1655409259832,1655409260855,19
1,1.5793098769999998,0.159756124,15,15.8203125,15,40,1655409254236,1655409238415.6875,2.5,3,11,0,1655409274333,1655409274834,1655409275896,20
1,1.804529585,0.22457189700000002,15,15.8203125,15,40,1655409269236,1655409253415.6875,2.5,3,11,0,1655409289330,1655409289833,1655409291122,21
1,1.6271582089999999,0.17744850099999998,15,15.8203125,15,40,1655409284236,1655409268415.6875,2.5,3,11,0,1655409304332,1655409304833,1655409305945,22
1,1.6410724829999999,0.209626474,15,15.8203125,15,40,1655409299236,1655409283415.6875,2.5,3,11,0,1655409319331,1655409319831,1655409320958,23
1,1.775787376,0.24185208700000002,15,15.8203125,15,40,1655409314236,1655409298415.6875,2.5,3,12,0,1655409334332,1655409334834,1655409336093,24
1,1.848450668,0.181443286,15,15.8203125,15,40,1655409329236,1655409313415.6875,2.5,3,12,0,1655409349331,1655409349831,1655409351167,25
1,1.6820382839999999,0.211408265,15,15.8203125,15,40,1655409344236,1655409328415.6875,2.5,3,12,0,1655409364335,1655409364834,1655409366001,26
1,1.049177986,0.175018688,15,15.8203125,15,40,1655409359236,1655409343415.6875,2.5,3,12,0,1655409379334,1655409379834,1655409380370,27
1,1.665687967,0.239576526,15,15.8203125,15,40,1655409374236,1655409358415.6875,2.5,3,13,0,1655409394336,1655409394836,1655409395986,28
1,1.5881659460000002,0.20850227799999999,15,15.8203125,15,40,1655409389236,1655409373415.6875,2.5,3,13,0,1655409409334,1655409409835,1655409410910,29
1,1.576834007,0.18883749,15,15.8203125,15,40,1655409404236,1655409388415.6875,2.5,3,13,0,1655409424335,1655409424838,1655409425898,30
1,1.655207838,0.222833111,15,15.8203125,15,40,1655409419236,1655409403415.6875,2.5,3,14,0,1655409439335,1655409439836,1655409440976,31
1,1.662574446,0.228275239,15,15.8203125,15,40,1655409434236,1655409418415.6875,2.5,3,14,0,1655409454334,1655409454838,1655409455984,32
1,1.6717072530000001,0.188486514,15,15.8203125,15,40,1655409449236,1655409433415.6875,2.5,3,14,0,1655409469334,1655409469836,1655409470993,33
1,1.584598627,0.21938427200000002,15,15.8203125,15,40,1655409464236,1655409448415.6875,2.5,3,14,0,1655409484336,1655409484838,1655409485907,34
1,1.6414241239999998,0.20161093600000002,15,15.8203125,15,40,1655409479236,1655409463415.6875,2.5,3,15,0,1655409499337,1655409499839,1655409500964,35
1,2.1937310240000003,0.20800423799999998,15,15.8203125,15,40,1655409494236,1655409478415.6875,2.5,3,15,0,1655409514337,1655409514837,1655409516517,36
1,1.672255574,0.182029218,15,15.8203125,15,40,1655409509236,1655409493415.6875,2.5,3,15,0,1655409529350,1655409529850,1655409530996,37
1,1.6681485459999998,0.191894939,15,15.8203125,15,40,1655409524236,1655409508415.6875,2.5,3,15,0,1655409544344,1655409544845,1655409545993,38
1,1.6630654790000001,0.195688791,15,15.8203125,15,40,1655409539236,1655409523415.6875,2.5,3,15,0,1655409559343,1655409559843,1655409560987,39
