RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES
1,2.113959816,0.035165,5,30,5,10,1658741289254,1658741259254,3,3.2,1,0,1322,45536752,1658741301908,0,4
1,2.1128496859999997,0.034558601,5,30,5,10,1658741294254,1658741264254,3,3.2,1,0,1327,47985555,1658741306908,1,4
1,2.154564838333333,0.12477728399999999,5,30,5,40,1658741299254,1658741269254,3,3.2,1,0,1332,50155946,1658741312036,2,4
1,2.18438466075,0.14803622100000002,5,30,5,50,1658741304254,1658741274254,3,3.2,1,0,1337,50173554,1658741317072,3,4
1,2.2049422126000002,0.157448482,5,30,5,60,1658741309254,1658741279254,3,3.2,1,0,1342,56784914,1658741322092,4,4
1,2.2481346264,0.196792037,5,30,5,70,1658741314254,1658741284254,3,3.2,1,0,1347,54294801,1658741327132,5,4
1,2.3020923506,0.220662795,5,30,5,80,1658741319254,1658741289254,3,3.2,1,0,1352,61455826,1658741332191,6,4
1,2.3325599606000003,0.22958318700000002,5,30,5,80,1658741324254,1658741294254,3,3.2,1,0,1357,60330710,1658741337199,7,4
1,2.3521396158,0.217079867,5,30,5,80,1658741329254,1658741299254,3,3.2,1,0,1362,58107088,1658741342178,8,4
1,2.3748509452,0.260395465,5,30,5,80,1658741334254,1658741304254,3,3.2,1,0,1367,58335597,1658741347207,9,4
1,2.3833752382,0.21400688299999998,5,30,5,80,1658741339254,1658741309254,3,3.2,1,0,1372,61167632,1658741352182,10,4
1,2.3825876496,0.22844034400000002,5,30,5,80,1658741344254,1658741314254,3,3.2,1,0,1377,62512869,1658741357188,11,4
1,2.3909107642,0.260022372,5,30,5,80,1658741349254,1658741319254,3,3.2,1,0,1382,58280059,1658741362238,12,4
1,2.3927121060000003,0.23176252400000003,5,30,5,80,1658741354254,1658741324254,3,3.2,1,0,1387,65552112,1658741367194,13,4
1,2.385124964,0.207493673,5,30,5,80,1658741359254,1658741329254,3,3.2,1,0,1392,62392718,1658741372173,14,4
1,2.386057442,0.22379581099999998,5,30,5,80,1658741364254,1658741334254,3,3.2,1,0,1397,65502130,1658741377191,15,4
