NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA
4+0+20,554790000915528+[0;0;0;0]+0+8+1800
4+3858+106,90358200073243+[0,582;0,538;0,519;0,504]+0,5357500000000001+8+1800
4+3938+113,31325499725342+[0,596;0,545;0,531;0,516]+0,547+8+1800
4+4020+107,16976000213623+[0,604;0,561;0,544;0,524]+0,55825+8+1800
4+4120+98,44234799957276+[0,621;0,574;0,555;0,539]+0,57225+8+1800
4+4192+104,93372399902344+[0,632;0,588;0,564;0,545]+0,5822499999999999+8+1800
4+4305+109,23074200439453+[0,648;0,603;0,583;0,557]+0,59775+8+1800
4+4402+108,42348000335693+[0,655;0,618;0,599;0,573]+0,6112500000000001+8+1800
4+4497+104,09210500335693+[0,671;0,626;0,616;0,586]+0,62475+8+1800
4+4504+103,8156909942627+[0,674;0,624;0,613;0,591]+0,6255+8+1800
4+4586+108,31242700195313+[0,688;0,635;0,625;0,599]+0,6367499999999999+8+1800
4+4647+105,44587599945068+[0,7;0,646;0,63;0,606]+0,6455+8+1800
4+4702+100,7242559967041+[0,708;0,656;0,634;0,614]+0,6529999999999999+8+1800
4+4760+114,79046100616455+[0,713;0,668;0,642;0,622]+0,66125+8+1800
4+4802+101,94479000091553+[0,717;0,677;0,648;0,625]+0,6667500000000001+8+1800
4+4838+97,84961600494385+[0,722;0,676;0,662;0,627]+0,6717500000000001+8+1800
4+4884+107,94656399536133+[0,729;0,681;0,674;0,629]+0,67825+8+1800
4+4881+104,69971100616455+[0,728;0,685;0,667;0,631]+0,6777500000000001+8+1800
4+4923+92,11647699737549+[0,733;0,689;0,671;0,642]+0,68375+8+1800
4+5027+92,11647699737549+[0,746;0,703;0,686;0,658]+0,6982499999999999+8+1800
4+5047+111,4395119934082+[0,752;0,706;0,686;0,659]+0,70075+8+1800
4+5052+105,5738809967041+[0,753;0,705;0,693;0,656]+0,70175+8+1800
4+5067+132,7477389984131+[0,755;0,708;0,693;0,659]+0,7037500000000001+8+1800
4+5157+132,7477389984131+[0,768;0,717;0,707;0,673]+0,7162499999999999+8+1800
4+5170+107,8331010055542+[0,767;0,721;0,706;0,678]+0,718+8+1800
4+5193+119,43778099822998+[0,772;0,728;0,703;0,682]+0,72125+8+1800
4+5249+119,43778099822998+[0,78;0,737;0,709;0,69]+0,729+8+1800
4+5263+106,86964500427246+[0,783;0,737;0,718;0,686]+0,731+8+1800
4+5251+94,12286100006104+[0,779;0,736;0,718;0,684]+0,7292500000000001+8+1800
4+5287+94,12286100006104+[0,786;0,741;0,722;0,689]+0,7345+8+1800
4+5295+99,55252899932862+[0,788;0,746;0,719;0,688]+0,73525+8+1800
4+5328+99,55252899932862+[0,791;0,748;0,726;0,694]+0,73975+8+1800
4+5326+101,02462799835205+[0,789;0,751;0,724;0,694]+0,7395+8+1800
4+5364+101,02462799835205+[0,794;0,753;0,733;0,699]+0,74475+8+1800
4+5355+100,99715299987793+[0,792;0,748;0,734;0,701]+0,74375+8+1800
4+5343+93,51998600006104+[0,794;0,746;0,731;0,697]+0,742+8+1800
4+5401+93,51998600006104+[0,803;0,753;0,74;0,705]+0,7502500000000001+8+1800
4+5379+91,20766199493409+[0,796;0,751;0,737;0,704]+0,7470000000000001+8+1800
4+5445+91,20766199493409+[0,804;0,763;0,744;0,713]+0,756+8+1800
4+5384+102,0105540008545+[0,796;0,756;0,736;0,703]+0,74775+8+1800
4+5429+102,0105540008545+[0,803;0,761;0,745;0,708]+0,7542500000000001+8+1800
4+5399+93,08335900115966+[0,799;0,758;0,737;0,706]+0,75+8+1800
4+5446+93,08335900115966+[0,805;0,766;0,741;0,714]+0,7565000000000001+8+1800
4+5413+89,5733989944458+[0,802;0,76;0,741;0,704]+0,7517499999999999+8+1800
4+5428+89,5733989944458+[0,803;0,763;0,744;0,705]+0,75375+8+1800
4+5480+89,5733989944458+[0,811;0,77;0,752;0,712]+0,76125+8+1800
4+5429+80,63221700286866+[0,802;0,762;0,743;0,709]+0,754+8+1800
4+5481+80,63221700286866+[0,807;0,771;0,752;0,716]+0,7615000000000001+8+1800
4+5421+81,42415900421143+[0,797;0,764;0,743;0,708]+0,7529999999999999+8+1800
4+5465+81,42415900421143+[0,805;0,767;0,75;0,714]+0,759+8+1800
4+5379+83,35397899627685+[0,793;0,757;0,736;0,703]+0,74725+8+1800
4+5421+83,35397899627685+[0,799;0,762;0,741;0,709]+0,75275+8+1800
4+5437+83,35397899627685+[0,802;0,764;0,743;0,712]+0,75525+8+1800
4+5333+85,06850800323487+[0,795;0,752;0,723;0,693]+0,74075+8+1800
4+5370+85,06850800323487+[0,802;0,757;0,728;0,697]+0,746+8+1800
4+5235+81,64100499725342+[0,788;0,74;0,707;0,673]+0,727+8+1800
4+5244+81,64100499725342+[0,789;0,741;0,708;0,675]+0,7282500000000001+8+1800
4+5289+81,64100499725342+[0,799;0,747;0,714;0,678]+0,7344999999999999+8+1800
4+5192+80,58685399627686+[0,782;0,732;0,702;0,669]+0,7212500000000001+8+1800
4+5212+80,58685399627686+[0,784;0,735;0,704;0,672]+0,72375+8+1800
4+5248+80,58685399627686+[0,789;0,74;0,71;0,676]+0,72875+8+1800
4+5117+77,29617400360108+[0,777;0,719;0,69;0,657]+0,71075+8+1800
4+5156+77,29617400360108+[0,781;0,726;0,699;0,659]+0,71625+8+1800
4+5034+68,91608000183105+[0,76;0,715;0,672;0,649]+0,6990000000000001+8+1800
4+5049+68,91608000183105+[0,761;0,716;0,674;0,653]+0,701+8+1800
4+5096+68,91608000183105+[0,769;0,723;0,681;0,658]+0,70775+8+1800
4+4958+72,43442699432373+[0,749;0,703;0,664;0,638]+0,6885+8+1800
4+4986+72,43442699432373+[0,752;0,707;0,671;0,639]+0,69225+8+1800
4+5017+72,43442699432373+[0,754;0,711;0,676;0,646]+0,69675+8+1800
4+4775+71,67627500152588+[0,69;0,68;0,661;0,622]+0,66325+8+1800
4+4800+71,67627500152588+[0,693;0,683;0,664;0,626]+0,6665+8+1800
4+4831+71,67627500152588+[0,694;0,688;0,671;0,631]+0,671+8+1800
4+4863+71,67627500152588+[0,697;0,694;0,677;0,634]+0,6755+8+1800
4+4511+56,6268690032959+[0,628;0,632;0,636;0,61]+0,6265+8+1800
4+4531+56,6268690032959+[0,629;0,633;0,639;0,615]+0,629+8+1800
4+4560+56,6268690032959+[0,632;0,637;0,644;0,621]+0,6335000000000001+8+1800
4+4179+56,98087200164795+[0,574;0,581;0,587;0,58]+0,5804999999999999+8+1800
4+4192+56,98087200164795+[0,576;0,582;0,589;0,582]+0,5822499999999999+8+1800
4+4198+56,98087200164795+[0,576;0,583;0,591;0,582]+0,583+8+1800
