NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA
4,100,153.96561698913575,[0.59;0.807;0.932;0.776],0.7762500000000001,8,32
4,95,185.6749580078125,[0.498;0.715;0.871;0.871],0.73875,8,32
4,83,203.53305799865723,[0.28;0.653;0.746;0.902],0.64525,8,32
4,78,228.02552299499513,[0.093;0.652;0.683;0.993],0.60525,8,32
4,55,208.74796699523927,[0.031;0.466;0.466;0.746],0.42725,8,32
4,46,211.78076599121093,[0;0.309;0.526;0.588],0.35575,8,32
4,36,223.18608500671388,[0;0.155;0.496;0.465],0.279,8,32
4,29,189.64322200012208,[0;0.062;0.498;0.342],0.22550000000000003,8,32
4,28,201.80549800109864,[0;0.031;0.435;0.404],0.2175,8,32
8,19,139.17884199523925,[0.093;0;0.093;0.062;0.062;0.093;0.124;0.062],0.073625,8,32
8,50,130.3117019958496,[0.373;0.186;0.124;0.217;0.155;0.093;0.155;0.248],0.193875,8,32
8,81,170.52919200134278,[0.621;0.373;0.217;0.28;0.28;0.28;0.217;0.249],0.31462500000000004,8,32
8,120,198.55060900878905,[0.838;0.652;0.466;0.466;0.31;0.373;0.342;0.279],0.46575000000000005,8,32
8,140,241.4910240020752,[0.995;0.777;0.622;0.529;0.466;0.311;0.311;0.342],0.544125,8,32
8,155,243.32050399780275,[0.807;0.931;0.776;0.621;0.528;0.528;0.342;0.279],0.6015,8,32
8,157,294.1507180023193,[0.653;0.777;0.777;0.715;0.653;0.528;0.466;0.311],0.61,8,32
8,173,260.6868880004883,[0.711;0.68;0.835;0.742;0.804;0.618;0.557;0.402],0.6686250000000001,8,32
8,170,306.2399299926758,[0.56;0.746;0.684;0.808;0.715;0.777;0.529;0.466],0.660625,8,32
8,172,254.2566139984131,[0.59;0.528;0.777;0.652;0.808;0.714;0.746;0.528],0.6678750000000002,8,32
8,168,358.0707400054932,[0.404;0.528;0.684;0.715;0.777;0.746;0.746;0.622],0.6527499999999999,8,32
8,164,423.3315820007324,[0.465;0.527;0.527;0.713;0.651;0.713;0.682;0.806],0.6355000000000001,8,32
8,151,449.0843309936523,[0.498;0.373;0.498;0.498;0.684;0.684;0.746;0.715],0.5870000000000001,8,32
8,148,405.7972180023193,[0.59;0.497;0.373;0.466;0.559;0.683;0.652;0.776],0.5745,8,32
8,132,453.96273500061034,[0.652;0.497;0.28;0.404;0.404;0.559;0.652;0.652],0.5125000000000001,8,32
8,136,458.3578569946289,[0.651;0.62;0.496;0.31;0.465;0.496;0.589;0.589],0.5269999999999999,8,32
8,139,506.13552299499514,[0.777;0.715;0.591;0.404;0.342;0.435;0.497;0.56],0.540125,8,32
8,148,1150.6987859954834,[0.931;0.745;0.714;0.528;0.435;0.342;0.435;0.466],0.5745,8,32
8,158,552.2545849914551,[0.964;0.839;0.87;0.559;0.528;0.404;0.311;0.435],0.61375,8,32
8,181,530.6694680023194,[0.93;0.992;0.93;0.899;0.558;0.496;0.403;0.403],0.7013750000000001,8,32
8,186,579.6084669952393,[0.839;0.839;0.995;0.839;0.839;0.56;0.466;0.404],0.722625,8,32
8,200,574.60124899292,[0.653;0.932;0.901;0.994;0.87;0.839;0.59;0.435],0.7767499999999999,8,32
8,201,626.4389620056153,[0.559;0.746;0.808;0.932;0.994;0.87;0.777;0.559],0.7806250000000001,8,32
8,201,602.9013779907226,[0.403;0.59;0.838;0.807;0.993;0.962;0.869;0.776],0.7797499999999999,8,32
8,182,655.6644130096436,[0.217;0.497;0.652;0.776;0.838;0.931;0.869;0.869],0.706125,8,32
8,157,659.691983001709,[0.062;0.279;0.559;0.652;0.652;0.776;0.931;0.962],0.609125,8,32
8,130,694.646112991333,[0;0.124;0.372;0.651;0.527;0.713;0.713;0.931],0.5038750000000001,8,32
8,104,1210.2186629943847,[0;0.031;0.155;0.465;0.62;0.496;0.713;0.744],0.403,8,32
8,85,1138.0360769958495,[0;0;0.093;0.311;0.559;0.59;0.466;0.621],0.33,8,32
8,69,1070.5481829986572,[0;0;0.031;0.155;0.495;0.526;0.433;0.495],0.26687500000000003,8,32
8,55,1222.6077590026855,[0;0;0.031;0.062;0.342;0.497;0.435;0.342],0.213625,8,32
8,46,690.0923150024414,[0;0;0;0.031;0.124;0.432;0.432;0.401],0.1775,8,32
16,48,269.06803800964354,[0.275;0.092;0.092;0;0.031;0.092;0.153;0.061;0.122;0.061;0.031;0.061;0.092;0.153;0.092;0.061],0.0918125,8,32
16,112,289.4766119995117,[0.488;0.366;0.366;0.183;0.061;0.122;0.213;0.213;0.244;0.152;0.183;0.061;0.152;0.152;0.213;0.244],0.21331250000000002,8,32
16,180,856.029910003662,[0.67;0.609;0.579;0.427;0.305;0.305;0.305;0.274;0.274;0.274;0.305;0.244;0.213;0.213;0.244;0.244],0.34281249999999996,8,32
16,261,920.8589060058594,[0.941;0.82;0.759;0.668;0.546;0.455;0.516;0.455;0.395;0.304;0.334;0.334;0.425;0.334;0.364;0.273],0.4951874999999999,8,32
16,292,955.5682510070801,[0.803;0.989;0.896;0.834;0.711;0.618;0.618;0.525;0.463;0.463;0.402;0.309;0.34;0.309;0.402;0.34],0.563875,8,32
16,307,1250.2797709960937,[0.706;0.798;0.798;0.921;0.798;0.737;0.706;0.614;0.583;0.491;0.43;0.522;0.399;0.338;0.307;0.276],0.589,8,32
16,331,1222.0755660095215,[0.703;0.764;0.703;0.764;0.825;0.764;0.795;0.703;0.642;0.611;0.581;0.52;0.489;0.459;0.428;0.367],0.6323750000000001,8,32
16,342,1399.3209340057374,[0.585;0.738;0.708;0.677;0.708;0.8;0.831;0.738;0.738;0.8;0.677;0.615;0.492;0.554;0.431;0.431],0.6576874999999999,8,32
16,345,1346.912540008545,[0.58;0.55;0.642;0.733;0.703;0.672;0.672;0.794;0.794;0.703;0.703;0.764;0.642;0.55;0.55;0.489],0.6588125000000001,8,32
16,346,1663.6928049926757,[0.551;0.582;0.52;0.52;0.735;0.765;0.704;0.643;0.735;0.796;0.704;0.704;0.704;0.735;0.643;0.551],0.662,8,32
16,343,1432.2368040008546,[0.55;0.427;0.55;0.55;0.519;0.702;0.733;0.702;0.733;0.763;0.641;0.733;0.733;0.794;0.702;0.641],0.6545624999999999,8,32
16,322,2003.548816986084,[0.486;0.425;0.395;0.516;0.547;0.516;0.547;0.698;0.729;0.638;0.759;0.698;0.638;0.668;0.729;0.79],0.6111875,8,32
16,304,1755.165699005127,[0.548;0.488;0.457;0.396;0.427;0.488;0.488;0.488;0.609;0.67;0.731;0.67;0.64;0.731;0.701;0.731],0.5789375,8,32
16,296,1925.654335998535,[0.671;0.61;0.518;0.488;0.305;0.366;0.427;0.488;0.488;0.549;0.64;0.671;0.701;0.64;0.701;0.762],0.5640625,8,32
16,270,1923.076830001831,[0.577;0.668;0.607;0.486;0.486;0.273;0.304;0.395;0.455;0.395;0.577;0.547;0.607;0.638;0.547;0.638],0.5125,8,32
16,272,2040.1039969940186,[0.732;0.671;0.702;0.61;0.549;0.427;0.336;0.305;0.366;0.427;0.366;0.488;0.58;0.549;0.641;0.549],0.518625,8,32
16,287,2212.8905809936523,[0.822;0.822;0.731;0.731;0.67;0.578;0.578;0.396;0.365;0.335;0.335;0.426;0.426;0.487;0.487;0.548],0.5460625,8,32
16,296,2018.0878840026855,[0.885;0.824;0.824;0.702;0.854;0.641;0.58;0.519;0.488;0.397;0.366;0.336;0.336;0.427;0.427;0.427],0.5645625,8,32
16,318,2318.5591240081785,[0.877;0.938;0.908;0.787;0.696;0.817;0.817;0.514;0.545;0.484;0.424;0.363;0.333;0.303;0.393;0.424],0.6014375000000001,8,32
16,323,2176.360121002197,[0.763;0.824;0.854;0.915;0.824;0.824;0.763;0.732;0.641;0.458;0.488;0.458;0.336;0.397;0.244;0.336],0.6160625000000001,8,32
16,385,2447.014613998413,[0.787;0.817;0.938;0.817;0.878;0.968;0.968;0.817;0.847;0.787;0.666;0.545;0.575;0.454;0.393;0.393],0.7281250000000001,8,32
16,384,2543.176851989746,[0.547;0.639;0.73;0.912;0.76;0.882;0.973;0.882;0.852;0.821;0.791;0.76;0.578;0.578;0.547;0.426],0.7298749999999999,8,32
16,397,2580.843388000488,[0.457;0.548;0.609;0.731;0.823;0.792;0.762;0.914;0.975;0.914;0.883;0.853;0.792;0.792;0.701;0.548],0.7558749999999999,8,32
16,357,2720.412289001465,[0.211;0.391;0.542;0.542;0.632;0.662;0.722;0.692;0.843;0.933;0.903;0.812;0.812;0.782;0.662;0.602],0.6714375000000001,8,32
16,308,2551.1756390075684,[0.061;0.214;0.275;0.458;0.488;0.58;0.549;0.702;0.611;0.733;0.824;0.885;0.855;0.733;0.763;0.672],0.5876875,8,32
16,282,3064.810539001465,[0;0.06;0.181;0.271;0.392;0.512;0.602;0.602;0.572;0.633;0.693;0.753;0.693;0.874;0.843;0.813],0.530875,8,32
16,224,2910.573977996826,[0;0;0.03;0.091;0.182;0.334;0.486;0.578;0.517;0.426;0.547;0.669;0.639;0.669;0.76;0.882],0.42562500000000003,8,32
16,186,2942.9893730010986,[0;0;0;0.03;0.09;0.151;0.332;0.452;0.573;0.512;0.422;0.452;0.573;0.663;0.633;0.724],0.3504375,8,32
16,148,3473.2759339904787,[0;0;0;0;0.03;0.091;0.152;0.304;0.457;0.487;0.457;0.487;0.426;0.457;0.578;0.578],0.2815,8,32
16,116,3350.8032989959715,[0;0;0;0;0;0.031;0.061;0.154;0.307;0.491;0.43;0.461;0.43;0.368;0.368;0.461],0.222625,8,32
16,102,3339.4884049987795,[0;0;0;0;0;0.031;0.031;0.061;0.153;0.336;0.459;0.489;0.428;0.428;0.367;0.336],0.19493749999999999,8,32
16,78,3082.214899002075,[0;0;0;0;0;0;0.03;0.03;0.061;0.091;0.213;0.426;0.426;0.426;0.335;0.335],0.14831249999999999,8,32
1,2,246.8560830078125,[0.062],0.062,8,32
1,6,48.172101989746096,[0.186],0.186,8,32
1,7,10.958096984863282,[0.218],0.218,8,32
1,7,14.747852996826172,[0.218],0.218,8,32
1,10,12.055833984375,[0.311],0.311,8,32
1,9,13.978802001953126,[0.28],0.28,8,32
1,10,13.829847991943359,[0.311],0.311,8,32
1,14,12.186476989746094,[0.435],0.435,8,32
1,14,15.093126007080079,[0.435],0.435,8,32
1,18,17.369498992919922,[0.56],0.56,8,32
1,21,16.222200988769533,[0.653],0.653,8,32
1,26,18.728085998535157,[0.809],0.809,8,32
1,23,15.823235015869141,[0.715],0.715,8,32
1,24,14.555821990966797,[0.746],0.746,8,32
1,21,15.71240200805664,[0.653],0.653,8,32
1,16,15.465493988037109,[0.498],0.498,8,32
1,18,14.477579986572266,[0.56],0.56,8,32
1,14,19.335296997070312,[0.435],0.435,8,32
1,14,15.787985015869141,[0.435],0.435,8,32
1,13,18.00089599609375,[0.404],0.404,8,32
1,13,18.30997198486328,[0.404],0.404,8,32
1,14,21.67914599609375,[0.435],0.435,8,32
1,18,21.563057006835937,[0.56],0.56,8,32
1,23,18.7109049987793,[0.715],0.715,8,32
1,28,18.508119018554687,[0.871],0.871,8,32
1,31,19.256003997802733,[0.964],0.964,8,32
1,30,20.3607080078125,[0.933],0.933,8,32
1,24,21.72527899169922,[0.746],0.746,8,32
1,20,22.43806201171875,[0.622],0.622,8,32
1,15,20.193628997802733,[0.466],0.466,8,32
1,10,36.68228601074219,[0.311],0.311,8,32
1,12,21.427113006591796,[0.373],0.373,8,32
2,3,53.56512600708008,[0.062;0.031],0.0465,8,32
2,15,17.150942993164062,[0.218;0.249],0.23349999999999999,8,32
2,17,22.22342199707031,[0.279;0.248],0.2635,8,32
2,24,23.942397003173827,[0.466;0.28],0.373,8,32
2,28,29.61842401123047,[0.528;0.342],0.43500000000000005,8,32
2,30,28.769287994384765,[0.653;0.28],0.4665,8,32
2,33,29.92757702636719,[0.715;0.311],0.513,8,32
2,38,34.464976013183595,[0.746;0.435],0.5905,8,32
2,40,38.110625,[0.808;0.435],0.6215,8,32
2,39,29.52288900756836,[0.653;0.56],0.6065,8,32
2,42,27.29797100830078,[0.715;0.591],0.653,8,32
2,46,40.96813000488281,[0.685;0.747],0.716,8,32
2,39,38.11275,[0.497;0.715],0.606,8,32
2,40,43.022865997314454,[0.498;0.746],0.622,8,32
2,34,36.353560974121095,[0.404;0.653],0.5285,8,32
2,26,43.414752990722654,[0.311;0.497],0.404,8,32
2,33,42.26418099975586,[0.466;0.56],0.513,8,32
2,34,43.46959799194336,[0.591;0.466],0.5285,8,32
2,32,41.54937802124024,[0.56;0.435],0.49750000000000005,8,32
2,40,50.786601989746096,[0.902;0.342],0.622,8,32
2,40,40.31493899536133,[0.84;0.404],0.622,8,32
2,42,42.85717202758789,[0.902;0.404],0.653,8,32
2,48,54.58697299194336,[0.933;0.56],0.7465,8,32
2,51,40.99012600708008,[0.807;0.776],0.7915000000000001,8,32
2,53,49.18699200439453,[0.778;0.871],0.8245,8,32
2,48,58.167495025634764,[0.653;0.839],0.746,8,32
2,50,57.65898901367188,[0.653;0.901],0.777,8,32
2,39,65.15303201293945,[0.466;0.746],0.606,8,32
2,29,59.943268005371095,[0.311;0.591],0.45099999999999996,8,32
2,20,62.865255981445316,[0.155;0.466],0.3105,8,32
2,12,65.90656701660156,[0.062;0.311],0.1865,8,32
2,13,63.33147799682617,[0.031;0.373],0.202,8,32
4,7,73.41998001098632,[0;0.093;0.062;0.062],0.05425,8,32
4,20,38.90112698364258,[0.124;0.218;0.093;0.187],0.15549999999999997,8,32
4,39,40.29149798583985,[0.404;0.28;0.28;0.249],0.30325,8,32
4,57,66.49598999023438,[0.653;0.466;0.373;0.28],0.443,8,32
4,65,69.50219799804688,[0.839;0.528;0.311;0.342],0.505,8,32
4,78,75.274875,[0.964;0.653;0.529;0.28],0.6065,8,32
4,72,110.36470397949219,[0.776;0.714;0.435;0.31],0.55875,8,32
4,79,94.2123740234375,[0.653;0.746;0.622;0.435],0.614,8,32
4,89,91.11576101684571,[0.746;0.809;0.715;0.498],0.692,8,32
4,79,93.75690499877929,[0.528;0.652;0.715;0.559],0.6135,8,32
4,82,102.51206201171875,[0.529;0.715;0.684;0.622],0.6375,8,32
4,88,104.38436898803711,[0.528;0.715;0.684;0.808],0.6837500000000001,8,32
4,73,117.71858898925781,[0.373;0.498;0.684;0.715],0.5675,8,32
4,75,109.1390590209961,[0.435;0.466;0.683;0.745],0.58225,8,32
4,67,116.76420101928711,[0.497;0.404;0.528;0.653],0.5205,8,32
4,61,125.04789199829102,[0.621;0.311;0.466;0.497],0.47375,8,32
4,64,139.2925139770508,[0.653;0.404;0.373;0.56],0.4975,8,32
4,66,126.34330099487305,[0.741;0.525;0.34;0.432],0.5095000000000001,8,32
4,72,161.3799349975586,[0.868;0.558;0.372;0.434],0.558,8,32
4,90,148.31165798950195,[0.995;0.901;0.497;0.404],0.6992499999999999,8,32
4,82,155.75959899902344,[0.839;0.839;0.466;0.404],0.637,8,32
4,95,162.5660119934082,[0.933;0.902;0.715;0.404],0.7384999999999999,8,32
4,96,181.06591299438477,[0.714;0.931;0.776;0.559],0.7450000000000001,8,32
4,94,190.61613900756836,[0.589;0.744;0.806;0.775],0.7285,8,32
4,99,169.78829400634766,[0.497;0.777;0.932;0.87],0.769,8,32
4,84,168.62341000366212,[0.28;0.653;0.777;0.901],0.6527499999999999,8,32
4,77,205.06199401855469,[0.093;0.652;0.714;0.931],0.5975,8,32
4,56,191.14861700439454,[0.031;0.466;0.497;0.746],0.435,8,32
4,47,204.353083984375,[0;0.31;0.528;0.621],0.36475,8,32
4,37,232.17521502685548,[0;0.155;0.497;0.497],0.28725,8,32
4,30,219.6179889831543,[0;0.062;0.497;0.373],0.23299999999999998,8,32
4,27,204.4613330078125,[0;0.031;0.435;0.373],0.20975,8,32
