NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+29,22806900024414+[0;0;0;0]+0+8+1800+1+20
4+935+93,79814400100707+[0,129;0,126;0,135;0,129]+0,12975+8+1800+1+1840
4+953+99,79257900047303+[0,133;0,129;0,136;0,131]+0,13225+8+1800+1+1860
4+969+83,07338899993897+[0,137;0,133;0,137;0,132]+0,13475+8+1800+1+1880
4+991+88,54165099906922+[0,143;0,136;0,138;0,133]+0,1375+8+1800+1+1920
4+1024+87,72193199920655+[0,153;0,141;0,142;0,134]+0,1425+8+1800+1+1940
4+1055+105,31809399986267+[0,158;0,148;0,146;0,134]+0,1465+8+1800+1+1960
4+1080+97,15361000061036+[0,163;0,152;0,149;0,137]+0,15025+8+1800+1+2000
4+1123+108,48754799842834+[0,171;0,158;0,154;0,142]+0,15625+8+1800+1+2020
4+1161+97,91669700050355+[0,177;0,164;0,159;0,144]+0,161+8+1800+1+2040
4+1188+92,41005500030518+[0,181;0,169;0,163;0,148]+0,16525+8+1800+1+2080
4+1234+100,44575200080871+[0,188;0,174;0,169;0,154]+0,17125+8+1800+1+2100
4+1273+89,25705900001526+[0,193;0,182;0,174;0,158]+0,17675+8+1800+1+2120
4+1311+107,74277700042725+[0,197;0,188;0,181;0,162]+0,18200000000000002+8+1800+1+2160
4+1357+97,32837299919129+[0,204;0,194;0,187;0,168]+0,18825+8+1800+1+2180
4+1398+98,81156400108337+[0,211;0,198;0,192;0,176]+0,19424999999999998+8+1800+1+2200
4+1441+112,37297800064087+[0,216;0,202;0,199;0,183]+0,2+8+1800+1+2240
4+1480+104,03117599868774+[0,222;0,207;0,204;0,189]+0,20550000000000002+8+1800+1+2260
4+1520+101,64916799926758+[0,228;0,214;0,209;0,193]+0,21100000000000002+8+1800+1+2280
4+1555+97,6692530002594+[0,233;0,217;0,213;0,2]+0,21575+8+1800+1+2320
4+1596+116,52197599983215+[0,237;0,227;0,218;0,205]+0,22174999999999997+8+1800+1+2340
4+1635+107,18486499977112+[0,242;0,232;0,223;0,211]+0,22699999999999998+8+1800+1+2360
4+1673+105,15332200050354+[0,244;0,239;0,229;0,217]+0,23224999999999998+8+1800+1+2400
4+1711+98,55765700149536+[0,251;0,242;0,236;0,222]+0,23775+8+1800+1+2420
4+1756+100,91485700035095+[0,259;0,247;0,241;0,228]+0,24375+8+1800+1+2440
4+1793+113,57630200004577+[0,264;0,251;0,248;0,233]+0,249+8+1800+1+2480
4+1837+105,28326499938964+[0,27;0,256;0,253;0,241]+0,255+8+1800+1+2500
4+1878+104,62175499916077+[0,276;0,264;0,258;0,246]+0,261+8+1800+1+2520
4+1925+104,47205200004578+[0,283;0,269;0,264;0,252]+0,267+8+1800+1+2560
4+1966+105,98131200027466+[0,289;0,277;0,269;0,258]+0,27325+8+1800+1+2580
4+2010+113,26607299995422+[0,296;0,283;0,276;0,262]+0,27925+8+1800+1+2600
4+2048+116,26765600013734+[0,299;0,29;0,281;0,268]+0,2845+8+1800+1+2640
4+2097+120,48977200126647+[0,304;0,298;0,288;0,275]+0,29125+8+1800+1+2660
4+2144+105,95571699905396+[0,311;0,306;0,293;0,282]+0,298+8+1800+1+2680
