NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA
8,18,118.99360400390626,[0.093;0;0.093;0.062;0.031;0.093;0.124;0.062],0.06975,8,32
8,50,122.59791598510742,[0.372;0.186;0.124;0.217;0.155;0.093;0.155;0.248],0.19375,8,32
8,84,169.77836099243163,[0.62;0.372;0.31;0.279;0.279;0.279;0.217;0.248],0.3255,8,32
8,120,216.32078601074218,[0.838;0.651;0.465;0.465;0.31;0.372;0.341;0.279],0.465125,8,32
8,140,233.08814401245118,[0.994;0.777;0.621;0.528;0.466;0.311;0.311;0.342],0.54375,8,32
8,155,238.91637197875977,[0.804;0.928;0.773;0.649;0.495;0.526;0.34;0.278],0.5991250000000001,8,32
8,156,257.5856430053711,[0.653;0.777;0.777;0.715;0.622;0.528;0.466;0.311],0.606125,8,32
8,172,293.16314700317383,[0.745;0.683;0.838;0.745;0.714;0.621;0.559;0.435],0.6675,8,32
8,172,315.81400900268557,[0.56;0.747;0.715;0.809;0.715;0.778;0.529;0.498],0.668875,8,32
8,171,319.9572080078125,[0.585;0.524;0.77;0.678;0.708;0.708;0.739;0.554],0.65825,8,32
8,166,360.527641998291,[0.404;0.529;0.715;0.715;0.684;0.746;0.746;0.622],0.645125,8,32
8,162,377.5107340087891,[0.433;0.525;0.525;0.711;0.618;0.711;0.68;0.803],0.6257499999999999,8,32
8,151,426.8363939819336,[0.497;0.373;0.497;0.497;0.684;0.684;0.746;0.715],0.5866250000000001,8,32
8,150,414.3518049926758,[0.618;0.494;0.371;0.494;0.556;0.68;0.649;0.772],0.57925,8,32
8,135,462.06040701293944,[0.683;0.496;0.341;0.403;0.403;0.559;0.652;0.652],0.523625,8,32
8,137,456.77899798583985,[0.678;0.616;0.493;0.308;0.462;0.493;0.586;0.586],0.5277499999999999,8,32
8,140,492.19212899780274,[0.808;0.715;0.591;0.404;0.342;0.435;0.497;0.56],0.544,8,32
8,150,452.2151669921875,[0.924;0.739;0.708;0.585;0.431;0.339;0.431;0.462],0.577375,8,32
8,159,560.2062409973145,[0.963;0.87;0.87;0.559;0.528;0.404;0.311;0.435],0.6174999999999999,8,32
8,181,536.8678940124512,[0.931;0.993;0.931;0.9;0.559;0.497;0.403;0.403],0.7021250000000001,8,32
8,185,587.2682829895019,[0.839;0.839;0.994;0.839;0.808;0.559;0.466;0.404],0.7185,8,32
8,198,584.1668269958496,[0.65;0.897;0.897;0.99;0.835;0.835;0.588;0.433],0.765625,8,32
8,200,663.4172980041504,[0.559;0.714;0.839;0.932;0.963;0.87;0.776;0.559],0.7765,8,32
8,200,563.2560989990235,[0.401;0.555;0.833;0.802;0.987;0.956;0.864;0.771],0.7711250000000001,8,32
8,180,655.3890840148925,[0.218;0.466;0.653;0.777;0.808;0.932;0.87;0.87],0.69925,8,32
8,157,671.3043069763183,[0.062;0.28;0.559;0.652;0.652;0.777;0.932;0.963],0.609625,8,32
