NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+25,102861000061036+[0;0;0;0]+0+8+1800+1+20
4+2795+87,91870299911498+[0,385;0,384;0,396;0,387]+0,388+8+1800+1+1800
4+2831+81,97942799758911+[0,392;0,386;0,402;0,393]+0,39325000000000004+8+1800+1+1840
4+2885+90,17172800064087+[0,404;0,392;0,409;0,398]+0,40075000000000005+8+1800+1+1860
4+2948+86,21045100021362+[0,423;0,399;0,414;0,402]+0,4095+8+1800+1+1880
4+3011+96,64109799957275+[0,438;0,41;0,419;0,406]+0,41825+8+1800+1+1920
4+3092+94,6434580001831+[0,453;0,427;0,425;0,412]+0,42924999999999996+8+1800+1+1940
4+3185+86,66176900100707+[0,473;0,441;0,439;0,417]+0,4425+8+1800+1+1960
4+3265+90,54285599899292+[0,486;0,456;0,45;0,422]+0,45349999999999996+8+1800+1+2000
4+3396+100,08744800186157+[0,509;0,475;0,466;0,437]+0,47175+8+1800+1+2020
4+3505+88,9638930015564+[0,529;0,491;0,478;0,449]+0,48675+8+1800+1+2040
4+3604+86,52478800201416+[0,543;0,509;0,492;0,458]+0,5005000000000001+8+1800+1+2080
4+3730+90,04017600250243+[0,563;0,53;0,505;0,474]+0,518+8+1800+1+2100
4+3862+101,21343899917602+[0,582;0,547;0,526;0,491]+0,5365+8+1800+1+2120
4+3971+94,29877899932862+[0,594;0,564;0,546;0,502]+0,5515+8+1800+1+2160
4+4096+101,59237300109864+[0,611;0,583;0,562;0,519]+0,56875+8+1800+1+2180
4+4236+93,69979700088501+[0,634;0,599;0,581;0,539]+0,58825+8+1800+1+2200
4+4341+100,27802899932861+[0,65;0,611;0,593;0,558]+0,603+8+1800+1+2240
4+4477+96,00241199874878+[0,672;0,633;0,609;0,573]+0,62175+8+1800+1+2260
4+4604+94,23692800140381+[0,691;0,652;0,624;0,591]+0,6395+8+1800+1+2280
4+4704+101,15268999862671+[0,704;0,669;0,634;0,606]+0,65325+8+1800+1+2320
4+4843+101,68991099929809+[0,722;0,689;0,658;0,621]+0,6725+8+1800+1+2340
4+4968+110,26349599838257+[0,739;0,707;0,677;0,637]+0,6900000000000001+8+1800+1+2360
4+5094+121,75862599945069+[0,755;0,72;0,698;0,657]+0,7075+8+1800+1+2400
4+5222+103,42893200302125+[0,772;0,738;0,718;0,673]+0,72525+8+1800+1+2420
4+5353+107,15089099884034+[0,789;0,759;0,735;0,691]+0,7434999999999999+8+1800+1+2440
4+5464+113,894030002594+[0,802;0,777;0,747;0,709]+0,75875+8+1800+1+2480
4+5601+105,44032500076294+[0,82;0,796;0,765;0,731]+0,778+8+1800+1+2500
4+5729+110,3342680015564+[0,841;0,812;0,786;0,745]+0,796+8+1800+1+2520
4+5838+105,18110499954224+[0,854;0,826;0,802;0,761]+0,8107500000000001+8+1800+1+2563
4+5973+108,73527600097657+[0,874;0,844;0,819;0,781]+0,8295+8+1800+1+2583
4+6106+113,96618300247192+[0,894;0,856;0,839;0,803]+0,848+8+1800+1+2603
4+6204+105,20647000122071+[0,908;0,872;0,85;0,817]+0,86175+8+1800+1+2643
4+6343+122,21153300094605+[0,926;0,897;0,863;0,838]+0,881+8+1800+1+2663
4+6458+126,91754000091552+[0,941;0,911;0,881;0,856]+0,8972499999999999+8+1800+1+2683
4+6572+119,4440889968872+[0,959;0,921;0,906;0,864]+0,9125+8+1800+1+2723
4+6705+115,65233000183106+[0,977;0,941;0,925;0,883]+0,9315+8+1800+1+2743
4+6833+122,05507500076294+[0,995;0,957;0,936;0,908]+0,949+8+1800+1+2763
4+6965+126,32584300231933+[1,013;0,98;0,951;0,926]+0,9675+8+1800+1+2803
4+7082+125,20710000228881+[1,028;0,994;0,969;0,944]+0,98375+8+1800+1+2823
4+7219+113,40417499923706+[1,044;1,018;0,987;0,962]+1,00275+8+1800+1+2843
4+7318+115,48415100097657+[1,057;1,033;1,001;0,974]+1,0162499999999999+8+1800+1+2883
4+7447+117,27801300048829+[1,076;1,048;1,018;0,995]+1,0342500000000001+8+1800+1+2903
4+7575+132,1379689979553+[1,096;1,061;1,039;1,013]+1,05225+8+1800+1+2923
4+7682+134,06334700012206+[1,113;1,074;1,054;1,027]+1,0670000000000002+8+1800+1+2963
4+7819+119,77193399810791+[1,131;1,098;1,07;1,045]+1,086+8+1800+1+2983
4+7949+128,5046970024109+[1,149;1,12;1,086;1,061]+1,104+8+1800+1+3003
4+8054+124,26875500106812+[1,164;1,132;1,106;1,072]+1,1185+8+1800+1+3043
4+8188+122,47370299911499+[1,181;1,153;1,128;1,087]+1,1372499999999999+8+1800+1+3063
4+8317+136,72854199981688+[1,196;1,167;1,145;1,112]+1,155+8+1800+1+3083
4+8444+121,81927799987793+[1,214;1,182;1,163;1,132]+1,17275+8+1800+1+3123
4+8564+123,8334700012207+[1,232;1,196;1,179;1,152]+1,18975+8+1800+1+3143
4+8684+147,48631200027467+[1,25;1,21;1,196;1,169]+1,2062499999999998+8+1800+1+3163
4+8785+125,54671299743653+[1,264;1,229;1,207;1,181]+1,22025+8+1800+1+3203
4+8913+133,03862300109864+[1,284;1,245;1,221;1,202]+1,238+8+1800+1+3223
4+9027+124,1764409980774+[1,302;1,258;1,24;1,214]+1,2534999999999998+8+1800+1+3243
4+9136+133,48480599975585+[1,314;1,274;1,26;1,228]+1,269+8+1800+1+3283
4+9289+129,52953099822997+[1,336;1,294;1,279;1,251]+1,29+8+1800+1+3303
4+9411+132,77477799987793+[1,355;1,311;1,296;1,267]+1,3072499999999998+8+1800+1+3323
4+9526+140,5199530029297+[1,371;1,328;1,309;1,283]+1,32275+8+1800+1+3363
4+9646+149,41432299804688+[1,389;1,346;1,324;1,3]+1,33975+8+1800+1+3383
4+9785+139,99602300262453+[1,407;1,364;1,348;1,317]+1,359+8+1800+1+3403
4+9888+134,31659300231934+[1,421;1,378;1,365;1,329]+1,3732499999999999+8+1800+1+3443
4+10039+151,44015999984742+[1,443;1,401;1,382;1,351]+1,39425+8+1800+1+3463
4+10149+146,64980199813843+[1,458;1,411;1,397;1,373]+1,40975+8+1800+1+3483
4+10275+135,32416900253295+[1,477;1,429;1,415;1,387]+1,427+8+1800+1+3523
4+10392+147,12447399902345+[1,491;1,446;1,433;1,404]+1,4435+8+1800+1+3543
4+10514+142,0937150001526+[1,507;1,467;1,444;1,423]+1,46025+8+1800+1+3563
4+10656+150,2130589981079+[1,531;1,483;1,467;1,439]+1,48+8+1800+1+3603
4+10771+150,86681200027465+[1,546;1,498;1,484;1,455]+1,4957500000000001+8+1800+1+3623
4+10889+156,0769409980774+[1,564;1,513;1,503;1,469]+1,51225+8+1800+1+3643
4+11014+150,97152000045776+[1,583;1,537;1,512;1,487]+1,52975+8+1800+1+3683
4+11129+143,36295299911498+[1,599;1,548;1,529;1,506]+1,5455+8+1800+1+3703
4+11263+138,41662200164794+[1,619;1,57;1,548;1,521]+1,5645+8+1800+1+3723
4+11379+143,0963330001831+[1,636;1,585;1,565;1,536]+1,5804999999999998+8+1800+1+3763
4+11509+146,91289999771118+[1,654;1,602;1,583;1,554]+1,5982500000000002+8+1800+1+3783
4+11640+145,9323089981079+[1,671;1,621;1,6;1,574]+1,6164999999999998+8+1800+1+3803
4+11764+160,56981299972534+[1,688;1,636;1,621;1,591]+1,6340000000000001+8+1800+1+3843
4+11866+162,54674100112916+[1,698;1,651;1,632;1,611]+1,648+8+1800+1+3863
4+11980+153,43627600097656+[1,705;1,668;1,652;1,631]+1,6640000000000001+8+1800+1+3883
4+12070+146,6960299987793+[1,712;1,682;1,668;1,644]+1,6765+8+1800+1+3923
4+12158+173,81361199951172+[1,716;1,691;1,687;1,662]+1,689+8+1800+1+3943
4+12232+150,4674650001526+[1,722;1,695;1,697;1,682]+1,6989999999999998+8+1800+1+3963
4+12320+168,12836399841308+[1,731;1,704;1,71;1,699]+1,7109999999999999+8+1800+1+4003
4+12382+151,59134199905395+[1,735;1,711;1,721;1,712]+1,71975+8+1800+1+4023
