NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA
32,1302,353.6180209999084,[1.281;1.313;1;1.375;1.281;1.125;1.125;1.25;1.219;1.156;1.375;1.219;1.188;1.281;1.313;1.281;1.094;1.219;1.281;1.031;1.281;1.219;1.25;1.219;1.219;1.313;1.438;1.406;1.344;1.5;1.531;1.563],1.2715625,8,32
32,1272,289.06145700073245,[1.313;1.281;1.094;1.375;1.281;1.281;1.219;1.375;1.063;1.156;1.219;1.125;1.094;1.156;1.375;1.406;1.25;1.25;1.125;1.125;1.375;1.094;1.219;1.063;1.094;1.125;1.25;1.281;1.313;1.375;1.438;1.563],1.2422812500000002,8,32
32,1204,278.50002599716186,[1.188;1.219;1.094;1.281;1.188;1.219;1.25;1.406;1.25;1.156;1.219;1.125;1.063;1;1.188;1.25;1.031;1.25;1.188;1.063;1.25;1.125;1.188;1.063;1.094;1.156;1.125;1.031;1.219;1.188;1.25;1.313],1.1759375,8,32
32,1240,441.5687039985657,[1.219;1.219;1.344;1.281;1.219;1.281;1.188;1.469;1.156;1.281;1.281;1.219;1.344;1.313;1.344;1.125;1.063;1.188;1.188;1.125;1.25;1.219;1.188;1.094;1.281;1.219;1.031;1.188;1.25;0.969;1.094;1.125],1.21109375,8,32
48,1248,215.80780500030517,[1.219;1.313;1.219;1.219;1.219;1.438;1.313;1.375;1.219;1.375;1.156;1.188;1.5;1.25;1.25;1.125;1.219;1.375;1.094;1.281;1.031;1.094;1.281;1.094;1.313;1.219;1.094;1.125;1.188;1.063;0.938;1.219],1.2189375000000002,8,32
48,200,667.8817120018006,[0.219;0.313;0.281;0.125;0.281;0.219;0.125;0.188;0.219;0.188;0.156;0.219;0.188;0.094;0.063;0.188;0.219;0.281;0.219;0.125;0.125;0.188;0.25;0.375;0.375;0.094;0.094;0.125;0.156;0.156;0.188;0.219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],0.1303125,8,32
48,200,667.8817120018006,[0.219;0.313;0.281;0.125;0.281;0.219;0.125;0.188;0.219;0.188;0.156;0.219;0.188;0.094;0.063;0.188;0.219;0.281;0.219;0.125;0.125;0.188;0.25;0.375;0.375;0.094;0.094;0.125;0.156;0.156;0.188;0.219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],0.1303125,8,32
48,198,385.433375,[0.125;0.188;0.188;0.094;0.156;0.063;0.125;0.25;0.188;0.094;0.125;0.125;0.063;0.125;0.156;0.375;0.375;0.125;0.063;0.156;0.156;0.219;0.156;0.156;0.031;0;0.031;0.125;0.188;0.188;0.25;0.094;0.063;0.156;0.125;0.125;0.125;0.156;0.031;0.031;0.031;0.063;0.094;0.125;0.125;0.031;0.063;0.094],0.12897916666666664,8,32
48,664,454.6970579986572,[0.469;0.5;0.5;0.5;0.469;0.406;0.438;0.531;0.594;0.5;0.406;0.469;0.469;0.375;0.469;0.656;0.656;0.594;0.563;0.656;0.625;0.656;0.594;0.531;0.438;0.25;0.313;0.313;0.344;0.344;0.469;0.375;0.406;0.406;0.531;0.469;0.375;0.375;0.313;0.281;0.219;0.344;0.281;0.313;0.25;0.25;0.188;0.281],0.43237499999999995,8,32
48,1150,454.6970579986572,[0.813;0.781;0.813;0.75;0.781;0.719;0.781;0.781;0.906;0.813;0.781;0.75;0.719;0.656;0.875;1.125;1.031;1.031;0.844;0.938;1.031;1.063;1.063;0.844;0.844;0.719;0.719;0.719;0.844;0.75;0.75;0.594;0.625;0.625;0.656;0.656;0.813;0.719;0.625;0.625;0.5;0.5;0.5;0.594;0.531;0.438;0.375;0.531],0.7487708333333334,8,32
