NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+26,61415899848938+[0;0;0;0]+0+8+600+1+20
4+952+85,00360400009156+[0,398;0,388;0,41;0,39]+0,39649999999999996+8+600+1+1860
4+968+89,42095999908447+[0,408;0,398;0,412;0,395]+0,40325+8+600+1+1900
4+990+87,97313599967957+[0,428;0,408;0,417;0,397]+0,4125+8+600+1+1920
4+1023+99,4813780002594+[0,457;0,422;0,427;0,4]+0,4265+8+600+1+1940
4+1054+95,69448099899292+[0,472;0,443;0,44;0,402]+0,43925000000000003+8+600+1+1980
4+1082+90,51123200035096+[0,49;0,455;0,448;0,41]+0,45075+8+600+1+2000
4+1125+90,34497900009156+[0,513;0,473;0,463;0,425]+0,4685+8+600+1+2020
4+1146+86,74990500068665+[0,525;0,482;0,472;0,432]+0,47775+8+600+1+2032
4+1166+98,37931799888611+[0,532;0,49;0,477;0,445]+0,48600000000000004+8+600+1+2032
4+1196+84,03524499893189+[0,545;0,505;0,488;0,455]+0,49825+8+600+1+2032
4+1213+86,8441370010376+[0,553;0,515;0,497;0,457]+0,5055+8+600+1+2032
4+1239+84,16667999839783+[0,558;0,53;0,51;0,467]+0,51625+8+600+1+2032
4+1267+89,92978200149535+[0,57;0,545;0,52;0,477]+0,528+8+600+1+2032
4+1299+85,65543099975586+[0,583;0,555;0,532;0,495]+0,54125+8+600+1+2032
4+1329+93,22603100013733+[0,595;0,558;0,552;0,51]+0,55375+8+600+1+2032
4+1356+87,55478199958802+[0,61;0,565;0,563;0,522]+0,565+8+600+1+2032
4+1378+89,66058799934387+[0,615;0,583;0,57;0,528]+0,574+8+600+1+2032
4+1399+108,35328100013733+[0,625;0,59;0,572;0,545]+0,583+8+600+1+2032
4+1429+86,81459900093078+[0,635;0,608;0,585;0,553]+0,59525+8+600+1+2032
4+1448+86,86372699928283+[0,642;0,615;0,597;0,56]+0,6035+8+600+1+2032
4+1477+103,978265001297+[0,645;0,633;0,608;0,575]+0,6152500000000001+8+600+1+2032
4+1498+93,61020499992371+[0,655;0,64;0,618;0,583]+0,6239999999999999+8+600+1+2032
4+1531+89,65928799819946+[0,678;0,647;0,632;0,595]+0,6380000000000001+8+600+1,25+2024
4+1541+84,80524300003052+[0,683;0,645;0,64;0,6]+0,642+8+600+1,25+2020
4+1570+96,31283799934387+[0,7;0,655;0,645;0,617]+0,65425+8+600+1,25+2016
4+1575+93,76845999908447+[0,705;0,663;0,643;0,613]+0,656+8+600+1,25+2004
4+1601+101,4623219985962+[0,718;0,675;0,648;0,627]+0,667+8+600+1,25+2000
4+1606+96,55805800056457+[0,72;0,68;0,655;0,622]+0,6692499999999999+8+600+1,5625+1986
4+1636+96,55805800056457+[0,733;0,695;0,668;0,63]+0,6815+8+600+1,5625+1986
4+1651+99,71898600006104+[0,737;0,698;0,678;0,638]+0,68775+8+600+1,5625+1976
4+1674+85,86221800041199+[0,737;0,713;0,688;0,652]+0,6975+8+600+1,5625+1964
4+1691+108,82212899971009+[0,747;0,717;0,687;0,668]+0,70475+8+600+1,5625+1952
4+1698+101,21161000061035+[0,745;0,712;0,69;0,683]+0,7075+8+600+1,5625+1940
4+1706+98,0976340007782+[0,753;0,717;0,7;0,673]+0,71075+8+600+1,953125+1928
4+1722+98,0976340007782+[0,758;0,728;0,697;0,687]+0,7175+8+600+1,953125+1928
4+1732+92,37027800178528+[0,767;0,727;0,702;0,692]+0,722+8+600+1,953125+1908
4+1739+99,0249619998932+[0,762;0,728;0,71;0,698]+0,7245+8+600+1,953125+1888
4+1748+99,0249619998932+[0,77;0,735;0,71;0,698]+0,72825+8+600+1,953125+1888
4+1755+93,12890700149536+[0,768;0,743;0,71;0,703]+0,731+8+600+1,953125+1871
4+1765+86,74644099998474+[0,77;0,747;0,712;0,713]+0,7355+8+600+1,953125+1852
4+1762+92,4820920009613+[0,768;0,745;0,712;0,712]+0,7342499999999998+8+600+1,953125+1832
4+1790+92,4820920009613+[0,78;0,757;0,727;0,72]+0,746+8+600+1,953125+1832
4+1784+85,81802000045776+[0,773;0,76;0,72;0,72]+0,74325+8+600+2,44140625+1808
4+1796+85,81802000045776+[0,777;0,772;0,722;0,723]+0,7484999999999999+8+600+2,44140625+1808
4+1785+88,98190600013733+[0,777;0,762;0,718;0,718]+0,74375+8+600+2,44140625+1780
4+1777+85,91354399871827+[0,772;0,762;0,717;0,712]+0,74075+8+600+2,44140625+1752
4+1794+85,91354399871827+[0,777;0,772;0,723;0,718]+0,7474999999999999+8+600+2,44140625+1752
4+1792+80,86179999923706+[0,778;0,772;0,715;0,722]+0,74675+8+600+2,44140625+1720
4+1806+80,86179999923706+[0,783;0,777;0,723;0,727]+0,7525+8+600+2,44140625+1720
4+1796+87,74960800170898+[0,778;0,77;0,722;0,723]+0,74825+8+600+2,44140625+1694
4+1819+87,74960800170898+[0,783;0,782;0,732;0,735]+0,7579999999999999+8+600+2,44140625+1694
4+1808+78,45371000099182+[0,783;0,777;0,723;0,73]+0,75325+8+600+2,44140625+1664
4+1819+78,45371000099182+[0,787;0,785;0,727;0,733]+0,758+8+600+2,44140625+1664
4+1814+77,37611700057984+[0,793;0,778;0,725;0,727]+0,75575+8+600+3,0517578125+1626
4+1823+77,37611700057984+[0,793;0,783;0,732;0,73]+0,7595+8+600+3,0517578125+1626
4+1808+73,76776099967957+[0,782;0,783;0,718;0,73]+0,75325+8+600+3,0517578125+1584
4+1825+73,76776099967957+[0,788;0,783;0,725;0,745]+0,7602500000000001+8+600+3,0517578125+1584
4+1802+83,68105599975586+[0,788;0,765;0,718;0,732]+0,75075+8+600+3,0517578125+1544
4+1817+83,68105599975586+[0,793;0,777;0,722;0,737]+0,75725+8+600+3,0517578125+1544
4+1800+83,30277799987793+[0,785;0,772;0,708;0,735]+0,7499999999999999+8+600+3,0517578125+1504
4+1811+83,30277799987793+[0,792;0,778;0,712;0,737]+0,75475+8+600+3,0517578125+1504
4+1824+83,30277799987793+[0,797;0,783;0,715;0,745]+0,76+8+600+3,0517578125+1504
