NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+0+20,129081000089645+[0;0;0;0]+0+8+1800+1+20
4+2824+84,69910299992561+[0,314;0,308;0,32;0,313]+0,31375+8+2250+1+1840
4+2862+86,07223200011254+[0,32;0,31;0,324;0,318]+0,318+8+2250+1+1861
4+2914+80,08028600001334+[0,328;0,316;0,328;0,323]+0,32375+8+2250+1+1884
4+2982+105,58613499999046+[0,344;0,321;0,332;0,328]+0,33125000000000004+8+2250+1+1932
4+3051+85,51417199993134+[0,358;0,33;0,336;0,332]+0,339+8+2250+1+1956
4+3132+88,36060099983216+[0,369;0,344;0,341;0,337]+0,34775+8+2250+1+1980
4+3225+87,16986400008201+[0,385;0,355;0,352;0,34]+0,35800000000000004+8+2250+1+2004
4+3319+103,18016899991035+[0,399;0,368;0,363;0,346]+0,369+8+2250+1+2028
4+3424+96,87653500008584+[0,415;0,381;0,372;0,353]+0,38025000000000003+8+2250+1+2052
4+3537+94,32599900007249+[0,431;0,391;0,385;0,365]+0,393+8+2250+1+2076
4+3661+109,79324000000953+[0,443;0,408;0,4;0,376]+0,40674999999999994+8+2250+1+2124
4+3789+111,65323100018502+[0,612;0,568;0,548;0,518]+0,5615+8+1687,5+1+2144
4+3914+100,0881440000534+[0,631;0,586;0,569;0,534]+0,5800000000000001+8+1687,5+1+2168
4+4037+95,3743679997921+[0,645;0,604;0,594;0,549]+0,598+8+1687,5+1+2192
4+4146+102,60853399991989+[0,658;0,619;0,612;0,568]+0,6142500000000001+8+1687,5+1+2216
4+4297+115,67279299998283+[0,683;0,638;0,633;0,593]+0,63675+8+1687,5+1+2240
4+4424+102,226125+[0,937;0,87;0,867;0,823]+0,87425+8+1265,25+1+2288
4+4561+121,57298000001907+[0,967;0,901;0,892;0,845]+0,9012499999999999+8+1265,25+1+2312
4+4689+97,95823600006104+[0,993;0,927;0,914;0,871]+0,92625+8+1265,25+1+2336
4+4820+105,18769499993324+[1,02;0,957;0,933;0,899]+0,95225+8+1265,25+1+2360
4+4954+116,06066700005532+[1,05;0,986;0,959;0,92]+0,97875+8+1265,25+1+2384
4+5063+103,60693299984932+[1,076;1,006;0,977;0,943]+1,0005+8+1265,25+1+2408
4+5212+112,53655500006676+[1,468;1,375;1,35;1,3]+1,3732499999999999+8+948,75+1+2430
4+5341+105,78192799997329+[1,503;1,409;1,387;1,33]+1,40725+8+948,75+1+2476
4+5458+103,8736210000515+[1,529;1,446;1,417;1,361]+1,4382499999999998+8+948,75+1+2500
4+5585+120,35448399996757+[1,562;1,48;1,445;1,4]+1,4717500000000001+8+948,75+1+2524
4+5726+112,58337700009346+[1,596;1,516;1,481;1,443]+1,509+8+948,75+1+2548
4+5633+98,77262800002099+[2,103;1,989;1,938;1,893]+1,98075+8+711+1+2449
4+5731+114,67127399992943+[2,134;2,023;1,982;1,923]+2,0155000000000003+8+711+1+2452
4+5804+109,64060500001908+[2,165;2,042;2,008;1,948]+2,04075+8+711+1+2452
4+5918+106,49997200012207+[2,204;2,068;2,048;2,004]+2,081+8+711+1+2452
4+6006+115,3428029999733+[2,231;2,107;2,073;2,037]+2,112+8+711+1+2452
4+5174+158,62686599993705+[2,592;2,44;2,355;2,316]+2,42575+8+533,25+1+1852
4+5260+88,02352500009536+[2,624;2,487;2,402;2,352]+2,46625+8+533,25+1+1852
4+5331+85,16554699993134+[2,667;2,509;2,472;2,35]+2,4995+8+533,25+1+1852
4+5426+98,155382999897+[2,71;2,549;2,513;2,404]+2,544+8+533,25+1+1852
4+5495+121,88139800000191+[2,738;2,584;2,534;2,449]+2,57625+8+533,25+1+1856
4+4888+70,06021599984169+[3,285;3,082;2,979;2,882]+3,057+8+399,75+1+1396
4+4960+70,00529500007629+[3,327;3,127;3,022;2,932]+3,102+8+399,75+1+1396
4+5055+74,89503500008583+[3,39;3,199;3,092;2,964]+3,1612500000000003+8+399,75+1+1396
4+5113+78,05365499997139+[3,41;3,247;3,127;3,007]+3,1977499999999996+8+399,75+1+1396
4+5215+83,18364899992943+[3,482;3,297;3,184;3,082]+3,2612500000000004+8+399,75+1+1396
4+4671+59,40333599996567+[4,053;3,93;3,88;3,746]+3,90225+8+299,25+1+1056
4+4731+69,93867400002479+[4,09;3,967;3,92;3,833]+3,9525+8+299,25+1+1056
4+4760+59,34054600000381+[4,094;3,987;3,916;3,91]+3,97675+8+299,25+1+1056
4+4787+55,477731999874116+[4,097;4,037;3,937;3,926]+3,99925+8+299,25+1+1056
4+4789+62,49809200000763+[4,02;4,06;3,98;3,943]+4,00075+8+299,25+1+1056
4+4793+52,70309500002861+[4,023;4,033;4,017;3,943]+4,0040000000000004+8+299,25+1+1056
4+4792+58,067263000011444+[3,98;4;4,03;4,003]+4,00325+8+299,25+1+1056
4+4837+62,53836599993706+[4,03;3,993;4,1;4,04]+4,04075+8+299,25+1+1056
4+4829+60,65151000022888+[4,037;3,99;4,02;4,09]+4,03425+8+299,25+1+1056
4+4839+63,47875899982452+[4,047;4,01;4,04;4,074]+4,04275+8+299,25+1+1056
4+4821+58,02824900007248+[4,027;4,033;4,007;4,043]+4,0275+8+299,25+1+1056
4+4801+65,11974399995803+[4,01;4,023;3,987;4,023]+4,01075+8+299,25+1+1056
4+4815+61,538690999984745+[4,027;4,033;4,027;4,003]+4,0225+8+299,25+1+1056
4+4802+69,83775799989701+[3,993;4,01;4,04;4,003]+4,0115+8+299,25+1+1056
4+4814+52,67351399993896+[3,993;4,003;4,06;4,03]+4,0215000000000005+8+299,25+1+1056
4+4797+54,55138699960709+[3,973;3,967;4,06;4,03]+4,0075+8+299,25+1+1056
4+4806+53,29328800010681+[3,963;3,993;4,057;4,047]+4,015+8+299,25+1+1056
4+4780+70,42068699979782+[3,957;3,987;3,993;4,037]+3,9935+8+299,25+1+1056
4+4778+60,521519999980924+[3,943;4,007;3,997;4,02]+3,9917499999999997+8+299,25+1+1056
4+4791+60,48886000013351+[3,977;3,98;4,017;4,037]+4,00275+8+299,25+1+1056
4+4808+57,66679200029373+[3,997;4,02;4,027;4,023]+4,01675+8+299,25+1+1056
4+4777+60,07700899982452+[3,96;3,973;4;4,03]+3,9907500000000002+8+299,25+1+1056
4+4776+65,25093000030517+[3,95;3,957;4,03;4,023]+3,99+8+299,25+1+1056
4+4782+55,61198199987412+[3,947;3,96;4,047;4,027]+3,9952500000000004+8+299,25+1+1056
4+4765+61,36500699996948+[3,91;4,007;3,987;4,02]+3,981+8+299,25+1+1056
4+4773+66,42639999961852+[3,923;4,02;3,997;4,01]+3,9875+8+299,25+1+1056
4+4789+59,455190999984744+[3,953;4,017;4,03;4,003]+4,00075+8+299,25+1+1052
4+4788+63,56764199972153+[3,94;4,007;4,06;3,993]+3,9999999999999996+8+299,25+1+1052
4+4756+66,63521799993515+[3,923;3,977;4,003;3,99]+3,97325+8+299,25+1+1052
4+4769+66,11591099977494+[3,926;3,99;4;4,02]+3,984+8+299,25+1+1052
4+4720+61,063225999832156+[3,896;3,977;3,913;3,987]+3,94325+8+299,25+1+1052
4+4757+53,48998999977112+[3,923;3,99;3,97;4,013]+3,974+8+299,25+1+1052
4+4748+59,186197999954224+[3,91;3,993;4,013;3,95]+3,9665+8+299,25+1+1052
4+4779+68,71464699983596+[3,93;4,027;4,01;4,003]+3,9925+8+299,25+1+1052
4+4766+58,642888000011446+[3,923;4,007;3,997;4]+3,98175+8+299,25+1+1052
4+4761+63,70816800022125+[3,913;3,97;3,983;4,043]+3,9772499999999997+8+299,25+1+1052
4+4727+55,010931000232695+[3,799;3,973;4,007;4,017]+3,949+8+299,25+1+1052
4+4707+61,43044000005722+[3,736;3,953;4,013;4,027]+3,93225+8+299,25+1+1052
4+4684+57,22132600021362+[3,669;3,94;4,02;4,023]+3,913+8+299,25+1+1052
4+4647+63,8958559999466+[3,606;3,87;4,01;4,043]+3,88225+8+299,25+1+1052
4+4588+61,99874900007248+[3,525;3,763;3,99;4,053]+3,83275+8+299,25+1+1052
4+4520+58,39099199962616+[3,462;3,666;3,94;4,037]+3,77625+8+299,25+1+1052
4+4427+64,26194799995423+[3,385;3,586;3,82;4,003]+3,6985+8+299,25+1+1052
4+4359+55,39696799993515+[3,322;3,556;3,713;3,977]+3,6420000000000003+8+299,25+1+1052
4+4299+62,566921000003816+[3,275;3,492;3,693;3,906]+3,5915+8+299,25+1+1052
4+4207+56,74489399957657+[3,211;3,422;3,602;3,823]+3,5145+8+299,25+1+1052
4+4106+65,69842700004578+[3,128;3,348;3,505;3,739]+3,4299999999999997+8+299,25+1+1052
4+4028+58,06655800008774+[3,074;3,282;3,419;3,686]+3,36525+8+299,25+1+1052
4+3908+57,134545000076294+[2,974;3,161;3,358;3,566]+3,2647500000000003+8+299,25+1+1052
4+3848+57,57155000019073+[2,907;3,124;3,292;3,536]+3,21475+8+299,25+1+1056
4+3787+63,56115799999237+[2,867;3,071;3,228;3,489]+3,1637500000000003+8+299,25+1+1056
4+3709+54,33272599983216+[2,824;2,987;3,178;3,405]+3,0985+8+299,25+1+1056
4+3617+54,78165799999237+[2,74;2,931;3,111;3,305]+3,02175+8+299,25+1+1052
4+3515+62,19923099994659+[2,657;2,83;3,018;3,241]+2,9364999999999997+8+299,25+1+1052
4+3437+65,74942500019074+[2,586;2,78;2,984;3,135]+2,87125+8+299,25+1+1052
4+3336+68,22574700021744+[2,506;2,677;2,897;3,068]+2,787+8+299,25+1+1056
4+3295+56,16850199985504+[2,456;2,657;2,854;3,044]+2,75275+8+299,25+1+1056
4+3184+55,11295500040055+[2,373;2,536;2,78;2,951]+2,66+8+299,25+1+1052
4+3082+62,64643700027466+[2,276;2,473;2,703;2,847]+2,57475+8+299,25+1+1052
4+3009+53,53597499990463+[2,222;2,426;2,637;2,77]+2,51375+8+299,25+1+1052
4+2892+58,762442999839784+[2,125;2,312;2,536;2,69]+2,4157499999999996+8+299,25+1+1056
4+2847+63,67700700044632+[2,105;2,246;2,523;2,64]+2,3785000000000003+8+299,25+1+1056
