NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+649+42,37963500976562+[0,273;0,27;0,272;0,267]+0,2705+0,48583555555555563+8+600+1+1280+1604869788300+1604869188300
4+659+42,417948989868165+[0,277;0,273;0,278;0,27]+0,2745+0,5166638888888887+8+600+1+1300+1604869796300+1604869196300
4+670+41,93415100097656+[0,282;0,277;0,285;0,273]+0,27925+0,5367977777777776+8+600+1+1340+1604869804300+1604869204300
4+685+45,16590000915527+[0,29;0,282;0,293;0,277]+0,2855+0,5063977777777781+8+600+1+1360+1604869812300+1604869212300
4+694+41,78362699890137+[0,293;0,287;0,298;0,278]+0,289+0,5380555555555557+8+600+1+1380+1604869820300+1604869220300
4+712+43,95634700012207+[0,3;0,295;0,305;0,287]+0,29674999999999996+0,5294444444444438+8+600+1+1420+1604869828300+1604869228300
4+723+42,32117900085449+[0,305;0,303;0,308;0,288]+0,301+0,5133333333333333+8+600+1+1440+1604869836300+1604869236300
4+740+44,778469009399416+[0,313;0,308;0,315;0,297]+0,30824999999999997+0,5095444444444444+8+600+1+1460+1604869844300+1604869244300
4+752+42,82434700012207+[0,317;0,31;0,323;0,303]+0,31325+0,5335111111111108+8+600+1+1500+1604869852300+1604869252300
4+766+57,32244499206543+[0,322;0,317;0,33;0,308]+0,31925000000000003+0,571322222222222+8+600+1+1520+1604869860300+1604869260300
4+780+45,15430599975586+[0,328;0,327;0,332;0,313]+0,325+0,5927777777777778+8+600+1+1540+1604869868300+1604869268300
4+795+44,03734001159668+[0,333;0,333;0,343;0,315]+0,331+0,5544444444444449+8+600+1+1580+1604869876300+1604869276300
4+808+49,58571899414063+[0,34;0,335;0,353;0,318]+0,3365+0,5763283333333333+8+600+1+1600+1604869884300+1604869284300
4+824+48,838087997436524+[0,348;0,34;0,357;0,328]+0,34325+0,5772400000000001+8+600+1+1620+1604869892300+1604869292300
4+840+52,61676400756836+[0,355;0,345;0,363;0,337]+0,35+0,559838888888889+8+600+1+1660+1604869900300+1604869300300
