NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED
4+2803+98,32057999992371+[1,168;1,173;1,165;1,165]+1,16775+8+600+1+1845
4+2848+91,71694099998474+[1,193;1,195;1,18;1,178]+1,1864999999999999+8+600+1+1885
4+2915+89,00582899999618+[1,25;1,217;1,195;1,197]+1,21475+8+600+1+1905
4+2994+86,49849099969865+[1,308;1,257;1,21;1,215]+1,2475+8+600+1+1925
4+3066+85,00586899995804+[1,345;1,305;1,23;1,23]+1,2774999999999999+8+600+1+1965
4+3155+94,37789599990845+[1,4;1,345;1,272;1,242]+1,31475+8+600+1+1985
4+3249+90,59132899999618+[1,453;1,392;1,308;1,262]+1,3537499999999998+8+600+1+2005
4+3356+106,07592199993134+[1,505;1,442;1,35;1,297]+1,3985+8+600+1+2045
4+3422+95,18157499980927+[1,547;1,465;1,368;1,323]+1,4257499999999999+8+600+1+2048
4+3505+89,22491199970246+[1,572;1,515;1,408;1,347]+1,4604999999999997+8+600+1+2045
4+3564+92,23944000005721+[1,598;1,545;1,418;1,378]+1,48475+8+600+1,25+2041
4+3634+86,69720699977874+[1,63;1,585;1,44;1,402]+1,5142499999999999+8+600+1,25+2036
4+3707+95,00941700029374+[1,655;1,618;1,485;1,42]+1,5445+8+600+1,25+2032
4+3761+87,74961899995805+[1,682;1,642;1,51;1,435]+1,56725+8+600+1,25+2024
4+3819+93,71348300027847+[1,715;1,65;1,542;1,458]+1,59125+8+600+1,25+2021
4+3890+90,25094199991226+[1,747;1,668;1,565;1,503]+1,6207500000000001+8+600+1,5625+2015
4+3938+95,87255499982834+[1,763;1,687;1,583;1,53]+1,6407500000000002+8+600+1,5625+2000
4+3960+103,52493400001526+[1,773;1,697;1,59;1,54]+1,65+8+600+1,5625+1991
4+4000+103,52493400001526+[1,785;1,715;1,602;1,565]+1,66675+8+600+1,5625+1991
4+4028+89,10751600027085+[1,778;1,742;1,62;1,573]+1,6782500000000002+8+600+1,5625+1980
4+4071+93,82330700016021+[1,798;1,763;1,628;1,595]+1,696+8+600+1,5625+1967
4+4112+90,69000499963761+[1,813;1,783;1,663;1,593]+1,713+8+600+1,5625+1956
