NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+631+47,07507299804688+[0,089;0,087;0,09;0,084]+0,08750000000000001+0,4866666666666664+8+1800+1+1240+1604874083974+1604872283974
4+647+37,8346190032959+[0,091;0,09;0,091;0,088]+0,09+0,48722+8+1800+1+1280+1604874091974+1604872291974
4+658+41,95956298828125+[0,092;0,091;0,093;0,089]+0,09125+0,5167961111111112+8+1800+1+1300+1604874099974+1604872299974
4+669+45,680566009521485+[0,094;0,092;0,095;0,091]+0,093+0,5246555555555553+8+1800+1+1320+1604874107974+1604872307974
4+684+44,6553090057373+[0,097;0,094;0,098;0,092]+0,09525+0,5077266666666664+8+1800+1+1360+1604874115974+1604872315974
4+692+42,94381700134277+[0,098;0,096;0,099;0,092]+0,09625+0,5380555555555556+8+1800+1+1380+1604874123974+1604872323974
4+711+41,97543800354004+[0,1;0,098;0,102;0,095]+0,09875+0,5277777777777778+8+1800+1+1400+1604874131974+1604872331974
4+722+47,880637008666994+[0,102;0,101;0,103;0,096]+0,1005+0,5133333333333336+8+1800+1+1440+1604874139974+1604872339974
4+739+45,75261199951172+[0,104;0,103;0,105;0,098]+0,10250000000000001+0,5118666666666666+8+1800+1+1460+1604874147974+1604872347974
4+751+43,62864100646973+[0,106;0,103;0,108;0,101]+0,10450000000000001+0,534761111111111+8+1800+1+1480+1604874155974+1604872355974
4+767+43,94247200012207+[0,107;0,107;0,11;0,102]+0,1065+0,5724777777777773+8+1800+1+1520+1604874163974+1604872363974
4+778+46,066240005493164+[0,109;0,109;0,111;0,103]+0,108+0,5927777777777778+8+1800+1+1540+1604874171974+1604872371974
4+794+51,80919200134277+[0,111;0,111;0,114;0,104]+0,11+0,5900000000000001+8+1800+1+1560+1604874179974+1604872379974
4+807+45,940118988037106+[0,113;0,112;0,118;0,106]+0,11224999999999999+0,5764333333333334+8+1800+1+1600+1604874187974+1604872387974
4+823+48,88524899291992+[0,116;0,113;0,119;0,109]+0,11424999999999999+0,5777500000000004+8+1800+1+1620+1604874195974+1604872395974
4+839+47,8188990020752+[0,118;0,115;0,121;0,112]+0,11649999999999999+0,566036666666667+8+1800+1+1640+1604874203974+1604872403974
4+857+51,66351600646973+[0,119;0,118;0,124;0,114]+0,11875+0,5522422222222217+8+1800+1+1680+1604874211974+1604872411974
4+873+50,963567001342774+[0,122;0,12;0,126;0,117]+0,12125+0,5147222222222222+8+1800+1+1700+1604874219974+1604872419974
4+886+58,362572006225584+[0,123;0,121;0,129;0,119]+0,123+0,496388888888889+8+1800+1+1720+1604874227974+1604872427974
4+901+54,29709599304199+[0,123;0,123;0,132;0,123]+0,12525+0,5623722222222222+8+1800+1+1760+1604874235974+1604872435974
4+916+51,349427001953124+[0,126;0,124;0,133;0,126]+0,12725+0,6283611111111113+8+1800+1+1780+1604874243974+1604872443974
4+930+51,04672499084473+[0,129;0,125;0,134;0,128]+0,129+0,6787174999999999+8+1800+1+1800+1604874251974+1604872451974
4+941+49,53487600708008+[0,131;0,126;0,136;0,131]+0,131+0,9012066666666664+8+1800+1+1840+1604874259974+1604872459974
4+957+51,243065002441405+[0,134;0,129;0,137;0,132]+0,133+1,011651111111111+8+1800+1+1860+1604874267974+1604872467974
4+975+51,03800801086426+[0,139;0,132;0,137;0,133]+0,13525+1,1383466666666666+8+1800+1+1880+1604874275974+1604872475974
4+996+55,18544100952148+[0,146;0,136;0,138;0,134]+0,1385+1,331825833333333+8+1800+1+1920+1604874283974+1604872483974
4+1027+52,45124501037598+[0,154;0,14;0,142;0,135]+0,14275000000000002+1,399897777777778+8+1800+1+1940+1604874291974+1604872491974
4+1058+55,142703002929686+[0,159;0,147;0,146;0,136]+0,147+1,4566769444444447+8+1800+1+1960+1604874299974+1604872499974
4+1082+53,98289599609375+[0,164;0,151;0,148;0,137]+0,15+1,5280641666666663+8+1800+1+2000+1604874307974+1604872507974
4+1124+54,0800419921875+[0,172;0,157;0,153;0,142]+0,156+1,5719488888888888+8+1800+1+2020+1604874315974+1604872515974
4+1162+60,77417199707031+[0,179;0,164;0,158;0,144]+0,16125+1,5573347222222236+8+1800+1+2040+1604874323974+1604872523974
4+1190+51,751397994995116+[0,184;0,168;0,161;0,148]+0,16525+1,5847233333333326+8+1800+1+2080+1604874331974+1604872531974
4+1237+54,9761669921875+[0,191;0,174;0,167;0,155]+0,17175+1,6085538888888888+8+1800+1+2100+1604874339974+1604872539974
4+1280+53,51156300354004+[0,196;0,181;0,174;0,159]+0,1775+1,605941666666667+8+1800+1+2120+1604874347974+1604872547974
4+1316+56,72752600097656+[0,2;0,187;0,181;0,163]+0,18275000000000002+1,5413136111111105+8+1800+1+2160+1604874355974+1604872555974
4+1364+61,43788400268555+[0,207;0,194;0,188;0,169]+0,1895+1,5615666666666657+8+1800+1+2180+1604874363974+1604872563974
4+1407+58,64071299743652+[0,214;0,198;0,193;0,177]+0,1955+1,532483333333333+8+1800+1+2200+1604874371974+1604872571974
4+1450+56,76777101135254+[0,219;0,202;0,2;0,184]+0,20124999999999998+1,5641555555555555+8+1800+1+2240+1604874379974+1604872579974
4+1490+55,35709298706055+[0,226;0,207;0,205;0,19]+0,20700000000000002+1,5503333333333327+8+1800+1+2260+1604874387974+1604872587974
4+1529+57,68076499938965+[0,232;0,214;0,209;0,194]+0,21225+1,5625736111111108+8+1800+1+2280+1604874395974+1604872595974
4+1570+59,46726699829102+[0,239;0,216;0,215;0,202]+0,21799999999999997+1,5898616666666672+8+1800+1+2320+1604874403974+1604872603974
4+1603+63,5990359954834+[0,242;0,225;0,218;0,206]+0,22274999999999998+1,5516194444444447+8+1800+1+2340+1604874411974+1604872611974
4+1646+57,0254940032959+[0,248;0,232;0,223;0,212]+0,22874999999999998+1,5709250000000008+8+1800+1+2360+1604874419974+1604872619974
4+1686+63,238634002685544+[0,25;0,239;0,23;0,218]+0,23424999999999999+1,5579602777777777+8+1800+1+2400+1604874427974+1604872627974
4+1723+63,6617979888916+[0,256;0,241;0,238;0,223]+0,2395+1,577298611111111+8+1800+1+2420+1604874435974+1604872635974
4+1769+57,57848199462891+[0,264;0,246;0,243;0,23]+0,24575+1,5464780555555557+8+1800+1+2440+1604874443974+1604872643974
4+1807+63,79325+[0,269;0,249;0,249;0,236]+0,25075000000000003+1,6085816666666668+8+1800+1+2480+1604874451974+1604872651974
4+1849+63,662206008911134+[0,274;0,255;0,254;0,244]+0,25675000000000003+1,588949166666666+8+1800+1+2500+1604874459974+1604872659974
4+1891+60,95886199951172+[0,28;0,263;0,259;0,248]+0,2625+1,6763302777777775+8+1800+1+2520+1604874467974+1604872667974
4+1935+66,49846099853515+[0,287;0,268;0,264;0,255]+0,26849999999999996+1,6770666666666667+8+1800+1+2560+1604874475974+1604872675974
4+1980+66,10043598937989+[0,294;0,276;0,27;0,261]+0,27525+1,6567458333333336+8+1800+1+2580+1604874483974+1604872683974
4+2029+74,10323699951172+[0,302;0,283;0,277;0,266]+0,28200000000000003+1,732321944444445+8+1800+1+2600+1604874491974+1604872691974
4+2070+66,89015699768066+[0,306;0,289;0,283;0,272]+0,2875+1,5884944444444442+8+1800+1+2640+1604874499974+1604872699974
4+2124+65,62930700683594+[0,248;0,238;0,233;0,224]+0,23575+1,5490688888888897+8+2250+1+2660+1604874507974+1604872257974
4+2168+66,64778900146484+[0,254;0,244;0,236;0,23]+0,241+1,5964249999999995+8+2250+1+2680+1604874515974+1604872265974
4+2211+70,91585600280762+[0,258;0,246;0,244;0,235]+0,24575+1,4679649999999997+8+2250+1+2720+1604874523974+1604872273974
4+2250+72,24024299621583+[0,262;0,251;0,249;0,238]+0,25+1,4948905555555556+8+2250+1+2740+1604874531974+1604872281974
4+2294+73,37249899291992+[0,267;0,255;0,251;0,247]+0,255+1,4782547222222213+8+2250+1+2760+1604874539974+1604872289974
4+2338+68,39331199645996+[0,272;0,261;0,255;0,252]+0,26+1,5316297222222224+8+2250+1+2800+1604874547974+1604872297974
4+2379+74,35061399841308+[0,275;0,265;0,26;0,257]+0,26425+1,5404758333333333+8+2250+1+2820+1604874555974+1604872305974
4+2415+79,49648399353028+[0,28;0,268;0,265;0,259]+0,268+1,533985+8+2250+1+2840+1604874563974+1604872313974
4+2443+75,01931600952149+[0,283;0,273;0,268;0,261]+0,27125+1,4997550000000004+8+2250+1+2880+1604874571974+1604872321974
4+2499+69,08203399658203+[0,288;0,279;0,275;0,269]+0,27775+1,5018861111111121+8+2250+1+2900+1604874579974+1604872329974
4+2537+68,63588800048828+[0,293;0,283;0,278;0,273]+0,28175+1,506610555555556+8+2250+1+2920+1604874587974+1604872337974
4+2573+71,35685800170899+[0,297;0,285;0,285;0,276]+0,28575+1,562405277777778+8+2250+1+2960+1604874595974+1604872345974
4+2602+67,94316200256348+[0,3;0,29;0,287;0,28]+0,28925+1,6041911111111113+8+2250+1+2980+1604874603974+1604872353974
4+2647+78,1250659942627+[0,305;0,297;0,291;0,283]+0,294+1,6548338888888883+8+2250+1+3000+1604874611974+1604872361974
4+2683+71,32253399658204+[0,311;0,301;0,293;0,287]+0,298+1,6426191666666665+8+2250+1+3040+1604874619974+1604872369974
4+2727+72,3862440032959+[0,316;0,305;0,3;0,291]+0,303+1,6516888888888879+8+2250+1+3060+1604874627974+1604872377974
4+2775+76,54137100219727+[0,321;0,312;0,305;0,295]+0,30824999999999997+1,674244166666666+8+2250+1+3080+1604874635974+1604872385974
4+2811+72,78172100830078+[0,324;0,317;0,308;0,3]+0,31225+1,7055075+8+2250+1+3120+1604874643974+1604872393974
4+2861+80,30324198913574+[0,33;0,322;0,314;0,306]+0,318+1,5775355555555552+8+2250+1+3140+1604874651974+1604872401974
4+2903+73,11507499694824+[0,336;0,325;0,318;0,31]+0,32225000000000004+1,5991288888888886+8+2250+1+3160+1604874659974+1604872409974
4+2950+75,27795799255371+[0,341;0,329;0,324;0,317]+0,32775+1,5937027777777781+8+2250+1+3200+1604874667974+1604872417974
4+2992+72,45181900024414+[0,344;0,336;0,329;0,321]+0,33249999999999996+1,579359999999999+8+2250+1+3220+1604874675974+1604872425974
4+3036+76,54442601013183+[0,348;0,343;0,333;0,325]+0,33725+1,578549722222222+8+2250+1+3240+1604874683974+1604872433974
4+3074+76,61020899963378+[0,353;0,345;0,338;0,329]+0,34125+1,5636624999999993+8+2250+1+3280+1604874691974+1604872441974
4+3114+80,92098600769043+[0,356;0,349;0,345;0,334]+0,346+1,4802599999999992+8+2250+1+3300+1604874699974+1604872449974
4+3164+80,35558599853516+[0,36;0,357;0,35;0,339]+0,3515+1,4522069444444443+8+2250+1+3320+1604874707974+1604872457974
4+3197+77,97541300964356+[0,364;0,358;0,352;0,346]+0,355+1,4448972222222227+8+2250+1+3360+1604874715974+1604872465974
4+3236+83,4600590057373+[0,368;0,364;0,357;0,349]+0,3595+1,4266675+8+2250+1+3380+1604874723974+1604872473974
4+3272+79,03540399169921+[0,371;0,369;0,36;0,354]+0,36350000000000005+1,4962541666666658+8+2250+1+3400+1604874731974+1604872481974
4+3303+80,06162300109864+[0,376;0,37;0,364;0,357]+0,36674999999999996+1,5449574999999989+8+2250+1+3440+1604874739974+1604872489974
4+3344+80,91843701171875+[0,383;0,375;0,37;0,359]+0,37175+1,5332333333333334+8+2250+1+3460+1604874747974+1604872497974
4+3383+79,80866299438476+[0,387;0,379;0,374;0,364]+0,376+1,5574222222222223+8+2250+1+3480+1604874755974+1604872505974
4+3416+82,97307301330567+[0,391;0,384;0,377;0,366]+0,37950000000000006+1,6325588888888878+8+2250+1+3520+1604874763974+1604872513974
4+3463+81,37330799865722+[0,397;0,389;0,383;0,37]+0,38475000000000004+1,6718722222222209+8+2250+1+3540+1604874771974+1604872521974
4+3502+83,8388740081787+[0,401;0,394;0,387;0,374]+0,389+1,5441652777777781+8+2250+1+3560+1604874779974+1604872529974
4+3538+83,26721000671387+[0,405;0,399;0,391;0,378]+0,39325+1,5816072222222217+8+2250+1+3600+1604874787974+1604872537974
4+3585+84,14182299804688+[0,41;0,404;0,395;0,385]+0,3985+1,6342533333333338+8+2250+1+3620+1604874795974+1604872545974
4+3625+88,16393699645997+[0,414;0,407;0,401;0,389]+0,40275+1,6660805555555551+8+2250+1+3640+1604874803974+1604872553974
4+3653+83,32246800231934+[0,417;0,41;0,406;0,391]+0,406+1,5376083333333326+8+2250+1+3680+1604874811974+1604872561974
4+3703+80,6408509979248+[0,421;0,414;0,413;0,397]+0,41125+1,4716000000000002+8+2250+1+3700+1604874819974+1604872569974
4+3747+86,88154998779297+[0,427;0,418;0,418;0,403]+0,4165+1,492661666666667+8+2250+1+3720+1604874827974+1604872577974
4+3789+89,7585059967041+[0,431;0,425;0,42;0,408]+0,421+1,3928041666666664+8+2250+1+3760+1604874835974+1604872585974
4+3834+85,06355799865723+[0,437;0,429;0,424;0,414]+0,426+1,3847222222222224+8+2250+1+3780+1604874843974+1604872593974
4+3872+84,81486399841309+[0,44;0,434;0,429;0,417]+0,43+1,3122222222222222+8+2250+1+3800+1604874851974+1604872601974
4+3912+88,5196840057373+[0,444;0,44;0,435;0,42]+0,43474999999999997+1,1166666666666667+8+2250+1+3840+1604874859974+1604872609974
4+3955+91,89737899780273+[0,448;0,444;0,44;0,426]+0,4395+1,0029555555555558+8+2250+1+3860+1604874867974+1604872617974
4+3988+86,8582080078125+[0,452;0,445;0,446;0,43]+0,44325+0,8966666666666664+8+2250+1+3880+1604874875974+1604872625974
4+4016+88,71707400512695+[0,453;0,447;0,45;0,435]+0,44625000000000004+0,7061111111111109+8+2250+1+3920+1604874883974+1604872633974
4+4049+88,03006999206544+[0,454;0,452;0,453;0,44]+0,44975+0,7138888888888897+8+2250+1+3940+1604874891974+1604872641974
4+4081+86,7634940032959+[0,456;0,453;0,457;0,448]+0,4535+0,6747222222222223+8+2250+1+3960+1604874899974+1604872649974
