RESPONSES,TOTAL_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID
1,2.581341568,15,15,16,1,1654643058750,1654643043750,2590,2600,14,0,1654643078789,1654643079290,1654643081360,0
1,2.5924381,15,15,16,2,1654643073750,1654643058750,2590,2600,14,0,1654643093790,1654643094291,1654643096371,1
1,2.5868595930000002,15,15,16,2,1654643088750,1654643073750,2590,2600,14,0,1654643108791,1654643109292,1654643111366,2
1,4.094791901,15,15,16,2,1654643103750,1654643088750,2590,2600,14,3,1654643123790,1654643125790,1654643127874,3
1,0.749518237,15,15,16,2,1654643118750,1654643103750,2590,2600,14,0,1654643138805,1654643139306,1654643139528,4
1,0.66827823,15,15,16,2,1654643133750,1654643118750,2590,2600,14,0,1654643153788,1654643154289,1654643154447,5
1,2.6712026580000003,15,15,16,2,1654643148750,1654643133750,2590,2600,15,0,1654643168790,1654643169290,1654643171451,6
1,0.685205865,15,15,16,2,1654643163750,1654643148750,2590,2600,15,0,1654643183790,1654643184290,1654643184465,7
1,1.682592489,15,15,16,2,1654643178750,1654643163750,2590,2600,15,0,1654643198793,1654643199293,1654643200462,8
1,2.619261152,15,15,16,2,1654643193750,1654643178750,2590,2600,15,0,1654643213790,1654643214291,1654643216399,9
1,2.5934966079999997,15,15,16,2,1654643208750,1654643193750,2590,2600,15,0,1654643228794,1654643229294,1654643231375,10
1,2.588423369,15,15,16,2,1654643223750,1654643208750,2590,2600,15,0,1654643243794,1654643244295,1654643246370,11
1,2.584668339,15,15,16,2,1654643238750,1654643223750,2590,2600,15,0,1654643258790,1654643259291,1654643261366,12
1,2.591626989,15,15,16,2,1654643253750,1654643238750,2590,2600,15,0,1654643273792,1654643274293,1654643276374,13
1,2.586683909,15,15,16,2,1654643268750,1654643253750,2590,2600,16,0,1654643288793,1654643289293,1654643291369,14
1,2.590652552,15,15,16,2,1654643283750,1654643268750,2590,2600,16,0,1654643303793,1654643304294,1654643306373,15
1,2.58566946,15,15,16,2,1654643298750,1654643283750,2590,2600,16,0,1654643318794,1654643319295,1654643321369,16
1,2.590848051,15,15,16,2,1654643313750,1654643298750,2590,2600,16,0,1654643333796,1654643334296,1654643336375,17
