RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES
1,2.656046271,0.053813539,15,30,15,10,1657408837098,1657408807098,3,3.2,4,0,1657408857292,1657408857796,1657408859929,0,4
1,2.7985542679999997,0.13691473099999998,15,30,15,30,1657408852098,1657408822098,3,3.2,4,0,1657408872291,1657408872793,1657408875073,1,4
1,2.7969113400000003,0.127262597,15,30,15,30,1657408867098,1657408837098,3,3.2,4,0,1657408887304,1657408887804,1657408890079,2,4
1,2.7830737279999997,0.139802808,15,30,15,30,1657408882098,1657408852098,3,3.2,4,0,1657408902301,1657408902801,1657408905065,3,4
1,2.788634115,0.153023726,15,30,15,30,1657408897098,1657408867098,3,3.2,4,0,1657408917300,1657408917800,1657408920071,4,4
1,2.78101854,0.161508185,15,30,15,30,1657408912098,1657408882098,3,3.2,4,0,1657408932309,1657408932808,1657408935069,5,4
1,2.8156148560000003,0.16821698799999998,15,30,15,30,1657408927098,1657408897098,3,3.2,4,0,1657408947323,1657408947825,1657408950111,6,4
1,2.795243869,0.139518096,15,30,15,30,1657408942098,1657408912098,3,3.2,4,0,1657408962318,1657408962817,1657408965091,7,4
1,2.7940586520000004,0.161997679,15,30,15,30,1657408957098,1657408927098,3,3.2,4,0,1657408977312,1657408977813,1657408980090,8,4
1,2.815653089,0.163602099,15,30,15,30,1657408972098,1657408942098,3,3.2,4,0,1657408992324,1657408992827,1657408995117,9,4
1,2.813890495,0.136953148,15,30,15,30,1657408987098,1657408957098,3,3.2,4,0,1657409007317,1657409007817,1657409010115,10,4
1,2.8094697379999998,0.140095542,15,30,15,30,1657409002098,1657408972098,3,3.2,4,0,1657409022323,1657409022827,1657409025110,11,4
