TIMESTAMP,MIN_TIME,MAX_TIME,MEAN_TIME,STDEV_TIME,MIN_TIME_A,MAX_TIME_A,MEAN_TIME_A,STDEV_TIME_A,MIN_WIN,MAX_WIN,MEAN_WIN,STDEV_WIN
1662924211155,0.469,2.245,1.6443333333333332,0.8311539501734253,0.113399471,0.136296472,0.121855221,0.010261183504328373,90,90,90,0
1662924241155,0.471,2.239,1.6416666666666666,0.8278443224557513,0.112620897,0.14006718799999998,0.12215087366666666,0.012677347698649585,90,90,90,0
1662924271155,0.463,2.237,1.6383333333333334,0.8311346996058394,0.11218478500000001,0.131570472,0.120305893,0.008220392227518622,90,90,90,0
1662924301155,0.462,2.235,1.6369999999999998,0.8308946985027645,0.112948606,0.135106798,0.12226054333333332,0.00938491404459808,90,90,90,0
1662924331155,0.474,2.241,1.643666666666667,0.8271422019352068,0.11497775900000001,0.13942796300000002,0.12353659400000001,0.0112480416089875,90,90,90,0
1662924361155,0.467,2.247,1.6463333333333334,0.8339629621405391,0.113708698,0.135902633,0.12135397433333334,0.010291912793586695,90,90,90,0
1662924391155,0.467,2.242,1.64,0.8295328002355703,0.114241343,0.137522268,0.122123388,0.01088967319763163,90,90,90,0
1662924421155,0.459,2.243,1.6383333333333334,0.8340045296972646,0.111954041,0.135563898,0.12114695999999998,0.010322277454592499,90,90,90,0
1662924451155,0.459,2.24,1.638,0.8337413667718945,0.11244886800000001,0.135750352,0.12029276900000001,0.01093056583922372,90,90,90,0
1662924481155,0.451,2.234,1.6343333333333334,0.836768519696789,0.112330829,0.13306216,0.12021955200000001,0.009159794528365408,90,90,90,0
1662924511155,0.451,2.239,1.636,0.8379653930801676,0.112452839,0.132450234,0.12031544266666666,0.008704889135457933,90,90,90,0
1662924541155,0.454,2.244,1.640666666666667,0.8391397711678048,0.112480483,0.134166006,0.119936744,0.010065473456504105,90,90,90,0
1662924571155,0.455,2.248,1.6433333333333333,0.8403222926684473,0.111894026,0.140733089,0.12214639466666666,0.01316608336897086,90,90,90,0
1662924601155,0.453,2.231,1.6336666666666666,0.8348769703109288,0.116546369,0.13422034700000002,0.12255820566666668,0.00824769995031898,90,90,90,0
1662924631155,0.433,2.24,1.6293333333333333,0.8459969792433593,0.11493061299999999,0.142214392,0.12437708600000001,0.012620240567058062,90,90,90,0
1662924661155,0.439,2.241,1.6313333333333333,0.8431790372684137,0.111222587,0.13743006,0.121479026,0.011431804156881827,90,90,90,0
1662924691155,0.435,2.238,1.6280000000000001,0.8436504015289745,0.112215801,0.13780791,0.12168749999999999,0.011456963799020841,90,90,90,0
1662924721155,0.437,2.236,1.6300000000000001,0.8436140507759853,0.113781311,0.136022164,0.121895818,0.010025651821314598,90,90,90,0
1662924751155,0.423,2.241,1.6256666666666668,0.8504905773859122,0.114035072,0.14355715900000002,0.12400015566666667,0.013829728784463627,90,90,90,0
1662924781155,0.424,2.236,1.6233333333333333,0.848123156675308,0.111413608,0.136570247,0.12091769166666666,0.011152485502372177,90,90,90,0
1662924811155,0.43,2.239,1.6293333333333333,0.8480960375387264,0.11235054,0.134041818,0.12157162066666667,0.009148604799040104,90,90,90,0
1662924841155,2.215,2.29,2.2525,0.03750000000000009,0.11465350599999999,0.15949274600000002,0.137073126,0.022419620000000015,90,90,90,0
1662924871155,2.225,2.232,2.2285000000000004,0.0035000000000000586,0.115067873,0.11613444699999999,0.11560116,0.0005332869999999934,90,90,90,0
1662924901155,2.217,2.222,2.2195,0.0024999999999999467,0.11205302,0.114252212,0.11315261600000001,0.0010995960000000013,90,90,90,0
1662924931155,2.216,2.222,2.2190000000000003,0.002999999999999892,0.11343904499999999,0.11722118399999999,0.1153301145,0.001891069500000002,90,90,90,0
1662924961155,2.222,2.227,2.2245,0.0024999999999999467,0.11563416700000001,0.11664451599999999,0.11613934149999999,0.0005051744999999899,90,90,90,0
1662924991155,2.215,2.227,2.221,0.006000000000000005,0.114781276,0.11849546700000001,0.1166383715,0.0018570955000000028,90,90,90,0
1662925021155,2.228,2.261,2.2445000000000004,0.01649999999999996,0.113817705,0.11536686,0.1145922825,0.0007745774999999983,90,90,90,0
1662925051155,2.216,2.219,2.2175000000000002,0.0014999999999998348,0.11386455599999999,0.11534217,0.11460336299999999,0.000738807000000001,90,90,90,0
1662925081155,2.216,2.222,2.2190000000000003,0.002999999999999892,0.116162412,0.11667567200000001,0.116419042,0.00025663000000000075,90,90,90,0
1662925111155,2.212,2.23,2.221,0.008999999999999897,0.11482965299999999,0.116478103,0.11565387799999999,0.0008242250000000048,90,90,90,0
1662925141155,2.222,2.267,2.2445,0.022499999999999964,0.118643879,0.125483285,0.122063582,0.003419703000000003,90,90,90,0
1662925171155,2.221,2.226,2.2235,0.0024999999999999467,0.112575013,0.12038206800000001,0.1164785405,0.0039035275000000036,90,90,90,0
1662925201155,2.221,2.223,2.222,0.0009999999999998899,0.11427090200000001,0.115287812,0.114779357,0.0005084549999999979,90,90,90,0
1662925231155,2.217,2.225,2.221,0.0040000000000000036,0.118192932,0.119628444,0.118910688,0.000717756,90,90,90,0
1662925261155,2.222,2.224,2.223,0.001000000000000112,0.115577259,0.120436487,0.118006873,0.0024296139999999966,90,90,90,0
1662925291155,2.216,2.228,2.2220000000000004,0.006000000000000005,0.116011346,0.118504818,0.117258082,0.0012467359999999983,90,90,90,0
1662925321155,2.219,2.221,2.2199999999999998,0.001000000000000112,0.115272467,0.117790678,0.1165315725,0.0012591054999999962,90,90,90,0
1662925351155,2.221,2.227,2.224,0.002999999999999892,0.11061813200000001,0.11833848799999999,0.11447831,0.003860177999999992,90,90,90,0
1662925381155,2.213,2.224,2.2185,0.00550000000000006,0.11487992,0.11746717300000001,0.1161735465,0.0012936265000000058,90,90,90,0
1662925411155,2.22,2.228,2.224,0.0040000000000000036,0.112979027,0.11578010000000001,0.1143795635,0.0014005365000000075,90,90,90,0
1662925441155,2.231,2.231,2.231,0,0.115534404,0.115534404,0.115534404,0,90,90,90,0
