MIN,MAX,MEAN,STDEV,NUMBER_ESC_RUNNING
1.935186014,2.838377996,1.2715287418571428,0.9370015880390129,1
0.94722253,2.747460845,1.428836701714286,0.7732076988287354,2
0.9146703730000001,2.7832572829999997,1.4733366032723214,0.6350736501222675,3
1.6254132529999998,2.762828897,1.5527610659714284,0.5446312048394573,4
1.027914515,2.962384188,1.7528169597767855,0.6137784704985835,5
0.793791986,2.8962015329999997,1.7232133848265307,0.6285608539247273,6
1.04091326,2.956977132,1.7251393810535716,0.5571203018159429,7
1.455799898,2.916522097,1.7549402840297619,0.5269303909846578,8
1.18728502,3.03673306,1.808530881032143,0.5478180518285355,9
1.273804118,2.9141314769999997,1.8579011246006494,0.5657971532241431,10
1.26391812,3.080833143,1.8706814313229165,0.584852847914281,11
1.2532730220000001,3.076617635,1.8614107804162086,0.5731465419627291,12
0.782309952,2.920667088,1.722579947692602,0.5748761081595938,13
1.0469205380000002,3.154536521,1.8416441439142859,0.5979493723739866,14
0.9436795459999999,3.19557504,1.8405219436428573,0.6657206087960401,15
1.053608997,3.1296789950000004,1.9936529340271352,0.6236530119887689,16
1.0999306979999999,3.086501409,2.02447853885,0.6132219811977007,15
1.0488624910000002,2.997826886,1.94173636875,0.6186335405031105,14
1.071667481,3.047900689,1.9418194145576921,0.6286075294388455,13
1.258051783,2.9927966230000003,1.9984185492500002,0.5975404943940151,12
1.2272365,2.931533938,2.03159532475,0.602852314983699,11
1.2350116359999999,2.891963432,1.9644788700750002,0.578308992192681,10
1.4667670149999998,2.900476667,2.020417188138889,0.5762581963991448,9
1.4546248419999999,2.874347774,1.92621603915625,0.5475154626948684,8
1.485189742,2.983654241,1.98550339775,0.5746512094665139,7
1.4663044170000001,2.888968557,2.2984322071666665,0.7088562849080363,6
1.5318440020000001,2.873204571,2.1045471523500003,0.614725615742852,5
1.521917571,2.7568441160000003,1.871076466375,0.5126977241280168,4
1.5002926090000002,2.7642967560000002,1.980765365,0.5532403089322019,3
1.4994110250000001,2.757909863,2.9563039405000002,1.3807836887027103,2
2.733551728,2.757055241,2.743360719382353,0.006001235020479825,1
