RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,HOOK_DATA_RETRIES,INIT_EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES_NUMBER,METRICS_VALUES,GUARANTEES_VALUES
1,2.121564486,0.047394883,30,90,30,10,1658996647697,1658996557697,3,3.2,1,0,0,1788,186258068,1658996695356,0,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.1420981185,0.075724941,30,90,30,20,1658996677697,1658996587697,3,3.2,1,0,0,1818,192861023,1658996725404,1,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.1673400686666664,0.103482091,30,90,30,30,1658996707697,1658996617697,3,3.2,1,0,0,1848,197701901,1658996755464,2,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.18857470675,0.135271166,30,90,30,40,1658996737697,1658996647697,3,3.2,1,0,0,1878,203994408,1658996785505,3,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.1991380154,0.13178318,30,90,30,40,1658996767697,1658996677697,3,3.2,1,0,0,1908,211577550,1658996815502,4,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.2230141427999994,0.134968419,30,90,30,40,1658996797697,1658996707697,3,3.2,1,0,0,1938,214298835,1658996845504,5,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.239113191,0.130080854,30,90,30,40,1658996827697,1658996737697,3,3.2,1,0,0,1968,227237119,1658996875519,6,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.2429876911999997,0.134266541,30,90,30,40,1658996857697,1658996767697,3,3.2,1,0,0,1998,226133844,1658996905512,7,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.241449841,0.131367969,30,90,30,40,1658996887697,1658996797697,3,3.2,1,0,0,2028,233909958,1658996935527,8,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.2419848752,0.130272086,30,90,30,40,1658996917697,1658996827697,3,3.2,1,0,0,2058,237541907,1658996965530,9,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,1.9952251823999998,0.12105070700000001,30,90,30,40,1658996947697,1658996857697,3,3.2,1,0,0,2088,233074718,1658996994289,10,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,1.9951617806000002,0.13027207100000002,30,90,30,40,1658996977697,1658996887697,3,3.2,2,0,0,2118,241243967,1658997025533,11,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,1.9940202364000001,0.122190091,30,90,30,40,1658997007697,1658996917697,3,3.2,2,0,0,2148,234842009,1658997055515,12,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
