RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES
1,2.6610480290000003,0.040849492,15,30,15,10,1657408837081,1657408807081,3,3.2,4,0,1657408857284,1657408857785,1657408859927,0,4
1,2.804996141,0.128719347,15,30,15,30,1657408852081,1657408822081,3,3.2,4,0,1657408872285,1657408872786,1657408875072,1,4
1,2.8082660689999996,0.133529471,15,30,15,30,1657408867081,1657408837081,3,3.2,4,0,1657408887296,1657408887797,1657408890079,2,4
1,2.7906752150000003,0.121725346,15,30,15,30,1657408882081,1657408852081,3,3.2,4,0,1657408902294,1657408902794,1657408905064,3,4
1,2.796389939,0.13023991899999998,15,30,15,30,1657408897081,1657408867081,3,3.2,4,0,1657408917295,1657408917795,1657408920072,4,4
1,2.788004431,0.12460526400000001,15,30,15,30,1657408912081,1657408882081,3,3.2,4,0,1657408932303,1657408932804,1657408935068,5,4
1,2.827883152,0.15197648,15,30,15,30,1657408927081,1657408897081,3,3.2,4,0,1657408947313,1657408947814,1657408950111,6,4
1,2.8075702970000003,0.143546684,15,30,15,30,1657408942081,1657408912081,3,3.2,4,0,1657408962307,1657408962808,1657408965090,7,4
1,2.8049339100000004,0.129330748,15,30,15,30,1657408957081,1657408927081,3,3.2,4,0,1657408977304,1657408977804,1657408980089,8,4
1,2.8268759660000002,0.147287776,15,30,15,30,1657408972081,1657408942081,3,3.2,4,0,1657408992321,1657408992822,1657408995115,9,4
1,2.824498556,0.142121098,15,30,15,30,1657408987081,1657408957081,3,3.2,4,0,1657409007307,1657409007808,1657409010114,10,4
1,2.817075524,0.13766409400000001,15,30,15,30,1657409002081,1657408972081,3,3.2,4,0,1657409022322,1657409022822,1657409025109,11,4
1,2.8104235159999997,0.14470608100000001,15,30,15,30,1657409017081,1657408987081,3,3.2,4,0,1657409037311,1657409037812,1657409040104,12,4
1,2.817004668,0.13882551799999998,15,30,15,30,1657409032081,1657409002081,3,3.2,4,0,1657409052315,1657409052816,1657409055113,13,4
1,2.8199597929999998,0.141308009,15,30,15,30,1657409047081,1657409017081,3,3.2,4,0,1657409067315,1657409067816,1657409070117,14,4
1,2.800839596,0.13251439099999998,15,30,15,30,1657409062081,1657409032081,3,3.2,4,0,1657409082320,1657409082820,1657409085103,15,4
1,2.801395222,0.127778518,15,30,15,30,1657409077081,1657409047081,3,3.2,4,0,1657409097323,1657409097824,1657409100102,16,4
1,2.81631205,0.15014402400000001,15,30,15,30,1657409092081,1657409062081,3,3.2,4,0,1657409112327,1657409112828,1657409115119,17,4
1,2.804259457,0.133205091,15,30,15,30,1657409107081,1657409077081,3,3.2,4,0,1657409127328,1657409127829,1657409130112,18,4
1,2.8137585709999997,0.130697441,15,30,15,30,1657409122081,1657409092081,3,3.2,4,0,1657409142337,1657409142838,1657409145122,19,4
1,2.803791838,0.13547839,15,30,15,30,1657409137081,1657409107081,3,3.2,4,0,1657409157328,1657409157830,1657409160113,20,4
