RESPONSES,TOTAL_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID
1,1.781427844,15,15,16,1,1655116270204,1655116255204,2590,2600,5,0,1655116290233,1655116290735,1655116292000,0
1,1.786959555,15,15,16,2,1655116285204,1655116270204,2590,2600,5,0,1655116305230,1655116305730,1655116307006,1
1,1.785825596,15,15,16,2,1655116300204,1655116285204,2590,2600,5,0,1655116320230,1655116320731,1655116322005,2
1,2.2980120860000004,15,15,16,2,1655116315204,1655116300204,2590,2600,5,0,1655116335230,1655116335731,1655116337518,3
1,2.601493876,15,15,16,2,1655116330204,1655116315204,2590,2600,5,0,1655116350236,1655116350737,1655116352822,4
1,1.235725491,15,15,16,2,1655116345204,1655116330204,2590,2600,5,0,1655116365232,1655116365733,1655116366456,5
1,1.734848323,15,15,16,2,1655116360204,1655116345204,2590,2600,5,0,1655116380232,1655116380732,1655116381956,6
1,1.8262310110000002,15,15,16,2,1655116375204,1655116360204,2590,2600,6,0,1655116395232,1655116395733,1655116397048,7
1,1.799558591,15,15,16,2,1655116390204,1655116375204,2590,2600,6,0,1655116410232,1655116410733,1655116412021,8
1,1.801804645,15,15,16,2,1655116405204,1655116390204,2590,2600,6,0,1655116425233,1655116425733,1655116427024,9
1,1.811464469,15,15,16,2,1655116420204,1655116405204,2590,2600,6,0,1655116440234,1655116440734,1655116442033,10
1,1.792105497,15,15,16,2,1655116435204,1655116420204,2590,2600,6,0,1655116455232,1655116455733,1655116457014,11
1,1.788996288,15,15,16,2,1655116450204,1655116435204,2590,2600,6,0,1655116470233,1655116470733,1655116472010,12
1,1.795622402,15,15,16,2,1655116465204,1655116450204,2590,2600,6,0,1655116485233,1655116485733,1655116487018,13
1,1.7875369760000002,15,15,16,2,1655116480204,1655116465204,2590,2600,7,0,1655116500233,1655116500734,1655116502010,14
1,1.785924046,15,15,16,2,1655116495204,1655116480204,2590,2600,7,0,1655116515233,1655116515734,1655116517009,15
1,1.666572704,15,15,16,2,1655116510204,1655116495204,2590,2600,7,0,1655116530235,1655116530736,1655116531890,16
1,1.668446207,15,15,16,2,1655116525204,1655116510204,2590,2600,7,0,1655116545234,1655116545734,1655116546892,17
1,1.681127149,15,15,16,2,1655116540204,1655116525204,2590,2600,7,0,1655116560234,1655116560735,1655116561905,18
1,2.216533213,15,15,16,2,1655116555204,1655116540204,2590,2600,7,0,1655116575234,1655116575734,1655116577441,19
1,2.5171836090000004,15,15,16,2,1655116570204,1655116555204,2590,2600,7,0,1655116590235,1655116590735,1655116592742,20
1,0.871885853,15,15,16,2,1655116585204,1655116570204,2590,2600,7,0,1655116605237,1655116605737,1655116606098,21
1,1.813652824,15,15,16,2,1655116600204,1655116585204,2590,2600,8,0,1655116620236,1655116620737,1655116622041,22
1,1.827700253,15,15,16,2,1655116615204,1655116600204,2590,2600,8,0,1655116635238,1655116635738,1655116637054,23
1,1.809695496,15,15,16,2,1655116630204,1655116615204,2590,2600,8,0,1655116650237,1655116650738,1655116652037,24
1,1.790559803,15,15,16,2,1655116645204,1655116630204,2590,2600,8,0,1655116665237,1655116665737,1655116667018,25
1,1.800378363,15,15,16,2,1655116660204,1655116645204,2590,2600,8,0,1655116680238,1655116680739,1655116682028,26
1,1.7870799750000002,15,15,16,2,1655116675204,1655116660204,2590,2600,8,0,1655116695238,1655116695738,1655116697016,27
1,1.7884355410000001,15,15,16,2,1655116690204,1655116675204,2590,2600,8,0,1655116710238,1655116710739,1655116712017,28
1,1.669838068,15,15,16,2,1655116705204,1655116690204,2590,2600,9,0,1655116725238,1655116725739,1655116726898,29
1,1.792033175,15,15,16,2,1655116720204,1655116705204,2590,2600,9,0,1655116740238,1655116740739,1655116742020,30
1,1.790665038,15,15,16,2,1655116735204,1655116720204,2590,2600,9,0,1655116755240,1655116755741,1655116757019,31
1,1.52078334,15,15,16,2,1655116750204,1655116735204,2590,2600,9,0,1655116770238,1655116770739,1655116771750,32
1,1.811428108,15,15,16,2,1655116765204,1655116750204,2590,2600,9,0,1655116785238,1655116785739,1655116787040,33
1,1.693273989,15,15,16,2,1655116780204,1655116765204,2590,2600,9,0,1655116800238,1655116800739,1655116801922,34
1,1.7734597810000001,15,15,16,2,1655116795204,1655116780204,2590,2600,9,0,1655116815240,1655116815740,1655116817003,35
1,2.344424156,15,15,16,2,1655116810204,1655116795204,2590,2600,10,0,1655116830238,1655116830738,1655116832574,36
1,1.2180477760000001,15,15,16,2,1655116825204,1655116810204,2590,2600,10,0,1655116845240,1655116845740,1655116846448,37
1,1.821464472,15,15,16,2,1655116840204,1655116825204,2590,2600,10,0,1655116860239,1655116860740,1655116862051,38
1,1.8314667119999999,15,15,16,2,1655116855204,1655116840204,2590,2600,10,0,1655116875241,1655116875740,1655116877062,39
1,1.8239855299999999,15,15,16,2,1655116870204,1655116855204,2590,2600,10,0,1655116890242,1655116890743,1655116892055,40
1,1.824001945,15,15,16,2,1655116885204,1655116870204,2590,2600,10,0,1655116905239,1655116905740,1655116907054,41
1,1.787905784,15,15,16,2,1655116900204,1655116885204,2590,2600,10,0,1655116920242,1655116920743,1655116922019,42
1,1.786607122,15,15,16,2,1655116915204,1655116900204,2590,2600,10,0,1655116935243,1655116935744,1655116937019,43
1,1.785360128,15,15,16,2,1655116930204,1655116915204,2590,2600,11,0,1655116950241,1655116950742,1655116952017,44
1,1.683390685,15,15,16,2,1655116945204,1655116930204,2590,2600,11,0,1655116965242,1655116965742,1655116966915,45
1,1.676311118,15,15,16,2,1655116960204,1655116945204,2590,2600,11,0,1655116980242,1655116980741,1655116981909,46
1,1.796994142,15,15,16,2,1655116975204,1655116960204,2590,2600,11,0,1655116995243,1655116995744,1655116997030,47
1,1.188968365,15,15,16,2,1655116990204,1655116975204,2590,2600,11,0,1655117010250,1655117010750,1655117011422,48
1,1.8303758430000001,15,15,16,2,1655117005204,1655116990204,2590,2600,11,0,1655117025243,1655117025742,1655117027064,49
1,0.780914856,15,15,16,2,1655117020204,1655117005204,2590,2600,11,0,1655117040243,1655117040744,1655117041014,50
1,4.1184041559999995,15,15,16,2,1655117035204,1655117020204,2590,2600,12,3,1655117055243,1655117057243,1655117059353,51
1,2.647914392,15,15,16,2,1655117050204,1655117035204,2590,2600,12,0,1655117070247,1655117070747,1655117072883,52
1,1.228597407,15,15,16,2,1655117065204,1655117050204,2590,2600,12,0,1655117085245,1655117085745,1655117086463,53
1,1.747679137,15,15,16,2,1655117080204,1655117065204,2590,2600,12,0,1655117100248,1655117100749,1655117101983,54
1,1.737983692,15,15,16,2,1655117095204,1655117080204,2590,2600,12,0,1655117115245,1655117115746,1655117116973,55
1,1.7046866930000002,15,15,16,2,1655117110204,1655117095204,2590,2600,12,0,1655117130245,1655117130746,1655117131940,56
1,1.7237688089999998,15,15,16,2,1655117125204,1655117110204,2590,2600,12,0,1655117145247,1655117145748,1655117146959,57
1,1.688504129,15,15,16,2,1655117140204,1655117125204,2590,2600,12,0,1655117160245,1655117160746,1655117161924,58
1,1.796653738,15,15,16,2,1655117155204,1655117140204,2590,2600,13,0,1655117175245,1655117175746,1655117177033,59
1,1.787831513,15,15,16,2,1655117170204,1655117155204,2590,2600,13,0,1655117190246,1655117190747,1655117192024,60
1,1.687274733,15,15,16,2,1655117185204,1655117170204,2590,2600,13,0,1655117205247,1655117205747,1655117206924,61
1,1.6952557,15,15,16,2,1655117200204,1655117185204,2590,2600,13,0,1655117220247,1655117220748,1655117221933,62
1,2.624604697,15,15,16,2,1655117215204,1655117200204,2590,2600,13,0,1655117235248,1655117235749,1655117237862,63
1,0.787114634,15,15,16,2,1655117230204,1655117215204,2590,2600,13,0,1655117250248,1655117250749,1655117251025,64
1,1.8497049110000001,15,15,16,2,1655117245204,1655117230204,2590,2600,13,0,1655117265248,1655117265749,1655117267089,65
1,1.842431039,15,15,16,2,1655117260204,1655117245204,2590,2600,14,0,1655117280248,1655117280749,1655117282081,66
