RESPONSES,TOTAL_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID
1,1.7709009180000002,15,6000,16,1,1654634867567,1654628867567,2590,2600,5,0,1654634887584,1654634888084,1654634889344,0
1,2.629721881,15,6000,16,3,1654634882567,1654628882567,2590,2600,5,0,1654634902584,1654634903085,1654634905203,1
1,3.139560951,15,6000,16,4,1654634897567,1654628897567,2590,2600,5,1,1654634917584,1654634918584,1654634920713,2
1,4.18284194,15,6000,16,5,1654634912567,1654628912567,2590,2600,5,3,1654634932585,1654634934588,1654634936757,3
1,2.693799176,15,6000,16,5,1654634927567,1654628927567,2590,2600,5,0,1654634947633,1654634948133,1654634950269,4
1,0.9039648570000001,15,6000,16,6,1654634942567,1654628942567,2590,2600,5,0,1654634962587,1654634963089,1654634963480,5
1,1.87743544,15,6000,16,7,1654634957567,1654628957567,2590,2600,6,0,1654634977587,1654634978087,1654634979454,6
1,0.83956416,15,6000,16,8,1654634972567,1654628972567,2590,2600,6,0,1654634992587,1654634993089,1654634993415,7
1,1.845658313,15,6000,16,9,1654634987567,1654628987567,2590,2600,6,0,1654635007586,1654635008087,1654635009422,8
1,2.615531234,15,6000,16,10,1654635002567,1654629002567,2590,2600,6,0,1654635022594,1654635023095,1654635025193,9
1,2.5979479299999997,15,6000,16,11,1654635017567,1654629017567,2590,2600,6,0,1654635037588,1654635038088,1654635040175,10
1,2.627962624,15,6000,16,12,1654635032567,1654629032567,2590,2600,6,0,1654635052590,1654635053090,1654635055205,11
1,2.626556611,15,6000,16,13,1654635047567,1654629047567,2590,2600,6,0,1654635067590,1654635068090,1654635070204,12
1,1.778022317,15,6000,16,14,1654635062567,1654629062567,2590,2600,6,0,1654635082589,1654635083090,1654635084355,13
1,2.6316685349999998,15,6000,16,15,1654635077567,1654629077567,2590,2600,7,0,1654635097588,1654635098088,1654635100209,14
1,2.6503833410000004,15,6000,16,16,1654635092567,1654629092567,2590,2600,7,0,1654635112605,1654635113106,1654635115227,15
1,0.900494419,15,6000,16,17,1654635107567,1654629107567,2590,2600,7,0,1654635127588,1654635128090,1654635128478,16
1,1.885111707,15,6000,16,18,1654635122567,1654629122567,2590,2600,7,0,1654635142611,1654635143112,1654635144462,17
1,0.9176934919999999,15,6000,16,19,1654635137567,1654629137567,2590,2600,7,0,1654635157591,1654635158092,1654635158496,18
1,1.837698915,15,6000,16,20,1654635152567,1654629152567,2590,2600,7,0,1654635172590,1654635173091,1654635174416,19
1,2.752380114,15,6000,16,20,1654635167567,1654629167567,2590,2600,7,0,1654635187622,1654635188123,1654635190330,20
1,1.0979146249999998,15,6000,16,21,1654635182567,1654629182567,2590,2600,8,0,1654635202590,1654635203091,1654635203676,21
1,1.453086984,15,6000,16,22,1654635197567,1654629197567,2590,2600,8,0,1654635217591,1654635218091,1654635219032,22
1,1.8781241480000002,15,6000,16,23,1654635212567,1654629212567,2590,2600,8,0,1654635232592,1654635233092,1654635234457,23
1,1.211175794,15,6000,16,24,1654635227567,1654629227567,2590,2600,8,0,1654635247592,1654635248092,1654635248791,24
1,1.8923704319999999,15,6000,16,25,1654635242567,1654629242567,2590,2600,8,0,1654635262596,1654635263096,1654635264473,25
1,1.858356481,15,6000,16,26,1654635257567,1654629257567,2590,2600,8,0,1654635277593,1654635278093,1654635279440,26
1,1.8503179950000002,15,6000,16,27,1654635272567,1654629272567,2590,2600,8,0,1654635292592,1654635293092,1654635294431,27
1,1.378123256,15,6000,16,28,1654635287567,1654629287567,2590,2600,8,0,1654635307595,1654635308095,1654635308960,28
1,1.878333758,15,6000,16,29,1654635302567,1654629302567,2590,2600,9,0,1654635322595,1654635323094,1654635324461,29
