RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID
1,2.499692465,0.035305499,15,5000,15,10,1655453811509,1655448811509,2.5,3,7,0,1655453831536,1655453832036,1655453834022,0
1,2.5859761870000004,0.084726585,15,5000,15,30,1655453826509,1655448826509,2.5,3,7,0,1655453846538,1655453847038,1655453849109,1
1,2.549545217,0.10611104,15,5000,15,40,1655453841509,1655448841509,2.5,3,7,0,1655453861539,1655453862038,1655453864072,2
1,3.009666224,0.18572994299999998,15,5000,15,50,1655453856509,1655448856509,2.5,3,8,0,1655453876541,1655453877041,1655453879533,3
1,3.225177412,0.188717513,15,5000,15,60,1655453871509,1655448871509,2.5,3,8,0,1655453891546,1655453892047,1655453894748,4
1,3.101232858,0.247201755,15,5000,15,70,1655453886509,1655448886509,2.5,3,8,0,1655453906575,1655453907078,1655453909625,5
1,3.252887617,0.354585033,15,5000,15,80,1655453901509,1655448901509,2.5,3,8,0,1655453921865,1655453922366,1655453924777,6
1,3.3800931999999997,0.358097089,15,5000,15,90,1655453916509,1655448916509,2.5,3,8,0,1655453937412,1655453937913,1655453939904,7
1,4.466166065,0.6082648669999999,15,5000,15,100,1655453931509,1655448931509,2.5,3,8,0,1655453951895,1655453952395,1655453955990,8
1,11.537460689,0.46357638100000004,15,5000,15,110,1655453946509,1655448946509,2.5,3,8,5,1655453966936,1655453969947,1655453978063,9
1,5.0773280100000004,0.7349348149999999,15,5000,15,110,1655453961509,1655448961509,2.5,3,8,0,1655453981558,1655453982059,1655453986602,10
1,5.817836149,0.7006304649999999,15,5000,15,130,1655453976509,1655448976509,2.5,3,8,0,1655453997512,1655453998013,1655454002342,11
1,3.548477225,0.65838558,15,5000,15,140,1655453991509,1655448991509,2.5,3,8,0,1655454011557,1655454012058,1655454015074,12
1,6.602292896,0.967248158,15,5000,15,150,1655454006509,1655449006509,2.5,3,8,0,1655454027658,1655454028158,1655454033128,13
1,8.463816293,0.562816066,15,5000,15,160,1655454021509,1655449021509,2.5,3,8,6,1655454041563,1655454045065,1655454049990,14
1,3.612547971,0.871426347,15,5000,15,170,1655454036509,1655449036509,2.5,3,8,1,1655454056559,1655454057579,1655454060139,15
