RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES
1,2.3045739170000004,0.032876765,15,30,15,10,1656960508003,1656960478003,3,3.2,16,0,1656960753027,1656960753527,1656960755320,0,4
1,2.34407352,0.061491940999999994,15,37.5,15,20,1656960523003,1656960485503,3,3.2,16,0,1656960768027,1656960768528,1656960770359,1,4
1,2.399942533,0.090965078,15,46.875,15,30,1656960538003,1656960491128,3,3.2,16,0,1656960783029,1656960783530,1656960785415,2,4
1,2.4921874830000004,0.106306664,15,58.59375,15,40,1656960553003,1656960494409.25,3,3.2,16,0,1656960798033,1656960798533,1656960800508,3,4
1,2.650201127,0.13021767399999998,15,73.2421875,15,50,1656960568003,1656960494760.8125,3,3.2,16,0,1656960813030,1656960813530,1656960815665,4,4
1,2.562413086,0.161853324,15,91.552734375,15,60,1656960583003,1656960491450.2656,3,3.2,16,0,1656960828103,1656960828603,1656960830579,5,4
1,2.778101599,0.253531293,15,114.44091796875,15,70,1656960598003,1656960483562.082,3,3.2,16,0,1656960843284,1656960843784,1656960845794,6,4
1,3.292385956,0.389672262,15,143.0511474609375,15,80,1656960613003,1656960469951.8525,3,3.2,16,0,1656960858066,1656960858566,1656960861309,7,4
1,2.830002431,0.330084789,15,107.28836059570312,15,80,1656960628003,1656960520714.6394,3,3.2,16,0,1656960873227,1656960873728,1656960875848,8,4
1,3.393539912,0.255647696,15,134.1104507446289,15,90,1656960643003,1656960508892.5493,3,3.2,16,0,1656960888379,1656960888880,1656960891410,9,4
1,3.6320963190000004,0.392001173,15,100.58283805847168,15,80,1656960658003,1656960557420.1619,3,3.2,16,0,1656960903470,1656960903970,1656960906648,10,4
1,3.628327783,0.35506999,15,75.43712854385376,15,60,1656960673003,1656960597565.8713,3,3.2,16,0,1656960918089,1656960918590,1656960921645,11,4
1,3.5520005059999997,0.200299572,15,56.57784640789032,15,50,1656960688003,1656960631425.1536,3,3.2,16,0,1656960933098,1656960933601,1656960936568,12,4
1,4.355319545,0.262410839,15,42.43338480591774,15,40,1656960703003,1656960660569.6152,3,3.2,16,0,1656960948475,1656960948983,1656960952373,13,4
1,4.633230659,0.212583873,15,31.825038604438305,15,30,1656960718003,1656960686177.9614,3,3.2,16,0,1656960963495,1656960964004,1656960967651,14,4
1,6.488244341,0.195833027,15,23.86877895332873,15,30,1656960733003,1656960709134.221,3,3.2,16,0,1656960978743,1656960979250,1656960984507,15,4
1,7.352624692,0.07963208899999999,15,17.901584214996547,15,20,1656960748003,1656960730101.4158,3,3.2,16,1,1656960993115,1656960994116,1656961000372,16,4
1,7.333992362,0.079974509,15,17.901584214996547,15,20,1656960763003,1656960745101.4158,3,3.2,16,1,1656961008554,1656961009555,1656961015353,17,4
1,5.994006541,0.077934438,15,17.901584214996547,15,20,1656960778003,1656960760101.4158,3,3.2,16,0,1656961023617,1656961024117,1656961029013,18,4
