RESPONSES,TOTAL_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING
1,2.578938713,15,60,16,1,1654079317452,1654079257452,2590,2600,1
1,2.591441002,15,75,16,3,1654079332452,1654079257452,2590,2600,1
1,3.091274038,15,75,16,4,1654079347452,1654079272452,2590,2600,1
1,4.1103201600000006,15,56.25,16,5,1654079362452,1654079306202,2590,2600,1
1,4.1103201600000006,15,42.1875,16,5,1654079377452,1654079335264.5,2590,2600,1
1,2.597147539,15,31.640625,16,4,1654079392452,1654079360811.375,2590,2600,1
1,1.7795751709999998,15,31.640625,16,3,1654079407452,1654079375811.375,2590,2600,1
1,1.7795751709999998,15,39.55078125,16,4,1654079422452,1654079382901.2188,2590,2600,2
1,2.59009156,15,49.4384765625,16,4,1654079437452,1654079388013.5234,2590,2600,2
1,2.579528892,15,49.4384765625,16,4,1654079452452,1654079403013.5234,2590,2600,2
1,2.593409999,15,61.798095703125,16,5,1654079467452,1654079405653.9043,2590,2600,2
1,2.59129759,15,61.798095703125,16,5,1654079482452,1654079420653.9043,2590,2600,2
1,2.59129759,15,61.798095703125,16,5,1654079497452,1654079435653.9043,2590,2600,3
1,2.586104756,15,61.798095703125,16,5,1654079512452,1654079450653.9043,2590,2600,3
1,1.567256787,15,77.24761962890625,16,6,1654079527452,1654079450204.3804,2590,2600,3
1,2.201490053,15,96.55952453613281,16,7,1654079542452,1654079445892.4756,2590,2600,3
1,2.6292629339999998,15,120.69940567016602,16,8,1654079557452,1654079436752.5942,2590,2600,3
1,2.6292629339999998,15,90.52455425262451,16,7,1654079572452,1654079481927.4458,2590,2600,3
1,1.866938386,15,67.89341568946838,16,5,1654079587452,1654079519558.5842,2590,2600,4
1,3.0972340039999997,15,84.86676961183548,16,6,1654079602452,1654079517585.2305,2590,2600,4
1,2.593857596,15,63.65007720887661,16,6,1654079617452,1654079553801.9229,2590,2600,4
1,2.601180944,15,63.65007720887661,16,5,1654079632452,1654079568801.9229,2590,2600,4
1,2.585057991,15,47.73755790665746,16,5,1654079647452,1654079599714.4421,2590,2600,4
1,2.585057991,15,59.67194738332182,16,4,1654079662452,1654079602780.0527,2590,2600,4
1,2.5992332129999998,15,74.58993422915228,16,5,1654079677452,1654079602862.0657,2590,2600,4
1,2.5992332129999998,15,74.58993422915228,16,6,1654079692452,1654079617862.0657,2590,2600,4
1,2.603318713,15,74.58993422915228,16,6,1654079707452,1654079632862.0657,2590,2600,3
1,2.608448001,15,55.94245067186421,16,5,1654079722452,1654079666509.5493,2590,2600,3
1,2.584523398,15,41.956838003898156,16,4,1654079737452,1654079695495.162,2590,2600,2
1,2.584523398,15,52.446047504872695,16,4,1654079752452,1654079700005.9524,2590,2600,2
1,2.585173508,15,65.55755938109087,16,5,1654079767452,1654079701894.4407,2590,2600,1
1,2.585173508,15,81.94694922636359,16,6,1654079782452,1654079700505.0508,2590,2600,1
