RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,HOOK_DATA_RETRIES,INIT_EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES
1,2.10469623,0.034156229,30,90,30,10,1658775646838,1658775556838,3,3.2,2,0,0,35714,621128222,1658775694474,0,4
1,2.1272051735,0.062324914999999995,30,90,30,20,1658775676838,1658775586838,3,3.2,2,0,0,35744,637778050,1658775724535,1,4
1,2.149076533666667,0.091868282,30,90,30,30,1658775706838,1658775616838,3,3.2,2,0,0,35774,639975373,1658775754581,2,4
1,2.1702846454999998,0.121941761,30,90,30,40,1658775736838,1658775646838,3,3.2,2,0,0,35804,647026973,1658775784629,3,4
1,2.1826477223999996,0.118186575,30,90,30,40,1658775766838,1658775676838,3,3.2,2,0,0,35834,652582890,1658775814633,4,4
1,2.20745392,0.119325959,30,90,30,40,1658775796838,1658775706838,3,3.2,2,0,0,35864,658808068,1658775844636,5,4
1,2.2227928978000002,0.11533152599999999,30,90,30,40,1658775826838,1658775736838,3,3.2,2,0,0,35894,664227343,1658775874639,6,4
1,2.2302790388,0.11798147,30,90,30,40,1658775856838,1658775766838,3,3.2,2,0,0,35924,662560407,1658775904641,7,4
1,2.2281170336,0.117672819,30,90,30,40,1658775886838,1658775796838,3,3.2,2,0,0,35954,671474603,1658775934643,8,4
1,2.2265717367999995,0.116547337,30,90,30,40,1658775916838,1658775826838,3,3.2,2,0,0,35984,675252852,1658775964648,9,4
1,2.226630969,0.117094156,30,90,30,40,1658775946838,1658775856838,3,3.2,2,0,0,36014,679748209,1658775994657,10,4
1,2.2268650524,0.11604605,30,90,30,40,1658775976838,1658775886838,3,3.2,2,0,0,36044,687076312,1658776024663,11,4
1,2.2265095162,0.115268947,30,90,30,40,1658776006838,1658775916838,3,3.2,2,0,0,36074,695569708,1658776054672,12,4
1,2.2277784564000003,0.11551869499999999,30,90,30,40,1658776036838,1658775946838,3,3.2,2,0,0,36104,704436304,1658776084682,13,4
1,2.2267941018000004,0.114240172,30,90,30,40,1658776066838,1658775976838,3,3.2,2,0,0,36134,713405628,1658776114681,14,4
