RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES,ESC
1,2.6498460169999998,0.035705197,15,30,15,10,1656851496405,1656851466405,3,3.2,4,0,1656851516432,1656851516932,1656851519067,0,4,undefined
1,2.7125425570000004,0.08726086999999999,15,37.5,15,30,1656851511405,1656851473905,3,3.2,4,0,1656851531441,1656851531941,1656851534130,1,4,undefined
1,2.7537141750000003,0.109067362,15,46.875,15,40,1656851526405,1656851479530,3,3.2,4,0,1656851546437,1656851546937,1656851549172,2,4,undefined
1,2.7897446180000003,0.137453216,15,58.59375,15,50,1656851541405,1656851482811.25,3,3.2,4,0,1656851561439,1656851561940,1656851564209,3,4,undefined
1,2.881524851,0.177378178,15,73.2421875,15,60,1656851556405,1656851483162.8125,3,3.2,4,0,1656851576439,1656851576939,1656851579301,4,4,undefined
1,2.943606653,0.204850536,15,91.552734375,15,70,1656851571405,1656851479852.2656,3,3.2,4,0,1656851591442,1656851591942,1656851594363,5,4,undefined
1,3.364080004,0.236577952,15,114.44091796875,15,80,1656851586405,1656851471964.082,3,3.2,4,0,1656851606447,1656851606947,1656851609784,6,4,undefined
1,2.903860292,0.19563434799999999,15,85.8306884765625,15,70,1656851601405,1656851515574.3115,3,3.2,4,0,1656851621444,1656851621944,1656851624324,7,4,undefined
1,3.0153933740000003,0.282593725,15,107.28836059570312,15,80,1656851616405,1656851509116.6394,3,3.2,4,0,1656851636445,1656851636945,1656851639435,8,4,undefined
1,2.990840842,0.254289881,15,107.28836059570312,15,80,1656851631405,1656851524116.6394,3,3.2,4,0,1656851651443,1656851651943,1656851654411,9,4,undefined
1,3.051318211,0.275879011,15,134.1104507446289,15,90,1656851646405,1656851512294.5493,3,3.2,4,0,1656851666449,1656851666949,1656851669471,10,4,undefined
1,3.5052637140000003,0.33708523500000004,15,134.1104507446289,15,100,1656851661405,1656851527294.5493,3,3.2,4,0,1656851681449,1656851681949,1656851684925,11,4,undefined
1,3.013792305,0.2370015,15,100.58283805847168,15,80,1656851676405,1656851575822.1619,3,3.2,4,0,1656851696446,1656851696945,1656851699434,12,4,undefined
1,3.0428898089999996,0.241431657,15,100.58283805847168,15,80,1656851691405,1656851590822.1619,3,3.2,4,0,1656851711459,1656851711959,1656851714463,13,4,undefined
1,3.0598107490000004,0.243882632,15,100.58283805847168,15,80,1656851706405,1656851605822.1619,3,3.2,4,0,1656851726446,1656851726946,1656851729480,14,4,undefined
1,3.105640427,0.27593329,15,100.58283805847168,15,80,1656851721405,1656851620822.1619,3,3.2,4,0,1656851741445,1656851741944,1656851744525,15,4,undefined
1,3.100776947,0.258049344,15,100.58283805847168,15,80,1656851736405,1656851635822.1619,3,3.2,4,0,1656851756448,1656851756949,1656851759521,16,4,undefined
1,3.102181809,0.26265762000000004,15,100.58283805847168,15,80,1656851751405,1656851650822.1619,3,3.2,4,0,1656851771445,1656851771946,1656851774523,17,4,undefined
1,3.1627745490000003,0.276366803,15,100.58283805847168,15,80,1656851766405,1656851665822.1619,3,3.2,4,0,1656851786470,1656851786971,1656851789586,18,4,undefined
