TIMESTAMP,ESC1_Time,ESC1_Time_A,ESC1_Window
1658998899155,2.11871598,0.040935858000000006,90,
1658998929155,2.1354266305,0.06331215999999999,90,
1658998959155,2.1584941893333336,0.105827028,90,
1658998989155,2.18179473625,0.137262405,90,
1658999019155,2.1929733326000003,0.13443850699999998,90,
1658999049155,2.2187005440000003,0.132664546,90,
1658999079155,2.2359692723999998,0.128108898,90,
1658999109155,2.2470739898000005,0.14050577,90,
1658999139155,2.2449797006,0.131592072,90,
1658999169155,2.243972469,0.123584668,90,
1658999199155,2.2403780586,0.123850616,90,
1658999229155,2.2412715874,0.13060465400000001,90,
1658999259155,2.2438305402,0.156929488,90,
1658999289155,2.2437072694,0.130618603,90,
1658999319155,2.2447368174,0.120069035,90,
1658999349155,2.2461489758,0.122273256,90,
1658999379155,2.2452500360000003,0.128731544,90,
1658999409155,2.2389647048,0.130675975,90,
1658999439155,2.238391039,0.12987691699999998,90,
1658999469155,2.2371399947999997,0.128610592,90,
1658999499155,2.2360688844,0.13088717700000002,90,
1658999529155,2.2329496742,0.120631414,90,
1658999559155,2.2331905141999995,0.127088485,90,
1658999589155,2.2341777096,0.124757345,90,
1658999619155,2.234254335,0.127904534,90,
1658999649155,2.2369712658000003,0.13329329999999998,90,
1658999679155,2.2400436898000002,0.133575551,90,
1658999709155,2.2395263362,0.129704226,90,
1658999739155,2.2359226844,0.121056665,90,
