RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES
1,2.1104796919999997,0.035510991,15,30,15,10,1658583293713,1658583263713,3,3.2,1,0,14292,34827914,1658583316366,0,4
1,2.149673022,0.088229928,15,30,15,30,1658583308713,1658583278713,3,3.2,1,0,14307,43898861,1658583331453,1,4
1,2.1641316593333335,0.08771718099999999,15,30,15,30,1658583323713,1658583293713,3,3.2,1,0,14322,41059547,1658583346455,2,4
1,2.1687938730000003,0.087341349,15,30,15,30,1658583338713,1658583308713,3,3.2,1,0,14337,46077715,1658583361450,3,4
1,2.1737583734,0.08592084300000001,15,30,15,30,1658583353713,1658583323713,3,3.2,1,0,14352,45477512,1658583376460,4,4
1,2.1900198704,0.088521849,15,30,15,30,1658583368713,1658583338713,3,3.2,1,0,14367,50807031,1658583391463,5,4
1,2.1888709692000003,0.089547758,15,30,15,30,1658583383713,1658583353713,3,3.2,1,0,14382,48379877,1658583406452,6,4
1,2.1870240526000004,0.08718680899999999,15,30,15,30,1658583398713,1658583368713,3,3.2,1,0,14397,57333196,1658583421462,7,4
1,2.1890251842,0.086733453,15,30,15,30,1658583413713,1658583383713,3,3.2,1,0,14412,52618596,1658583436466,8,4
1,2.1878766828000002,0.084777376,15,30,15,30,1658583428713,1658583398713,3,3.2,1,0,14427,56801670,1658583451465,9,4
1,2.1880644834000003,0.085547898,15,30,15,30,1658583443713,1658583413713,3,3.2,1,0,14442,56997350,1658583466470,10,4
1,2.1880403850000003,0.087092823,15,30,15,30,1658583458713,1658583428713,3,3.2,1,0,14457,61408374,1658583481465,11,4
1,2.1888007616000005,0.086150379,15,30,15,30,1658583473713,1658583443713,3,3.2,1,0,14472,56881973,1658583496465,12,4
1,2.187797277,0.088135617,15,30,15,30,1658583488713,1658583458713,3,3.2,1,0,14487,60411689,1658583511469,13,4
1,2.1894218413999997,0.085329352,15,30,15,30,1658583503713,1658583473713,3,3.2,1,0,14502,65215158,1658583526482,14,4
1,2.1880657084,0.08830611299999999,15,30,15,30,1658583518713,1658583488713,3,3.2,1,0,14517,65271931,1658583541472,15,4
1,2.1886201632,0.08686592,15,30,15,30,1658583533713,1658583503713,3,3.2,1,0,14532,65999298,1658583556472,16,4
1,2.1882500244,0.085606206,15,30,15,30,1658583548713,1658583518713,3,3.2,1,0,14547,68204340,1658583571475,17,4
1,2.1882570174000002,0.084000607,15,30,15,30,1658583563713,1658583533713,3,3.2,1,0,14562,67868656,1658583586476,18,4
1,2.1861797201999997,0.09349283800000001,15,30,15,30,1658583578713,1658583548713,3,3.2,1,0,14577,69648882,1658583601476,19,4
1,2.1835049062000005,0.09031196699999999,15,30,15,30,1658583593713,1658583563713,3,3.2,1,0,14592,71044479,1658583616464,20,4
1,2.1887832323999996,0.087201926,15,30,15,30,1658583608713,1658583578713,3,3.2,1,0,14607,69902206,1658583631503,21,4
1,2.0420214976,0.08951745200000001,15,30,15,30,1658583623713,1658583593713,3,3.2,1,0,14622,71979218,1658583645745,22,4
1,2.0409240482,0.08908465,15,30,15,30,1658583638713,1658583608713,3,3.2,2,0,14637,72913928,1658583661476,23,4
1,2.0426476773999998,0.086666247,15,30,15,30,1658583653713,1658583623713,3,3.2,2,0,14652,78344014,1658583676493,24,4
1,2.0454466713999997,0.08723515999999999,15,30,15,30,1658583668713,1658583638713,3,3.2,2,0,14667,79867994,1658583691487,25,4
1,2.0411119394,0.08594745899999999,15,30,15,30,1658583683713,1658583653713,3,3.2,2,0,14682,81327379,1658583706492,26,4
1,2.1880122836,0.08617523199999999,15,30,15,30,1658583698713,1658583668713,3,3.2,2,0,14697,79954035,1658583721487,27,4
1,2.1895379662,0.08677095,15,30,15,30,1658583713713,1658583683713,3,3.2,2,0,14712,81535625,1658583736492,28,4
1,2.1876446395999998,0.087165599,15,30,15,30,1658583728713,1658583698713,3,3.2,2,0,14727,85522430,1658583751491,29,4
1,2.1871696862000003,0.086206385,15,30,15,30,1658583743713,1658583713713,3,3.2,2,0,14742,84794840,1658583766490,30,4
1,2.1870227222,0.08681529,15,30,15,30,1658583758713,1658583728713,3,3.2,2,0,14757,88806735,1658583781499,31,4
1,2.1872909024,0.087590903,15,30,15,30,1658583773713,1658583743713,3,3.2,2,0,14772,93518519,1658583796502,32,4
1,2.1876422642,0.088110965,15,30,15,30,1658583788713,1658583758713,3,3.2,2,0,14787,96908351,1658583811509,33,4
1,2.1884280632,0.088471833,15,30,15,30,1658583803713,1658583773713,3,3.2,2,0,14802,93239712,1658583826503,34,4
1,2.1886030381999997,0.085720608,15,30,15,30,1658583818713,1658583788713,3,3.2,2,0,14817,97826740,1658583841504,35,4
1,2.1882674939999998,0.087487679,15,30,15,30,1658583833713,1658583803713,3,3.2,2,0,14832,97019253,1658583856506,36,4
1,2.1880725751999996,0.08939544499999999,15,30,15,30,1658583848713,1658583818713,3,3.2,2,0,14847,101434560,1658583871509,37,4
1,2.1872655857999996,0.087870604,15,30,15,30,1658583863713,1658583833713,3,3.2,2,0,14862,100694936,1658583886509,38,4
1,2.1868283699999997,0.086632469,15,30,15,30,1658583878713,1658583848713,3,3.2,2,0,14877,106190177,1658583901513,39,4
1,2.18686795,0.087560526,15,30,15,30,1658583893713,1658583863713,3,3.2,2,0,14892,106524506,1658583916512,40,4
1,2.1861870236,0.087228982,15,30,15,30,1658583908713,1658583878713,3,3.2,2,0,14907,109835746,1658583931515,41,4
1,2.1876321724,0.08714698,15,30,15,30,1658583923713,1658583893713,3,3.2,2,0,14922,111766351,1658583946526,42,4
1,2.1874424593999997,0.087805263,15,30,15,30,1658583938713,1658583908713,3,3.2,2,0,14937,122628978,1658583961530,43,4
1,2.1886195448000003,0.087925519,15,30,15,30,1658583953713,1658583923713,3,3.2,2,0,14952,118918063,1658583976532,44,4
1,2.1879404386000005,0.086888592,15,30,15,30,1658583968713,1658583938713,3,3.2,2,0,14967,120326577,1658583991523,45,4
1,2.1892942582000003,0.08497874500000001,15,30,15,30,1658583983713,1658583953713,3,3.2,2,0,14982,120081468,1658584006532,46,4
1,2.1867809356,0.087826214,15,30,15,30,1658583998713,1658583968713,3,3.2,2,0,14997,126186003,1658584021528,47,4
1,2.1882065426,0.087623077,15,30,15,30,1658584013713,1658583983713,3,3.2,2,0,15012,127151980,1658584036542,48,4
1,2.1859827174,0.087858643,15,30,15,30,1658584028713,1658583998713,3,3.2,2,0,15027,131308977,1658584051533,49,4
1,2.1871449416,0.086931179,15,30,15,30,1658584043713,1658584013713,3,3.2,2,0,15042,133164872,1658584066542,50,4
1,2.1855172054,0.08783193,15,30,15,30,1658584058713,1658584028713,3,3.2,2,0,15057,139103017,1658584081543,51,4
1,2.1862465326000002,0.0864047,15,30,15,30,1658584073713,1658584043713,3,3.2,2,0,15072,142808382,1658584096549,52,4
1,2.184364694,0.084310668,15,30,15,30,1658584088713,1658584058713,3,3.2,2,0,15087,142805649,1658584111548,53,4
1,2.1862204168,0.08857995099999999,15,30,15,30,1658584103713,1658584073713,3,3.2,2,0,15102,140254473,1658584126551,54,4
1,2.1866135725999998,0.087843478,15,30,15,30,1658584118713,1658584088713,3,3.2,2,0,15117,144065597,1658584141554,55,4
