TIMESTAMP,MIN_TIME,MAX_TIME,MEAN_TIME,STDEV_TIME,MIN_WIN,MAX_WIN,MEAN_WIN,STDEV_WIN
1656873085378,2.635406449,2.635406449,2.635406449,0,30,30,30,0
1656873100378,1.352645179,1.352645179,1.352645179,0,37.5,37.5,37.5,0
1656873115378,1.421209256,1.421209256,1.421209256,0,46.875,46.875,46.875,0
1656873130378,1.459768452,2.638930565,2.0493495084999998,0.5895810564999999,30,58.59375,44.296875,14.296875
1656873145378,1.503899706,2.7141604430000004,2.1090300745,0.6051303685000002,37.5,73.2421875,55.37109375,17.87109375
1656873160378,1.560911371,2.743585967,2.152248669,0.591337298,46.875,91.552734375,69.2138671875,22.3388671875
1656873175378,1.589141242,2.786377248,2.187759245,0.598618003,58.59375,114.44091796875,86.517333984375,27.923583984375
1656873190378,1.6500345589999998,2.848679535,2.249357047,0.5993224880000001,73.2421875,143.0511474609375,108.14666748046875,34.90447998046875
1656873205378,1.699400083,2.868774048,2.2840870655,0.5846869825000001,91.552734375,178.81393432617188,135.18333435058594,43.63059997558594
1656873220378,1.739245152,2.9267962499999998,2.3330207009999997,0.5937755489999998,114.44091796875,223.51741790771484,168.97916793823242,54.53824996948242
1656873235378,1.7789210880000002,2.980167492,2.37954429,0.600623202,143.0511474609375,279.39677238464355,211.22395992279053,68.17281246185303
1656873250378,1.825856934,3.020911779,2.4233843564999997,0.5975274225,178.81393432617188,349.24596548080444,264.02994990348816,85.21601557731628
1656873265378,1.886201716,3.060825834,2.473513775,0.587312059,178.81393432617188,436.55745685100555,307.6856955885887,128.87176126241684
1656873280378,1.8885771150000001,3.1038672860000003,2.4962222005,0.6076450855000001,178.81393432617188,545.6968210637569,362.2553776949644,183.44144336879253
1656873295378,1.879307373,3.159477219,2.519392296,0.6400849229999999,178.81393432617188,682.1210263296962,430.467480327934,251.65354600176215
1656873310378,1.878639887,3.161871269,2.520255578,0.641615691,178.81393432617188,852.6512829121202,515.732608619146,336.9186742929742
1656873325378,1.926964078,3.150192568,2.538578323,0.6116142450000001,178.81393432617188,1065.8141036401503,622.3140189831611,443.5000846569892
1656873340378,1.915953699,3.151120304,2.5335370015,0.6175833025,178.81393432617188,1332.2676295501878,755.5407819381799,576.726847612008
1656873355378,1.945329799,3.199587344,2.5724585715000003,0.6271287725000001,178.81393432617188,1665.3345369377348,922.0742356319533,743.2603013057815
1656873370378,1.83250613,3.188645076,2.510575603,0.6780694729999999,178.81393432617188,2081.6681711721685,1130.2410527491702,951.4271184229983
1656873385378,1.837268734,3.2254785790000002,2.5313736565,0.6941049225000001,178.81393432617188,2602.0852139652106,1390.4495741456913,1211.6356398195194
1656873400378,1.862944769,3.105623692,2.4842842305,0.6213394615,134.1104507446289,3252.6065174565133,1693.358484100571,1559.2480333559422
1656873415378,1.8531275470000002,3.117471728,2.4852996375,0.6321720904999999,134.1104507446289,4065.7581468206417,2099.9342987826353,1965.8238480380064
1656873430378,2.022841738,3.143667731,2.5832547344999996,0.5604129965,134.1104507446289,5082.197683525802,2608.1540671352154,2474.0436163905865
1656873445378,1.91418463,3.126961145,2.5205728875,0.6063882575,134.1104507446289,6352.747104407253,3243.428777575941,3109.318326831312
1656873460378,2.0554351889999998,3.29499056,2.6752128744999997,0.6197776855000001,134.1104507446289,7940.933880509066,4037.5221656268473,3903.4117148822183
1656873475378,1.9227461350000001,3.192994541,2.557870338,0.6351242029999999,100.58283805847168,9926.167350636331,5013.3750943474015,4912.79225628893
1656873490378,1.913182329,3.3275477430000002,2.620365036,0.7071827070000001,100.58283805847168,12407.709188295414,6254.146013176943,6153.563175118471
1656873505378,1.870582754,3.199727306,2.5351550300000003,0.6645722760000001,75.43712854385376,15509.636485369267,7792.53680695656,7717.099678412706
1656873520378,1.880788897,3.1812674029999997,2.53102815,0.6502392529999999,75.43712854385376,19387.045606711585,9731.24136762772,9655.804239083865
1656873535378,1.8873315640000001,3.138790182,2.513060873,0.625729309,75.43712854385376,24233.80700838948,12154.622068466668,12079.184939922814
1656873550378,1.8552762889999999,3.154983925,2.505130107,0.649853818,75.43712854385376,30292.258760486853,15183.847944515353,15108.4108159715
1656873565378,1.906446272,3.153103839,2.5297750555,0.6233287835,75.43712854385376,37865.323450608565,18970.38028957621,18894.943161032355
1656873580378,1.958838361,3.118932452,2.5388854065,0.5800470455000001,75.43712854385376,47331.654313260704,23703.54572090228,23628.108592358425
1656873595378,1.870415577,3.1783115630000003,2.5243635700000002,0.6539479930000002,75.43712854385376,59164.567891575876,29620.002510059865,29544.56538151601
1656873610378,1.910794558,3.222365014,2.566579786,0.655785228,75.43712854385376,65536,32805.71856427193,32730.281435728073
1656873625378,1.82189863,3.140682108,2.481290369,0.659391739,56.57784640789032,65536,32796.288923203945,32739.711076796055
1656873640378,2.142013647,3.172198624,2.6571061355000003,0.5150924884999999,56.57784640789032,65536,32796.288923203945,32739.711076796055
1656873655378,1.8628196909999999,3.089825568,2.4763226295000003,0.6135029385000002,56.57784640789032,65536,32796.288923203945,32739.711076796055
1656873670378,1.8385007660000001,3.4087523529999997,2.6236265595,0.7851257934999998,56.57784640789032,65536,32796.288923203945,32739.711076796055
1656873685378,1.8466884259999998,3.129318418,2.488003422,0.6413149960000001,42.43338480591774,65536,32789.21669240296,32746.78330759704
1656873700378,1.817500793,3.1030036709999997,2.4602522319999998,0.6427514389999999,42.43338480591774,65536,32789.21669240296,32746.78330759704
1656873715378,1.842995131,3.102353556,2.4726743435,0.6296792125000001,42.43338480591774,65536,32789.21669240296,32746.78330759704
