RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID
1,2.633158919,0.037793189,15,30,15,10,1656623985383,1656623955383,3,3.2,16,0,1656624815432,1656624815932,1656624818054,0,4
1,0.7933106440000001,0.06781905,15,37.5,15,20,1656624000383,1656623962883,3,3.2,16,0,1656624830433,1656624830933,1656624831215,1,4
1,0.841487209,0.096173748,15,46.875,15,30,1656624015383,1656623968508,3,3.2,16,0,1656624845435,1656624845935,1656624846263,2,4
1,0.9048402449999999,0.152688781,15,58.59375,15,40,1656624030383,1656623971789.25,3,3.2,16,0,1656624860434,1656624860934,1656624861326,3,4
1,0.9903222819999999,0.17007956,15,73.2421875,15,50,1656624045383,1656623972140.8125,3,3.2,16,0,1656624875437,1656624875937,1656624876412,4,4
1,1.219018186,0.191235233,15,91.552734375,15,60,1656624060383,1656623968830.2656,3,3.2,16,0,1656624890436,1656624890939,1656624891640,5,4
1,1.3000097860000002,0.232362873,15,114.44091796875,15,70,1656624075383,1656623960942.082,3,3.2,16,0,1656624905440,1656624905942,1656624906723,6,4
1,1.6095101059999999,0.25815011099999996,15,143.0511474609375,15,80,1656624090383,1656623947331.8525,3,3.2,16,0,1656624920473,1656624920974,1656624922035,7,4
1,1.370255925,0.371481699,15,178.81393432617188,15,90,1656624105383,1656623926569.0657,3,3.2,16,0,1656624935472,1656624935993,1656624936800,8,4
1,4.473073813,0.53681101,15,223.51741790771484,15,100,1656624120383,1656623896865.582,3,3.2,16,0,1656624950868,1656624951369,1656624954905,9,4
1,4.158338251999999,0.35385257400000003,15,167.63806343078613,15,110,1656624135383,1656623967744.9365,3,3.2,16,1,1656624965466,1656624966472,1656624969590,10,4
1,4.062689971,0.437111653,15,125.7285475730896,15,90,1656624150383,1656624024654.4524,3,3.2,16,0,1656624980688,1656624981189,1656624984495,11,4
1,3.711412601,0.350968382,15,94.2964106798172,15,70,1656624165383,1656624071086.5894,3,3.2,16,0,1656624995549,1656624996057,1656624999143,12,4
1,4.414532621999999,0.34210605800000005,15,70.7223080098629,15,60,1656624180383,1656624109660.692,3,3.2,16,0,1656625010842,1656625011350,1656625014847,13,4
1,2.1007369170000003,0.310913012,15,53.041731007397175,15,50,1656624195383,1656624142341.269,3,3.2,16,0,1656625025450,1656625025951,1656625027533,14,4
1,3.690120852,0.32808637599999996,15,66.30216375924647,15,60,1656624210383,1656624144080.8362,3,3.2,16,0,1656625040472,1656625040972,1656625044127,15,4
1,2.762892034,0.234421547,15,49.72662281943485,15,40,1656624225383,1656624175656.3772,3,3.2,16,0,1656625055860,1656625056363,1656625058200,16,4
1,1.951844724,0.223678836,15,62.158278524293564,15,50,1656624240383,1656624178224.7214,3,3.2,16,0,1656625070628,1656625071129,1656625072389,17,4
1,3.8925971340000003,0.386605729,15,77.69784815536696,15,60,1656624255383,1656624177685.1519,3,3.2,16,0,1656625085457,1656625085957,1656625089330,18,4
1,3.8460927050000002,0.197482557,15,58.27338611652522,15,50,1656624270383,1656624212109.6138,3,3.2,16,0,1656625100458,1656625100958,1656625104284,19,4
1,3.7707098620000004,0.210700193,15,43.70503958739391,15,40,1656624285383,1656624241677.9604,3,3.2,16,0,1656625115463,1656625115963,1656625119209,20,4
1,3.539757438,0.138302625,15,32.778779690545434,15,30,1656624300383,1656624267604.2202,3,3.2,16,0,1656625130875,1656625131379,1656625133978,21,4
1,4.173100775,0.115107962,15,24.584084767909076,15,30,1656624315383,1656624290798.9153,3,3.2,16,0,1656625146199,1656625146700,1656625149611,22,4
1,4.137448845,0.07023094,15,18.438063575931807,15,20,1656624330383,1656624311944.9365,3,3.2,16,0,1656625161243,1656625161743,1656625164576,23,4
1,4.831468505,0.084005753,15,18.438063575931807,15,20,1656624345383,1656624326944.9365,3,3.2,16,0,1656625175471,1656625175971,1656625180283,24,4
1,7.2226170320000005,0.148433112,15,18.438063575931807,15,20,1656624360383,1656624341944.9365,3,3.2,16,0,1656625190787,1656625191288,1656625197674,25,4
1,2.3819718699999997,0.062863956,15,18.438063575931807,15,20,1656624375383,1656624356944.9365,3,3.2,16,0,1656625205575,1656625206075,1656625207834,26,4
1,4.00393806,0.11442400600000001,15,23.04757946991476,15,30,1656624390383,1656624367335.4204,3,3.2,16,0,1656625221081,1656625221581,1656625224455,27,4
1,4.091997174,0.066818549,15,17.28568460243607,15,20,1656624405383,1656624388097.3154,3,3.2,16,0,1656625236147,1656625236648,1656625239543,28,4
1,4.175388769,0.074040702,15,17.28568460243607,15,20,1656624420383,1656624403097.3154,3,3.2,16,0,1656625251222,1656625251722,1656625254627,29,4
1,3.8018286189999997,0.094103703,15,17.28568460243607,15,20,1656624435383,1656624418097.3154,3,3.2,16,0,1656625266216,1656625266717,1656625269253,30,4
1,4.140740301,0.110162815,15,17.28568460243607,15,20,1656624450383,1656624433097.3154,3,3.2,16,0,1656625281017,1656625281517,1656625284593,31,4
1,3.8205807629999997,0.073816307,15,17.28568460243607,15,20,1656624465383,1656624448097.3154,3,3.2,16,0,1656625296293,1656625296793,1656625299272,32,4
1,3.623816695,0.162156725,15,17.28568460243607,15,20,1656624480383,1656624463097.3154,3,3.2,16,0,1656625310469,1656625310972,1656625314075,33,4
1,4.0842981169999995,0.079095988,15,17.28568460243607,15,20,1656624495383,1656624478097.3154,3,3.2,16,0,1656625325475,1656625325975,1656625329535,34,4
1,4.830768383,0.085505281,15,17.28568460243607,15,20,1656624510383,1656624493097.3154,3,3.2,16,0,1656625340512,1656625341012,1656625345282,35,4
1,3.394255251,0.07168983699999999,15,17.28568460243607,15,20,1656624525383,1656624508097.3154,3,3.2,16,0,1656625355482,1656625355983,1656625358848,36,4
1,3.874103329,0.181263554,15,17.28568460243607,15,20,1656624540383,1656624523097.3154,3,3.2,16,0,1656625370502,1656625371002,1656625374327,37,4
1,3.70254038,0.12685339,15,17.28568460243607,15,20,1656624555383,1656624538097.3154,3,3.2,16,0,1656625385471,1656625385971,1656625389156,38,4
1,3.8465693030000003,0.127922985,15,17.28568460243607,15,20,1656624570383,1656624553097.3154,3,3.2,16,0,1656625400814,1656625401316,1656625404300,39,4
1,4.275762334,0.134964688,15,17.28568460243607,15,20,1656624585383,1656624568097.3154,3,3.2,16,0,1656625416076,1656625416594,1656625419729,40,4
1,4.500197427,0.148471013,15,17.28568460243607,15,20,1656624600383,1656624583097.3154,3,3.2,16,0,1656625431163,1656625431694,1656625434953,41,4
