RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,HOOK_DATA_RETRIES,INIT_EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES_NUMBER,METRICS_VALUES,GUARANTEES_VALUES
1,2.103,0.034479266,30,90,30,10,1659300372187,1659300282187,3,3.2,2,0,0,1659300417716,1659300419819,0,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.157,0.064972312,30,90,30,20,1659300402187,1659300312187,3,3.2,2,0,0,1659300447711,1659300449868,1,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.188,0.09036443599999999,30,90,30,30,1659300432187,1659300342187,3,3.2,2,0,0,1659300477715,1659300479903,2,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.234,0.124233726,30,90,30,40,1659300462187,1659300372187,3,3.2,2,0,0,1659300507717,1659300509951,3,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.234,0.11744674000000001,30,90,30,40,1659300492187,1659300402187,3,3.2,2,0,0,1659300537717,1659300539952,4,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.227,0.115213569,30,90,30,40,1659300522187,1659300432187,3,3.2,2,0,0,1659300567716,1659300569943,5,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.222,0.118212832,30,90,30,40,1659300552187,1659300462187,3,3.2,2,0,0,1659300597719,1659300599941,6,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.235,0.122289701,30,90,30,40,1659300582187,1659300492187,3,3.2,2,0,0,1659300627717,1659300629952,7,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.231,0.12168490900000001,30,90,30,40,1659300612187,1659300522187,3,3.2,2,0,0,1659300657716,1659300659947,8,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.233,0.12208454,30,90,30,40,1659300642187,1659300552187,3,3.2,2,0,0,1659300687721,1659300689954,9,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
