TIMESTAMP,ESC1_Time,ESC2_Time,ESC3_Time,ESC1_Time_A,ESC2_Time_A,ESC3_Time_A,ESC1_Window,ESC2_Window,ESC3_Window
1659011532610,2.1074264659999997,,,0.035250794,,,90,,,
1659011562610,2.161295455,,,0.062242348999999995,,,90,,,
1659011592610,2.194965064,,,0.091560494,,,90,,,
1659011622610,2.2362010289999996,,,0.12818760499999998,,,90,,,
1659011652610,2.230748347,,,0.11996838200000001,,,90,,,
1659011682610,2.223158907,,,0.12099339399999999,,,90,,,
1659011712610,2.236327714,,,0.11765922100000001,,,90,,,
1659011742610,2.23695725,,,0.115417339,,,90,,,
1659011772610,2.230888045,,,0.12111884499999999,,,90,,,
1659011802610,2.264551928,,,0.126563266,,,90,,,
1659011832610,1.739346763,,,0.117610176,,,90,,,
1659011862610,2.2290448190000003,,,0.118660177,,,90,,,
1659011892610,2.231892946,,,0.117339142,,,90,,,
1659011922610,2.2278688470000003,,,0.119692211,,,90,,,
1659011952610,2.226089716,,,0.115420643,,,90,,,
1659011982610,2.224645895,,,0.1176665,,,90,,,
1659012012610,2.219887158,,,0.117369529,,,90,,,
1659012042610,2.224595248,,,0.11753333,,,90,,,
1659012072610,2.223909182,,,0.118285557,,,90,,,
1659012102610,2.225316367,,,0.116925032,,,90,,,
1659012132610,2.224413756,,,0.11660835400000001,,,90,,,
1659012162610,1.9685018600000002,,,0.11746630899999999,,,90,,,
1659012192610,2.232194116,,,0.119560217,,,90,,,
1659012222610,2.217287961,,,0.117237933,,,90,,,
1659012252610,2.218092193,,,0.114456261,,,90,,,
1659012282610,2.216262864,,,0.115922753,,,90,,,
1659012312610,2.2222656769999998,,,0.112459748,,,90,,,
1659012342610,2.2511159349999996,,,0.136757632,,,90,,,
1659012372610,2.226574005,,,0.116746503,,,90,,,
1659012402610,2.2249561079999998,,,0.118580607,,,90,,,
1659012432610,2.228351333,,,0.121628036,,,90,,,
1659012462610,2.225017329,,,0.11975786499999999,,,90,,,
1659012492610,2.222270784,,,0.115250912,,,90,,,
1659012522610,2.231313626,,,0.117371116,,,90,,,
1659012552610,2.224340937,,,0.117424104,,,90,,,
1659012582610,2.222700209,,,0.119149804,,,90,,,
1659012612610,2.229073642,,,0.114947234,,,90,,,
1659012642610,2.226311944,,,0.11545253200000001,,,90,,,
1659012672610,2.226964644,,,0.116320318,,,90,,,
1659012702610,2.215967529,,,0.11626030500000001,,,90,,,
1659012732610,2.219435014,,,0.116872773,,,90,,,
1659012762610,2.227069001,,,0.115181102,,,90,,,
1659012792610,2.21921411,,,0.11615620800000001,,,90,,,
1659012822610,2.222764931,,,0.11917691000000001,,,90,,,
1659012852610,2.218125889,,,0.113337724,,,90,,,
1659012882610,2.2186184250000003,,,0.11711951100000001,,,90,,,
1659012912610,2.2237463330000002,,,0.116048365,,,90,,,
1659012942610,2.224792455,,,0.114327337,,,90,,,
1659012972610,2.2272483590000003,,,0.116394769,,,90,,,
1659013002610,2.2261049379999998,,,0.118137017,,,90,,,
1659013032610,2.222885382,,,0.11615718200000001,,,90,,,
1659013062610,2.22559415,,,0.11748347599999999,,,90,,,
1659013092610,2.218790437,,,0.114618842,,,90,,,
1659013122610,2.222366556,,,0.115577608,,,90,,,
1659013152610,2.214822148,,,0.12032801000000001,,,90,,,
1659013182610,2.228512066,,,0.118336753,,,90,,,
1659013212610,2.230619676,,,0.11507822799999999,,,90,,,
1659013242610,2.224781619,,,0.116321049,,,90,,,
1659013272610,2.2261288209999996,,,0.115746943,,,90,,,
1659013302610,2.231163432,,,0.117189839,,,90,,,
1659013332610,2.2310318349999996,,,0.11836332000000001,,,90,,,
1659013362610,2.2280493740000002,,,0.119006035,,,90,,,
1659013392610,2.230407369,,,0.11452920500000001,,,90,,,
1659013422610,2.232031356,,,0.11768061899999999,,,90,,,
1659013452610,2.222941984,,,0.119436755,,,90,,,
1659013482610,2.227632725,,,0.117628699,,,90,,,
1659013512610,2.223413759,,,0.119024017,,,90,,,
1659013542610,2.233134832,,,0.121862529,,,90,,,
1659013572610,2.224778972,,,0.11757232299999999,,,90,,,
1659013602610,2.231832647,,,0.120100661,,,90,,,
1659013632610,2.23344468,,,0.121364789,,,90,,,
1659013662610,2.226813503,,,0.119750749,,,90,,,
1659013692610,2.230506254,,,0.118548755,,,90,,,
1659013722610,2.240422386,,,0.119745581,,,90,,,
1659013752610,2.237651914,,,0.119012877,,,90,,,
1659013782610,2.237657377,,,0.124909354,,,90,,,
1659013812610,2.231233048,,,0.12114896,,,90,,,
1659013842610,2.233431935,,,0.11984756899999999,,,90,,,
1659013872610,2.226277919,,,0.11685983400000001,,,90,,,
1659013902610,2.239569388,,,0.119524622,,,90,,,
1659013932610,2.224347211,,,0.115374461,,,90,,,
1659013962610,2.228280463,,,0.119682772,,,90,,,
1659013992610,2.2323451490000004,,,0.118012274,,,90,,,
1659011888049,,2.115167019,,,0.034525592,,,90,,
1659011918049,,2.149627594,,,0.061380988000000004,,,90,,
1659011948049,,2.1916726910000004,,,0.09379246100000001,,,90,,
1659011978049,,2.241638305,,,0.126552745,,,90,,
1659012008049,,2.2261560410000003,,,0.117435271,,,90,,
1659012038049,,2.2323989529999997,,,0.119883566,,,90,,
1659012068049,,2.229113235,,,0.119252556,,,90,,
