RESPONSES,TOTAL_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID
1,2.913885737,15,6000,16,1,1654629355418,1654623355418,2590,2600,15,0,1654629375814,1654629376314,1654629378342,0
1,2.6903087980000002,15,6000,16,3,1654629370418,1654623370418,2590,2600,15,0,1654629390767,1654629391267,1654629393119,1
1,1.673684814,15,6000,16,4,1654629385418,1654623385418,2590,2600,15,0,1654629405452,1654629405953,1654629407102,2
1,1.397168719,15,6000,16,5,1654629400418,1654623400418,2590,2600,15,1,1654629420442,1654629421444,1654629421827,3
1,1.5627202150000001,15,6000,16,5,1654629415418,1654623415418,2590,2600,15,0,1654629435439,1654629435940,1654629436992,4
1,1.415409769,15,6000,16,6,1654629430418,1654623430418,2590,2600,15,0,1654629450439,1654629450940,1654629451845,5
1,1.4238277579999998,15,6000,16,7,1654629445418,1654623445418,2590,2600,15,0,1654629465442,1654629465942,1654629466853,6
1,1.4183897380000001,15,6000,16,8,1654629460418,1654623460418,2590,2600,16,0,1654629480441,1654629480941,1654629481848,7
1,1.411668676,15,6000,16,9,1654629475418,1654623475418,2590,2600,16,0,1654629495442,1654629495943,1654629496842,8
1,2.075459694,15,6000,16,10,1654629490418,1654623490418,2590,2600,16,0,1654629510441,1654629510942,1654629512506,9
1,2.118105118,15,6000,16,11,1654629505418,1654623505418,2590,2600,16,0,1654629525441,1654629525942,1654629527548,10
1,1.481344312,15,6000,16,12,1654629520418,1654623520418,2590,2600,16,0,1654629540630,1654629541130,1654629541912,11
1,1.133808109,15,6000,16,13,1654629535418,1654623535418,2590,2600,16,0,1654629555444,1654629555944,1654629556564,12
1,3.2744368679999996,15,6000,16,14,1654629550418,1654623550418,2590,2600,16,0,1654629570686,1654629571186,1654629573705,13
1,3.6436806219999998,15,6000,16,15,1654629565418,1654623565418,2590,2600,16,0,1654629585562,1654629586063,1654629589074,14
1,4.064821877,15,6000,16,16,1654629580418,1654623580418,2590,2600,16,0,1654629600778,1654629601279,1654629604496,15
1,4.360939373,15,6000,16,17,1654629595418,1654623595418,2590,2600,16,0,1654629615583,1654629616083,1654629619792,16
1,3.219334574,15,6000,16,18,1654629610418,1654623610418,2590,2600,16,0,1654629630456,1654629630956,1654629633651,17
1,3.256521395,15,6000,16,19,1654629625418,1654623625418,2590,2600,16,0,1654629645450,1654629645951,1654629648689,18
1,1.39192183,15,6000,16,20,1654629640418,1654623640418,2590,2600,16,0,1654629660447,1654629660947,1654629661824,19
1,1.52441369,15,6000,16,20,1654629655418,1654623655418,2590,2600,16,0,1654629675444,1654629675944,1654629676957,20
1,1.494975078,15,6000,16,21,1654629670418,1654623670418,2590,2600,16,0,1654629690444,1654629690945,1654629691927,21
1,2.57095729,15,6000,16,22,1654629685418,1654623685418,2590,2600,16,0,1654629705445,1654629705946,1654629708004,22
1,1.51872923,15,6000,16,23,1654629700418,1654623700418,2590,2600,16,0,1654629720447,1654629720947,1654629721952,23
1,1.532427785,15,6000,16,24,1654629715418,1654623715418,2590,2600,16,0,1654629735448,1654629735948,1654629736966,24
1,2.058889722,15,6000,16,25,1654629730418,1654623730418,2590,2600,16,0,1654629750448,1654629750948,1654629752493,25
1,1.680511949,15,6000,16,26,1654629745418,1654623745418,2590,2600,16,0,1654629765715,1654629766215,1654629767115,26
1,2.75968813,15,6000,16,27,1654629760418,1654623760418,2590,2600,16,0,1654629780527,1654629781027,1654629783194,27
1,3.041348054,15,6000,16,28,1654629775418,1654623775418,2590,2600,16,0,1654629795665,1654629796164,1654629798477,28
1,4.021763469,15,6000,16,29,1654629790418,1654623790418,2590,2600,16,0,1654629810454,1654629810954,1654629814459,29
1,4.862065405,15,6000,16,30,1654629805418,1654623805418,2590,2600,16,0,1654629825500,1654629826000,1654629830299,30
1,5.774195133,15,6000,16,31,1654629820418,1654623820418,2590,2600,16,0,1654629840675,1654629841175,1654629846212,31
1,5.681610308000001,15,6000,16,32,1654629835418,1654623835418,2590,2600,16,0,1654629855661,1654629856161,1654629861120,32
1,4.068807252,15,6000,16,33,1654629850418,1654623850418,2590,2600,16,0,1654629870478,1654629870979,1654629874507,33
1,2.982293326,15,6000,16,34,1654629865418,1654623865418,2590,2600,16,0,1654629885458,1654629885958,1654629888421,34
1,2.293593018,15,6000,16,35,1654629880418,1654623880418,2590,2600,16,1,1654629900495,1654629901496,1654629902732,35
1,1.6354790700000001,15,6000,16,35,1654629895418,1654623895418,2590,2600,16,0,1654629915452,1654629915952,1654629917075,36
1,1.6447826190000001,15,6000,16,36,1654629910418,1654623910418,2590,2600,16,0,1654629930452,1654629930953,1654629932085,37
1,2.3708331240000002,15,6000,16,37,1654629925418,1654623925418,2590,2600,16,0,1654629945545,1654629946045,1654629947811,38
1,2.272291062,15,6000,16,38,1654629940418,1654623940418,2590,2600,16,0,1654629960527,1654629961027,1654629962713,39
1,2.206548898,15,6000,16,39,1654629955418,1654623955418,2590,2600,15,0,1654629975455,1654629975955,1654629977647,40
1,2.1632364379999998,15,6000,16,40,1654629970418,1654623970418,2590,2600,15,0,1654629990470,1654629990969,1654629992603,41
1,1.954052512,15,6000,16,41,1654629985418,1654623985418,2590,2600,15,0,1654630005634,1654630006135,1654630007395,42
1,3.85904898,15,6000,16,42,1654630000418,1654624000418,2590,2600,15,0,1654630020852,1654630021353,1654630024300,43
