RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,HOOK_DATA_RETRIES,INIT_EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES_NUMBER,METRICS_VALUES,GUARANTEES_VALUES
1,2.108,0.0341186,30,90,30,10,1662923631196,1662923541196,3,3.2,3,0,0,1662923676722,1662923678830,0,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.149,0.061703027,30,90,30,20,1662923661196,1662923571196,3,3.2,3,0,0,1662923706726,1662923708875,1,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.186,0.08925535100000001,30,90,30,30,1662923691196,1662923601196,3,3.2,3,0,0,1662923736729,1662923738915,2,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.227,0.11960447,30,90,30,40,1662923721196,1662923631196,3,3.2,3,0,0,1662923766736,1662923768963,3,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.22,0.11353985400000001,30,90,30,40,1662923751196,1662923661196,3,3.2,3,0,0,1662923796742,1662923798962,4,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.216,0.112396053,30,90,30,40,1662923781196,1662923691196,3,3.2,3,0,0,1662923826742,1662923828958,5,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.215,0.112015913,30,90,30,40,1662923811196,1662923721196,3,3.2,3,0,0,1662923856742,1662923858957,6,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.22,0.117172102,30,90,30,40,1662923841196,1662923751196,3,3.2,3,0,0,1662923886747,1662923888967,7,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.218,0.111652421,30,90,30,40,1662923871196,1662923781196,3,3.2,3,0,0,1662923916751,1662923918969,8,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
1,2.227,0.123060613,30,90,30,40,1662923901196,1662923811196,3,3.2,3,0,0,1662923946752,1662923948979,9,4,{"Tiempo_total_peticion":0}{"Tiempo_hasta_primer_cierre":0}{"Iteraciones_cierre_temporal":100}{"Iteraciones_pendiente_usuario":100},Tiempo_total_peticion: falseTiempo_hasta_primer_cierre: falseIteraciones_cierre_temporal: trueIteraciones_pendiente_usuario: true
