RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,HOOK_DATA_RETRIES,INIT_EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES
1,2.112443716,0.035120438999999996,30,90,30,10,1658783560830,1658783470830,3,3.2,1,0,0,43628,626057729,1658783608487,0,4
1,2.1372267044999997,0.064356621,30,90,30,20,1658783590830,1658783500830,3,3.2,1,0,0,43658,639434991,1658783638549,1,4
1,2.157847005333333,0.091145821,30,90,30,30,1658783620830,1658783530830,3,3.2,1,0,0,43688,645450695,1658783668593,2,4
1,2.176080038,0.124065805,30,90,30,40,1658783650830,1658783560830,3,3.2,1,0,0,43718,651011759,1658783698630,3,4
1,2.1877182167999996,0.120662059,30,90,30,40,1658783680830,1658783590830,3,3.2,1,0,0,43748,656562795,1658783728639,4,4
1,2.2088601972,0.118019104,30,90,30,40,1658783710830,1658783620830,3,3.2,1,0,0,43778,656116529,1658783758622,5,4
1,2.2228549193999996,0.120827441,30,90,30,40,1658783740830,1658783650830,3,3.2,1,0,0,43808,666780178,1658783788647,6,4
1,2.2274912412,0.118632274,30,90,30,40,1658783770830,1658783680830,3,3.2,1,0,0,43838,671989023,1658783818642,7,4
1,2.2262744928,0.11694032,30,90,30,40,1658783800830,1658783710830,3,3.2,1,0,0,43868,671290566,1658783848644,8,4
1,2.2247984141999995,0.117290286,30,90,30,40,1658783830830,1658783740830,3,3.2,1,0,0,43898,675822221,1658783878651,9,4
1,2.2262963682,0.116910364,30,90,30,40,1658783860830,1658783770830,3,3.2,1,0,0,43928,680052423,1658783908654,10,4
1,2.2243398722,0.117359419,30,90,30,40,1658783890830,1658783800830,3,3.2,1,0,0,43958,682533262,1658783938653,11,4
1,2.2264697502,0.116304785,30,90,30,40,1658783920830,1658783830830,3,3.2,1,0,0,43988,686689939,1658783968668,12,4
1,2.2264045214,0.11610174499999999,30,90,30,40,1658783950830,1658783860830,3,3.2,1,0,0,44018,700230763,1658783998673,13,4
1,2.2269932582,0.11569493900000001,30,90,30,40,1658783980830,1658783890830,3,3.2,1,0,0,44048,703005416,1658784028681,14,4
1,2.2277157048,0.115605659,30,90,30,40,1658784010830,1658783920830,3,3.2,1,0,0,44078,706608231,1658784058684,15,4
1,2.2271494546,0.113466976,30,90,30,40,1658784040830,1658783950830,3,3.2,1,0,0,44108,705688147,1658784088673,16,4
1,2.2264031044,0.115934495,30,90,30,40,1658784070830,1658783980830,3,3.2,1,0,0,44138,709793524,1658784118687,17,4
1,2.2268714689999998,0.11471881,30,90,30,40,1658784100830,1658784010830,3,3.2,1,0,0,44168,710308490,1658784148685,18,4
1,2.2327820776000005,0.13913564,30,90,30,40,1658784130830,1658784040830,3,3.2,1,0,0,44198,708572827,1658784178716,19,4
1,2.1380498500000003,0.115568938,30,90,30,40,1658784160830,1658784070830,3,3.2,1,0,0,44228,711708207,1658784208215,20,4
1,2.1413103136000005,0.116772732,30,90,30,40,1658784190830,1658784100830,3,3.2,2,0,0,44258,718813381,1658784238702,21,4
1,2.141535798,0.116394977,30,90,30,40,1658784220830,1658784130830,3,3.2,2,0,0,44288,720466388,1658784268699,22,4
1,2.1407359342000003,0.117279064,30,90,30,40,1658784250830,1658784160830,3,3.2,2,0,0,44318,714933865,1658784298686,23,4
