TIMESTAMP,ESC1_Time,ESC2_Time,ESC3_Time,ESC4_Time,ESC1_Time_A,ESC2_Time_A,ESC3_Time_A,ESC4_Time_A,ESC1_Window,ESC2_Window,ESC3_Window,ESC4_Window
1657225497878,0.7993187070000001,2.111905256,0.8798367909999999,2.64014813,0.035177337999999995,0.057849214,0.06040708,0.034261221,30,37.5,37.5,30,
1657225512878,2.662405709,2.198268132,0.968357367,2.720627246,0.059191811999999996,0.08636105100000001,0.084209237,0.087905951,37.5,46.875,46.875,37.5,
1657225527878,2.697351613,2.2371232369999996,1.014971453,2.771155821,0.08741703599999999,0.102542979,0.109602377,0.113857056,46.875,58.59375,58.59375,46.875,
1657225542878,2.7288805390000004,2.2924482520000002,1.068449837,2.8142559609999998,0.10783351899999999,0.130523552,0.131643385,0.139458128,58.59375,73.2421875,73.2421875,58.59375,
1657225557878,2.765579697,2.336072905,1.106585801,2.857105522,0.132211523,0.16367595299999999,0.161944506,0.159606011,73.2421875,91.552734375,91.552734375,73.2421875,
1657225572878,2.803781453,2.3850071330000002,1.155908362,2.90787928,0.16243059199999998,0.186459669,0.19178906,0.189622088,91.552734375,114.44091796875,114.44091796875,91.552734375,
1657225587878,2.87228246,2.661704862,1.4326291409999998,3.1849992499999997,0.198299164,0.209984027,0.219981484,0.21683559600000002,114.44091796875,143.0511474609375,143.0511474609375,114.44091796875,
1657225602878,2.918550538,2.827983903,1.601790666,3.348010173,0.239945073,0.26022133000000003,0.285473553,0.26640133400000005,143.0511474609375,178.81393432617188,178.81393432617188,143.0511474609375,
1657225617878,3.107874599,2.780679949,1.5549051010000001,3.311217924,0.38576205399999997,0.26039097,0.276198569,0.26934902899999996,178.81393432617188,223.51741790771484,223.51741790771484,178.81393432617188,
1657225632878,3.080441387,2.8622229790000002,1.6339758819999999,3.389414269,0.361651001,0.292620999,0.303081056,0.285935021,178.81393432617188,279.39677238464355,279.39677238464355,223.51741790771484,
1657225647878,3.173203048,2.7575998260000003,1.540675901,3.2907890510000004,0.443702866,0.324614579,0.334700159,0.323669529,178.81393432617188,349.24596548080444,279.39677238464355,279.39677238464355,
1657225662878,3.112714215,2.774088844,1.549568776,3.308671473,0.357507896,0.351248988,0.358637479,0.357612978,134.1104507446289,349.24596548080444,279.39677238464355,279.39677238464355,
1657225677878,3.115873971,2.792017887,1.577619833,3.3272870200000004,0.366789148,0.37798472099999997,0.39240564899999997,0.41413862999999995,134.1104507446289,349.24596548080444,279.39677238464355,279.39677238464355,
1657225692878,3.093813466,2.9819354010000003,1.7588775230000002,3.515477895,0.32745022999999995,0.428269179,0.421870457,0.41813636200000004,134.1104507446289,349.24596548080444,279.39677238464355,209.54757928848267,
1657225707878,2.9783545829999998,2.844616775,1.621872441,3.3772802200000003,0.259733485,0.441800432,0.427866857,0.319140626,134.1104507446289,261.93447411060333,209.54757928848267,157.160684466362,
1657225722878,3.113514441,2.858069969,1.641805335,3.383302635,0.36989098000000004,0.382832242,0.32442431800000004,0.323884051,167.63806343078613,196.4508555829525,157.160684466362,157.160684466362,
1657225737878,3.142605673,2.882525909,1.657492248,3.417655984,0.394362924,0.38772004800000004,0.320268473,0.31485891299999996,167.63806343078613,196.4508555829525,157.160684466362,157.160684466362,
1657225752878,3.2247113410000003,2.71919136,1.509046962,3.253799943,0.457648451,0.393085391,0.323423941,0.331646434,167.63806343078613,196.4508555829525,157.160684466362,157.160684466362,
1657225767878,3.035594521,2.759456419,1.5324963459999998,3.286964271,0.3207869,0.388098495,0.345535735,0.324252044,125.7285475730896,196.4508555829525,157.160684466362,157.160684466362,
1657225782878,3.045552114,2.7273097600000002,1.4986044280000002,3.2506884599999997,0.343688724,0.377090996,0.322012493,0.320106663,125.7285475730896,196.4508555829525,157.160684466362,157.160684466362,
1657225797878,3.0265125320000004,2.74828161,1.533749519,3.274010074,0.31771922,0.38161974800000004,0.337126774,0.31593017500000004,125.7285475730896,196.4508555829525,157.160684466362,157.160684466362,
1657225812878,3.033626763,2.752182569,1.5374833,3.2871230959999997,0.35080330400000004,0.375903745,0.323655316,0.320033929,125.7285475730896,196.4508555829525,157.160684466362,157.160684466362,
1657225827878,3.0352885030000003,2.757187116,1.533262576,3.2828167699999997,0.358177611,0.381299167,0.337455829,0.320491094,125.7285475730896,196.4508555829525,157.160684466362,157.160684466362,
1657225842878,3.036450742,2.7595284390000003,1.536010177,3.284506001,0.3411574,0.367951738,0.343807448,0.322638441,125.7285475730896,196.4508555829525,157.160684466362,157.160684466362,
1657225857878,3.047854813,2.7147041,1.500301263,3.240315008,0.35746286,0.386789533,0.325887766,0.33284261400000004,125.7285475730896,196.4508555829525,157.160684466362,157.160684466362,
1657225872878,3.008882578,2.7467520129999996,1.534625094,3.278203252,0.307207815,0.39348706299999997,0.328768014,0.328892171,125.7285475730896,196.4508555829525,157.160684466362,157.160684466362,
1657225887878,3.0397584230000003,2.726422944,1.5062272190000001,3.249677737,0.33502087799999997,0.386736488,0.326167706,0.326180182,125.7285475730896,196.4508555829525,157.160684466362,157.160684466362,
1657225902878,3.009772331,2.725610664,1.516538747,3.259572718,0.311852446,0.37674745000000004,0.326818226,0.33608884499999997,125.7285475730896,196.4508555829525,157.160684466362,157.160684466362,
1657225917878,3.028010553,2.7555157749999997,1.5320445340000002,3.28139768,0.31083116,0.382363914,0.334630068,0.323231023,125.7285475730896,196.4508555829525,157.160684466362,157.160684466362,
1657225932878,3.03318994,2.7361273500000003,1.516908737,3.25894202,0.34699433900000004,0.380384277,0.324036041,0.32278961500000003,125.7285475730896,196.4508555829525,157.160684466362,157.160684466362,
1657225947878,3.015050026,2.71222048,1.492632768,3.2446833689999997,0.32917332,0.387433957,0.328220349,0.323018639,125.7285475730896,196.4508555829525,157.160684466362,157.160684466362,
1657225962878,3.014799857,2.7337265299999998,1.5148636409999998,3.255260489,0.30676630899999996,0.374882866,0.342165592,0.32420817799999996,125.7285475730896,196.4508555829525,157.160684466362,157.160684466362,
1657225977878,3.015594874,2.798788663,1.5909998459999999,3.331660214,0.31835377899999995,0.37850779,0.340149769,0.329197711,125.7285475730896,196.4508555829525,157.160684466362,157.160684466362,
1657225992878,3.083511621,2.824316721,1.6062315269999998,3.347732848,0.395134285,0.383325438,0.333585353,0.315309584,125.7285475730896,196.4508555829525,157.160684466362,157.160684466362,
1657226007878,3.128279026,2.67725201,1.465813171,3.202424191,0.416625151,0.371137339,0.33136319099999995,0.324316601,125.7285475730896,196.4508555829525,157.160684466362,157.160684466362,
1657226022878,2.923747495,2.71608288,1.495490593,3.24125218,0.249019832,0.38228353600000003,0.322738021,0.315595095,94.2964106798172,196.4508555829525,157.160684466362,157.160684466362,
1657226037878,3.003976615,2.741855432,1.533623543,3.2714530610000003,0.307029063,0.409431325,0.344007595,0.325843368,117.8705133497715,196.4508555829525,157.160684466362,157.160684466362,
1657226052878,3.06742555,2.746464527,1.5300213409999999,3.277696443,0.33646415,0.287891182,0.32553313100000003,0.32397428500000003,117.8705133497715,147.33814168721437,157.160684466362,157.160684466362,
1657226067878,3.032868645,2.7504998460000003,1.534924183,3.281739907,0.35063589,0.326320239,0.325926953,0.31308849400000005,117.8705133497715,184.17267710901797,157.160684466362,157.160684466362,
1657226082878,3.041437865,2.791707746,1.572595767,3.316325049,0.349768725,0.349473734,0.322366239,0.32228587,117.8705133497715,184.17267710901797,157.160684466362,157.160684466362,
1657226097878,3.08139352,2.7201434570000003,1.50401886,3.252721852,0.384955916,0.359958071,0.32642267399999997,0.32069689,117.8705133497715,184.17267710901797,157.160684466362,157.160684466362,
1657226112878,3.061657337,2.724587649,1.5076730580000002,3.2584038609999997,0.323995702,0.35258324900000004,0.323412786,0.323165933,117.8705133497715,184.17267710901797,157.160684466362,157.160684466362,
1657226127878,3.050510498,2.724406156,1.5192657139999999,3.2574426159999996,0.331797706,0.35060256500000003,0.31706001500000003,0.31733086200000005,117.8705133497715,184.17267710901797,157.160684466362,157.160684466362,
1657226142878,3.026610786,2.710882349,1.496235852,3.233576195,0.328568884,0.353982363,0.33468551100000005,0.314741284,117.8705133497715,184.17267710901797,157.160684466362,157.160684466362,
1657226157878,3.031158607,2.721421672,1.503602278,3.24636543,0.309509187,0.34803001699999997,0.332818762,0.324508255,117.8705133497715,184.17267710901797,157.160684466362,157.160684466362,
1657226172878,3.0244333780000003,2.761367271,1.543572129,3.2853896490000003,0.320596828,0.34968675,0.322565849,0.331652445,117.8705133497715,184.17267710901797,157.160684466362,157.160684466362,
1657226187878,3.050339929,2.72369599,1.510541409,3.254577569,0.359177031,0.351477732,0.335947804,0.340509686,117.8705133497715,184.17267710901797,157.160684466362,157.160684466362,
1657226202878,3.011215275,2.737435083,1.529673877,3.262650282,0.322986142,0.34629877699999995,0.32481249700000003,0.328841499,117.8705133497715,184.17267710901797,157.160684466362,157.160684466362,
1657226217878,3.0614829410000004,2.7117339940000003,1.503266553,3.246145949,0.339698989,0.35694723,0.322129874,0.325940155,117.8705133497715,184.17267710901797,157.160684466362,157.160684466362,
1657226232878,3.05442896,2.705535137,1.499293668,3.22959726,0.317240854,0.351041891,0.33070376700000004,0.326777617,117.8705133497715,184.17267710901797,157.160684466362,157.160684466362,
1657226247878,3.054945643,2.731446147,1.5145896929999998,3.256603328,0.306596509,0.346455073,0.329205061,0.315752569,117.8705133497715,184.17267710901797,157.160684466362,157.160684466362,
1657226262878,3.057148057,2.717286962,1.5022862479999999,3.248064159,0.328229852,0.349301167,0.329367166,0.324662369,117.8705133497715,184.17267710901797,157.160684466362,157.160684466362,
1657226277878,3.0248306560000002,2.7291901750000003,1.513006813,3.2533894329999997,0.32098778299999997,0.349741187,0.33874652,0.323056997,117.8705133497715,184.17267710901797,157.160684466362,157.160684466362,
1657226292878,3.0196844179999998,2.730943131,1.5161216770000001,3.261168028,0.33470558699999997,0.443008492,0.321641236,0.327318011,117.8705133497715,184.17267710901797,157.160684466362,157.160684466362,
1657226307878,3.109510303,2.6752644340000002,1.461482103,3.205243806,0.32202305000000003,0.264335689,0.329036095,0.322900187,117.8705133497715,138.12950783176348,157.160684466362,157.160684466362,
1657226322878,3.028827019,2.75576168,1.540111877,3.280121144,0.289212849,0.290573629,0.33114133199999995,0.33133694100000005,117.8705133497715,172.66188478970435,157.160684466362,157.160684466362,
1657226337878,3.083823097,2.822225192,1.616696964,3.3454255440000003,0.354868001,0.31546587899999995,0.33418227699999997,0.332512264,147.33814168721437,215.82735598713043,157.160684466362,157.160684466362,
1657226352878,3.1786715869999997,2.703919381,1.496681826,3.237689543,0.413180262,0.34520945999999997,0.324619279,0.32041080499999997,147.33814168721437,215.82735598713043,157.160684466362,157.160684466362,
1657226367878,2.971416332,2.7492305970000004,1.54171654,3.2817688229999997,0.266546333,0.385027994,0.33122792500000003,0.319877232,110.50360626541078,215.82735598713043,157.160684466362,157.160684466362,
1657226382878, , , , , , , , , , , , ,
