RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES
1,2.1928550095999997,0.086642967,15,30,15,30,1658591098919,1658591068919,3,3.2,2,0,22097,317437172,1658591121727,41,4
1,2.1898656797999996,0.08575708,15,30,15,30,1658591113919,1658591083919,3,3.2,2,0,22112,320152179,1658591136730,42,4
1,2.1902736656,0.088620221,15,30,15,30,1658591128919,1658591098919,3,3.2,2,0,22127,321989939,1658591151731,43,4
1,2.188641285,0.085403569,15,30,15,30,1658591143919,1658591113919,3,3.2,2,0,22142,322802963,1658591166728,44,4
1,2.1891179727999996,0.088110287,15,30,15,30,1658591158919,1658591128919,3,3.2,2,0,22157,324690553,1658591181741,45,4
1,2.1883775148,0.08845671299999999,15,30,15,30,1658591173919,1658591143919,3,3.2,2,0,22172,332680694,1658591196738,46,4
1,2.1880806728,0.08740549900000001,15,30,15,30,1658591188919,1658591158919,3,3.2,2,0,22187,330437759,1658591211739,47,4
1,2.1864954184,0.089071464,15,30,15,30,1658591203919,1658591173919,3,3.2,2,0,22202,331518140,1658591226733,48,4
1,2.1860149715999997,0.08559767600000001,15,30,15,30,1658591218919,1658591188919,3,3.2,2,0,22217,332103718,1658591241735,49,4
1,2.183272577,0.08592912200000001,15,30,15,30,1658591233919,1658591203919,3,3.2,2,0,22232,331655749,1658591256734,50,4
1,2.1834915990000003,0.08576689,15,30,15,30,1658591248919,1658591218919,3,3.2,2,0,22247,334482247,1658591271741,51,4
1,2.1852742244,0.088098953,15,30,15,30,1658591263919,1658591233919,3,3.2,2,0,22262,336212627,1658591286753,52,4
1,2.1887680965999996,0.087517979,15,30,15,30,1658591278919,1658591248919,3,3.2,2,0,22277,340409644,1658591301759,53,4
1,2.1896308326,0.084826723,15,30,15,30,1658591293919,1658591263919,3,3.2,2,0,22292,338141544,1658591316745,54,4
1,2.1902179673999997,0.085380199,15,30,15,30,1658591308919,1658591278919,3,3.2,2,0,22307,342778476,1658591331748,55,4
1,2.1910083692,0.088117293,15,30,15,30,1658591323919,1658591293919,3,3.2,2,0,22322,344424809,1658591346755,56,4
1,2.1980161988,0.091462548,15,30,15,30,1658591338919,1658591308919,3,3.2,2,0,22337,346242289,1658591361798,57,4
1,2.1963912002,0.091659465,15,30,15,30,1658591353919,1658591323919,3,3.2,2,0,22352,347049672,1658591376759,58,4
1,2.195995831,0.085238468,15,30,15,30,1658591368919,1658591338919,3,3.2,2,0,22367,351560521,1658591391757,59,4
1,2.1966163578,0.088571383,15,30,15,30,1658591383919,1658591353919,3,3.2,2,0,22382,357920198,1658591406767,60,4
1,2.1970319442,0.08494260199999999,15,30,15,30,1658591398919,1658591368919,3,3.2,2,0,22397,356640435,1658591421769,61,4
1,2.1888418974,0.08792971799999999,15,30,15,30,1658591413919,1658591383919,3,3.2,2,0,22412,359816004,1658591436771,62,4
1,2.190542469,0.08890031999999999,15,30,15,30,1658591428919,1658591398919,3,3.2,1,0,22427,362504041,1658591451782,63,4
1,2.1919375876,0.086407179,15,30,15,30,1658591443919,1658591413919,3,3.2,1,0,22442,361918409,1658591466774,64,4
1,2.1906418436,0.086304343,15,30,15,30,1658591458919,1658591428919,3,3.2,1,0,22457,367048197,1658591481769,65,4
1,2.1904292726000003,0.084726098,15,30,15,30,1658591473919,1658591443919,3,3.2,1,0,22472,368408967,1658591496780,66,4
1,2.1903221464000002,0.089699092,15,30,15,30,1658591488919,1658591458919,3,3.2,1,0,22487,371500190,1658591511782,67,4
1,2.188310168,0.08995489999999999,15,30,15,30,1658591503919,1658591473919,3,3.2,1,0,22502,371684955,1658591526781,68,4
1,2.1880119776,0.086562504,15,30,15,30,1658591518919,1658591488919,3,3.2,1,0,22517,376200265,1658591541787,69,4
1,2.1927666706,0.08912500699999999,15,30,15,30,1658591533919,1658591503919,3,3.2,1,0,22532,380529679,1658591556807,70,4
1,2.1933627762,0.087563625,15,30,15,30,1658591548919,1658591518919,3,3.2,1,0,22547,387803474,1658591571802,71,4
1,2.1949672718000004,0.09046892200000001,15,30,15,30,1658591563919,1658591533919,3,3.2,1,0,22562,389445314,1658591586808,72,4
1,2.195862168,0.086623011,15,30,15,30,1658591578919,1658591548919,3,3.2,1,0,22577,391562624,1658591601805,73,4
1,2.1953064622,0.085253364,15,30,15,30,1658591593919,1658591563919,3,3.2,1,0,22592,397608145,1658591616806,74,4
1,2.1913991954,0.08794869799999999,15,30,15,30,1658591608919,1658591578919,3,3.2,1,0,22607,397462429,1658591631804,75,4
1,2.1919334568,0.088325362,15,30,15,30,1658591623919,1658591593919,3,3.2,1,0,22622,400508133,1658591646818,76,4
1,2.1899568823999997,0.085209198,15,30,15,30,1658591638919,1658591608919,3,3.2,1,0,22637,412367223,1658591661821,77,4
1,2.1904559553999996,0.086104512,15,30,15,30,1658591653919,1658591623919,3,3.2,1,0,22652,411072494,1658591676827,78,4
1,2.1897400421999995,0.086301642,15,30,15,30,1658591668919,1658591638919,3,3.2,1,0,22667,420343551,1658591691825,79,4
1,2.190860005,0.086702346,15,30,15,30,1658591683919,1658591653919,3,3.2,1,0,22682,417547034,1658591706830,80,4
1,2.1906458702,0.087746975,15,30,15,30,1658591698919,1658591668919,3,3.2,1,0,22697,420148526,1658591721836,81,4
1,2.1910423012,0.08777928,15,30,15,30,1658591713919,1658591683919,3,3.2,1,0,22712,429235592,1658591736840,82,4
