NUMBER_SENSORS+NUMBER_DETECTIONS+TOTAL_TIME+CARS_PER_SECOND_BY_SENSOR+CARS_PER_SECOND_TOTAL+REAL_CARS_PER_SECOND+FREQUENCY+TIME_DATA+FREQUENCY_DATA+DETECTIONS_STORED+FROM_DATE+TO_DATE
4+628+40,45716598510742+[0,089;0,087;0,088;0,085]+0,08725000000000001+0,49861111111111134+8+1800+1+1260+1604878661046+1604876861046
4+645+40,063767990112304+[0,091;0,089;0,089;0,089]+0,0895+0,4855555555555553+8+1800+1+1280+1604878669046+1604876869046
4+655+44,981884994506835+[0,092;0,091;0,091;0,09]+0,091+0,5148316666666665+8+1800+1+1300+1604878677046+1604876877046
4+666+41,40873199462891+[0,094;0,092;0,093;0,091]+0,0925+0,5520666666666666+8+1800+1+1340+1604878685046+1604876885046
4+682+42,90110099792481+[0,097;0,093;0,097;0,092]+0,09475+0,5054011111111111+8+1800+1+1360+1604878693046+1604876893046
4+690+44,39225900268555+[0,098;0,095;0,098;0,093]+0,096+0,5380555555555558+8+1800+1+1380+1604878701046+1604876901046
4+708+47,729975006103516+[0,1;0,098;0,1;0,096]+0,0985+0,5294444444444446+8+1800+1+1420+1604878709046+1604876909046
4+719+46,13660200500488+[0,102;0,1;0,102;0,096]+0,1+0,5133333333333332+8+1800+1+1440+1604878717046+1604876917046
4+734+43,556894012451174+[0,104;0,101;0,104;0,099]+0,10200000000000001+0,5074999999999998+8+1800+1+1460+1604878725046+1604876925046
4+747+49,54230599975586+[0,106;0,102;0,106;0,101]+0,10375000000000001+0,5330375+8+1800+1+1500+1604878733046+1604876933046
4+760+43,42055101013184+[0,107;0,104;0,108;0,102]+0,10525+0,5687583333333334+8+1800+1+1520+1604878741046+1604876941046
4+774+52,698869995117185+[0,109;0,108;0,109;0,104]+0,1075+0,592777777777778+8+1800+1+1540+1604878749046+1604876949046
4+790+50,536526000976565+[0,111;0,11;0,113;0,105]+0,10975+0,5544444444444442+8+1800+1+1580+1604878757046+1604876957046
4+803+49,97289399719238+[0,113;0,111;0,116;0,106]+0,1115+0,575833333333333+8+1800+1+1600+1604878765046+1604876965046
4+819+47,19465400695801+[0,116;0,112;0,117;0,109]+0,1135+0,57605+8+1800+1+1620+1604878773046+1604876973046
4+835+45,91629000854492+[0,118;0,114;0,119;0,112]+0,11574999999999999+0,5589541666666666+8+1800+1+1660+1604878781046+1604876981046
