NUMBER_SENSORS,FREQUENCY,TIME_DATA,MIN_TIME,MAX_TIME,AVG_TIME,STD_TIME,SUCCESFUL_CALCULATIONS
1,8,32,5.481596000671387,17.71892099761963,7.070070718884465,1.841151839085539,64
2,8,32,10.306657997131348,94.16686699676514,13.885711297154428,10.269000428485478,64
4,8,32,20.07460499572754,105.09761199951171,25.787028375029568,10.460335874211111,64
8,8,32,41.62934700012207,385.33905100250246,59.123595422148696,45.81388988782467,64
16,8,32,87.84637400054932,230.10589700317382,110.37189625000956,16.98968473818255,64
1,8,32,5.775333999633789,11.796376998901367,6.909180061340332,1.177117529138245,64
2,8,32,10.734487991333008,21.04808999633789,12.957667265653614,2.2092869509162996,64
4,8,32,20.00605400085449,32.07710600280762,24.834893204212182,2.6585257045042505,64
8,8,32,36.966023010253906,63.09977400207519,50.23674356269836,5.089325607039108,64
16,8,32,90.66756900024414,124.26120001220703,108.73397628307339,6.895742077527716,64
1,8,32,5.872147003173828,52.75181700134277,7.573875686407087,5.7622695599740785,64
2,8,32,10.711818008422851,21.765449005126953,13.309105702400208,2.296004609850505,64
4,8,32,20.884337997436525,264.00932998657225,28.631867840721497,30.055338627057683,63
8,8,32,41.894585998535156,61.21106900024414,49.78333259391783,4.665601916078738,64
16,8,32,90.9300170135498,137.0085829925537,109.93693176531791,7.452377041921715,64
