RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES
1,2.679059467,0.048951162,15,30,15,10,1657395107596,1657395077596,3,3.2,4,0,1657395127648,1657395128149,1657395130310,0,4
1,2.8049353089999998,0.142236839,15,37.5,15,30,1657395122596,1657395085096,3,3.2,4,0,1657395142646,1657395143147,1657395145435,1,4
1,2.877574887,0.18784645900000002,15,46.875,15,40,1657395137596,1657395090721,3,3.2,4,0,1657395157660,1657395158162,1657395160512,2,4
1,2.962863573,0.227171634,15,58.59375,15,50,1657395152596,1657395094002.25,3,3.2,4,0,1657395172652,1657395173154,1657395175597,3,4
1,3.072079832,0.341456296,15,73.2421875,15,60,1657395167596,1657395094353.8125,3,3.2,4,0,1657395187660,1657395188162,1657395190708,4,4
1,3.064245583,0.266636013,15,73.2421875,15,60,1657395182596,1657395109353.8125,3,3.2,4,0,1657395202659,1657395203160,1657395205701,5,4
1,3.055577445,0.274535757,15,73.2421875,15,60,1657395197596,1657395124353.8125,3,3.2,4,0,1657395217659,1657395218163,1657395220695,6,4
1,3.0477772759999997,0.290867076,15,73.2421875,15,60,1657395212596,1657395139353.8125,3,3.2,4,0,1657395232659,1657395233163,1657395235687,7,4
1,3.058281411,0.30456492100000004,15,73.2421875,15,60,1657395227596,1657395154353.8125,3,3.2,4,0,1657395247665,1657395248168,1657395250698,8,4
1,3.04677417,0.280882076,15,73.2421875,15,60,1657395242596,1657395169353.8125,3,3.2,4,0,1657395262662,1657395263166,1657395265687,9,4
1,3.046095908,0.28658836000000004,15,73.2421875,15,60,1657395257596,1657395184353.8125,3,3.2,4,0,1657395277663,1657395278165,1657395280688,10,4
1,3.058932105,0.32332062500000003,15,73.2421875,15,60,1657395272596,1657395199353.8125,3,3.2,4,0,1657395292664,1657395293167,1657395295702,11,4
1,3.034415631,0.258363505,15,73.2421875,15,60,1657395287596,1657395214353.8125,3,3.2,4,0,1657395307665,1657395308169,1657395310680,12,4
1,3.0461897330000003,0.282715513,15,73.2421875,15,60,1657395302596,1657395229353.8125,3,3.2,4,0,1657395322663,1657395323167,1657395325692,13,4
1,3.079412986,0.29406850900000003,15,73.2421875,15,60,1657395317596,1657395244353.8125,3,3.2,4,0,1657395337672,1657395338175,1657395340731,14,4
1,3.084381832,0.308483679,15,73.2421875,15,60,1657395332596,1657395259353.8125,3,3.2,4,0,1657395352676,1657395353178,1657395355736,15,4
