RESPONSES,TOTAL_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING
1,7.501332001,10,60,3,1,1.65196E+12,1.65196E+12,7,8,1
1,7.363825001,10,60,5,1,1.65196E+12,1.65196E+12,7,8,1
1,6.813711998,10,60,5,1,1.65196E+12,1.65196E+12,7,8,1
1,7.378924,10,60,5,1,1.65196E+12,1.65196E+12,7,8,1
1,6.747819,10,60,5,1,1.65196E+12,1.65196E+12,7,8,1
1,7.003118999,10,60,5,1,1.65196E+12,1.65196E+12,7,8,1
1,7.585615997,10,60,5,1,1.65196E+12,1.65196E+12,7,8,1
1,7.119942001,10,60,5,1,1.65196E+12,1.65196E+12,7,8,1
1,6.420439999,10,60,5,1,1.65196E+12,1.65196E+12,7,8,1
1,6.532636002,10,60,5,1,1.65196E+12,1.65196E+12,7,8,1
1,6.974203999,10,60,5,1,1.65196E+12,1.65196E+12,7,8,1
1,9.728092003,10,60,5,1,1.65196E+12,1.65196E+12,7,8,1
1,7.863287003,10,60,6.25,1,1.65196E+12,1.65196E+12,7,8,1
1,7.554435001,10,60,6.25,1,1.65196E+12,1.65196E+12,7,8,1
1,7.219843002,10,60,6.25,1,1.65196E+12,1.65196E+12,7,8,1
1,6.533383003,10,60,6.25,1,1.65196E+12,1.65196E+12,7,8,1
1,7.833522999,10,60,5,1,1.65196E+12,1.65196E+12,7,8,2
1,8.110839001,10,60,5,1,1.65196E+12,1.65196E+12,7,8,2
1,7.828264999,10,60,6.25,1,1.65196E+12,1.65196E+12,7,8,2
1,8.072360001,10,60,6.25,1,1.65196E+12,1.65196E+12,7,8,2
1,6.359829002,10,60,7.8125,1,1.65196E+12,1.65196E+12,7,8,2
1,6.746819,10,60,5.859375,1,1.65196E+12,1.65196E+12,7,8,2
1,7.343084,10,60,5,1,1.65196E+12,1.65196E+12,7,8,2
1,12.168297,10,60,5,1,1.65196E+12,1.65196E+12,7,8,2
1,6.275370998,10,60,6.25,1,1.65196E+12,1.65196E+12,7,8,2
1,6.637689999,10,60,5,1,1.65196E+12,1.65196E+12,7,8,2
1,6.603363998,10,60,5,1,1.65196E+12,1.65196E+12,7,8,2
1,8.338777,10,60,5,1,1.65196E+12,1.65196E+12,7,8,3
1,6.950663998,10,60,6.25,1,1.65196E+12,1.65196E+12,7,8,3
1,6.524888,10,60,5,1,1.65196E+12,1.65196E+12,7,8,3
1,8.490054001,10,60,5,1,1.65196E+12,1.65196E+12,7,8,3
1,6.20909,10,60,6.25,1,1.65196E+12,1.65196E+12,7,8,3
1,6.650853001,10,60,5,1,1.65196E+12,1.65196E+12,7,8,3
1,8.328866001,10,60,5,1,1.65196E+12,1.65196E+12,7,8,3
1,6.338167,10,60,6.25,1,1.65196E+12,1.65196E+12,7,8,3
1,6.341473999,10,60,5,1,1.65196E+12,1.65196E+12,7,8,3
1,6.877148998,10,60,5,1,1.65196E+12,1.65196E+12,7,8,3
1,6.461181999,10,60,5,1,1.65196E+12,1.65196E+12,7,8,3
1,5.916317001,10,60,5,1,1.65196E+12,1.65196E+12,7,8,4
1,6.302895,10,60,5,1,1.65196E+12,1.65196E+12,7,8,4
1,6.972219002,10,60,5,1,1.65196E+12,1.65196E+12,7,8,4
1,6.274478001,10,60,5,1,1.65196E+12,1.65196E+12,7,8,4
1,6.672363998,10,60,5,1,1.65196E+12,1.65196E+12,7,8,4
1,6.408489998,10,60,5,1,1.65196E+12,1.65196E+12,7,8,4
1,6.861232998,10,60,5,1,1.65196E+12,1.65196E+12,7,8,3
1,6.442125,10,60,5,1,1.65196E+12,1.65196E+12,7,8,3
1,6.351156002,10,60,5,1,1.65196E+12,1.65196E+12,7,8,3
1,6.740515999,10,60,5,1,1.65196E+12,1.65196E+12,7,8,3
1,6.278372997,10,60,5,1,1.65196E+12,1.65196E+12,7,8,3
1,6.653704002,10,60,5,1,1.65196E+12,1.65196E+12,7,8,3
1,6.88991,10,60,5,1,1.65196E+12,1.65196E+12,7,8,2
1,7.047317001,10,60,5,1,1.65196E+12,1.65196E+12,7,8,2
1,7.659445,10,60,5,1,1.65196E+12,1.65196E+12,7,8,2
1,6.976886997,10,60,5,1,1.65196E+12,1.65196E+12,7,8,2
1,6.457456997,10,60,5,1,1.65196E+12,1.65196E+12,7,8,2
1,7.149331001,10,60,5,1,1.65196E+12,1.65196E+12,7,8,2
1,6.885243,10,60,5,1,1.65196E+12,1.65196E+12,7,8,1
1,6.757050999,10,60,5,1,1.65196E+12,1.65196E+12,7,8,1
1,6.743825001,10,60,5,1,1.65196E+12,1.65196E+12,7,8,1
1,7.167182999,10,60,5,1,1.65196E+12,1.65196E+12,7,8,1
1,7.023872997,10,60,5,1,1.65196E+12,1.65196E+12,7,8,1
1,6.806549,10,60,5,1,1.65196E+12,1.65196E+12,7,8,1
