RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID
1,1.43405415,0.103340848,15,50,15,20,1655417544153,1655417494153,2.5,3,12,0,1655417564297,1655417564798,1655417565718,0
1,1.5156790900000001,0.226095264,15,37.5,15,60,1655417559153,1655417521653,2.5,3,12,0,1655417579302,1655417579802,1655417580800,1
1,1.511295063,0.212939447,15,28.125,15,60,1655417574153,1655417546028,2.5,3,12,0,1655417594301,1655417594801,1655417595795,2
1,1.480891815,0.242074318,15,21.09375,15,60,1655417589153,1655417568059.25,2.5,3,12,0,1655417609304,1655417609805,1655417610766,3
1,1.533918089,0.207648697,15,15.8203125,15,40,1655417604153,1655417588332.6875,2.5,3,12,0,1655417624300,1655417624825,1655417625819,4
1,1.5254671450000001,0.184320786,15,15.8203125,15,40,1655417619153,1655417603332.6875,2.5,3,12,0,1655417639301,1655417639802,1655417640811,5
1,1.474758318,0.153321267,15,15.8203125,15,40,1655417634153,1655417618332.6875,2.5,3,12,0,1655417654300,1655417654800,1655417655760,6
1,1.47636388,0.151959259,15,15.8203125,15,40,1655417649153,1655417633332.6875,2.5,3,13,0,1655417669300,1655417669800,1655417670762,7
1,1.460000266,0.136807119,15,15.8203125,15,40,1655417664153,1655417648332.6875,2.5,3,13,0,1655417684300,1655417684800,1655417685745,8
1,1.451320787,0.177920851,15,15.8203125,15,40,1655417679153,1655417663332.6875,2.5,3,13,0,1655417699305,1655417699805,1655417700736,9
1,1.43517042,0.16370965899999998,15,15.8203125,15,40,1655417694153,1655417678332.6875,2.5,3,13,0,1655417714302,1655417714802,1655417715721,10
1,1.621183857,0.16552686600000002,15,15.8203125,15,40,1655417709153,1655417693332.6875,2.5,3,13,0,1655417729302,1655417729803,1655417730907,11
1,1.584492217,0.210569605,15,15.8203125,15,40,1655417724153,1655417708332.6875,2.5,3,13,0,1655417744302,1655417744802,1655417745870,12
1,1.44887659,0.17229968199999998,15,15.8203125,15,40,1655417739153,1655417723332.6875,2.5,3,13,0,1655417759302,1655417759802,1655417760735,13
1,1.4795241430000001,0.146299318,15,15.8203125,15,40,1655417754153,1655417738332.6875,2.5,3,13,0,1655417774301,1655417774802,1655417775766,14
1,1.476046504,0.177404666,15,15.8203125,15,40,1655417769153,1655417753332.6875,2.5,3,14,0,1655417789301,1655417789800,1655417790763,15
1,1.5022299239999999,0.16373541800000002,15,15.8203125,15,40,1655417784153,1655417768332.6875,2.5,3,14,0,1655417804307,1655417804808,1655417805789,16
1,1.479543298,0.159212714,15,15.8203125,15,40,1655417799153,1655417783332.6875,2.5,3,14,0,1655417819302,1655417819802,1655417820767,17
1,1.49271479,0.178676764,15,15.8203125,15,40,1655417814153,1655417798332.6875,2.5,3,14,0,1655417834306,1655417834808,1655417835780,18
1,1.652433808,0.205889561,15,15.8203125,15,40,1655417829153,1655417813332.6875,2.5,3,14,0,1655417849301,1655417849801,1655417850940,19
1,1.594159554,0.21675609199999998,15,15.8203125,15,40,1655417844153,1655417828332.6875,2.5,3,14,0,1655417864304,1655417864820,1655417865882,20
1,1.495806667,0.158561027,15,15.8203125,15,40,1655417859153,1655417843332.6875,2.5,3,14,0,1655417879302,1655417879802,1655417880784,21
1,1.513286253,0.169267714,15,15.8203125,15,40,1655417874153,1655417858332.6875,2.5,3,14,0,1655417894308,1655417894808,1655417895801,22
1,1.4929443679999999,0.148211327,15,15.8203125,15,40,1655417889153,1655417873332.6875,2.5,3,15,0,1655417909310,1655417909809,1655417910782,23
1,1.490347901,0.14179184,15,15.8203125,15,40,1655417904153,1655417888332.6875,2.5,3,15,0,1655417924309,1655417924809,1655417925780,24
1,1.49372398,0.152380104,15,15.8203125,15,40,1655417919153,1655417903332.6875,2.5,3,15,0,1655417939304,1655417939804,1655417940783,25
1,1.444701072,0.174303348,15,15.8203125,15,40,1655417934153,1655417918332.6875,2.5,3,15,0,1655417954307,1655417954813,1655417955734,26
1,1.652157617,0.23041613,15,15.8203125,15,40,1655417949153,1655417933332.6875,2.5,3,15,0,1655417969307,1655417969822,1655417970942,27
1,1.539977108,0.18866195,15,15.8203125,15,40,1655417964153,1655417948332.6875,2.5,3,15,0,1655417984310,1655417984820,1655417985830,28
1,1.558730505,0.18215793300000002,15,15.8203125,15,40,1655417979153,1655417963332.6875,2.5,3,15,0,1655417999317,1655417999817,1655418000849,29
1,1.55479606,0.188484364,15,15.8203125,15,40,1655417994153,1655417978332.6875,2.5,3,16,0,1655418014306,1655418014892,1655418015845,30
1,1.536294767,0.131044073,15,15.8203125,15,40,1655418009153,1655417993332.6875,2.5,3,16,0,1655418029309,1655418029810,1655418030827,31
1,1.6389560810000001,0.166453051,15,15.8203125,15,40,1655418024153,1655418008332.6875,2.5,3,16,0,1655418044309,1655418044809,1655418045931,32
1,1.515554539,0.156639248,15,15.8203125,15,40,1655418039153,1655418023332.6875,2.5,3,16,0,1655418059312,1655418059815,1655418060807,33
1,1.467084353,0.18047122300000001,15,15.8203125,15,40,1655418054153,1655418038332.6875,2.5,3,16,0,1655418074310,1655418074811,1655418075759,34
1,1.734234566,0.164858323,15,15.8203125,15,40,1655418069153,1655418053332.6875,2.5,3,16,0,1655418089309,1655418089817,1655418091026,35
1,1.540480544,0.158857891,15,15.8203125,15,40,1655418084153,1655418068332.6875,2.5,3,16,0,1655418104311,1655418104810,1655418105832,36
1,1.658372884,0.175358408,15,15.8203125,15,40,1655418099153,1655418083332.6875,2.5,3,16,0,1655418119307,1655418119819,1655418120951,37
1,1.642492491,0.15837122199999998,15,15.8203125,15,40,1655418114153,1655418098332.6875,2.5,3,16,0,1655418134313,1655418134813,1655418135935,38
1,1.680855894,0.137792099,15,15.8203125,15,40,1655418129153,1655418113332.6875,2.5,3,16,0,1655418149309,1655418149809,1655418150974,39
1,1.483372904,0.159079575,15,15.8203125,15,40,1655418144153,1655418128332.6875,2.5,3,16,0,1655418164307,1655418164806,1655418165775,40
1,1.4817173319999999,0.13048769999999998,15,15.8203125,15,40,1655418159153,1655418143332.6875,2.5,3,16,0,1655418179314,1655418179815,1655418180775,41
1,1.659051397,0.14827839499999998,15,15.8203125,15,40,1655418174153,1655418158332.6875,2.5,3,16,0,1655418194314,1655418194815,1655418195953,42
1,1.65922153,0.175988022,15,15.8203125,15,40,1655418189153,1655418173332.6875,2.5,3,16,0,1655418209313,1655418209815,1655418210954,43
1,1.483272093,0.16740475000000002,15,15.8203125,15,40,1655418204153,1655418188332.6875,2.5,3,16,0,1655418224310,1655418224810,1655418225778,44
1,1.630182241,0.14732055,15,15.8203125,15,40,1655418219153,1655418203332.6875,2.5,3,16,0,1655418239310,1655418239811,1655418240925,45
1,1.638293528,0.153537815,15,15.8203125,15,40,1655418234153,1655418218332.6875,2.5,3,16,0,1655418254315,1655418254816,1655418255934,46
1,1.469255194,0.160733882,15,15.8203125,15,40,1655418249153,1655418233332.6875,2.5,3,16,0,1655418269312,1655418269812,1655418270766,47
1,1.4965384019999999,0.143825759,15,15.8203125,15,40,1655418264153,1655418248332.6875,2.5,3,16,0,1655418284317,1655418284816,1655418285794,48
1,1.4719768979999999,0.159016502,15,15.8203125,15,40,1655418279153,1655418263332.6875,2.5,3,16,0,1655418299313,1655418299813,1655418300770,49
1,1.490922224,0.16619595899999998,15,15.8203125,15,40,1655418294153,1655418278332.6875,2.5,3,16,0,1655418314317,1655418314820,1655418315789,50
1,1.4798846570000002,0.149756047,15,15.8203125,15,40,1655418309153,1655418293332.6875,2.5,3,16,0,1655418329320,1655418329821,1655418330777,51
1,1.627564963,0.146556309,15,15.8203125,15,40,1655418324153,1655418308332.6875,2.5,3,16,0,1655418344319,1655418344819,1655418345925,52
1,1.5226945330000001,0.157688669,15,15.8203125,15,40,1655418339153,1655418323332.6875,2.5,3,16,0,1655418359314,1655418359815,1655418360820,53
1,1.643239659,0.157686692,15,15.8203125,15,40,1655418354153,1655418338332.6875,2.5,3,16,0,1655418374321,1655418374821,1655418375941,54
1,1.467061439,0.19188466099999998,15,15.8203125,15,40,1655418369153,1655418353332.6875,2.5,3,16,0,1655418389316,1655418389816,1655418390765,55
1,1.660714952,0.17463806099999998,15,15.8203125,15,40,1655418384153,1655418368332.6875,2.5,3,16,0,1655418404316,1655418404837,1655418405958,56
1,1.5290551250000002,0.151656198,15,15.8203125,15,40,1655418399153,1655418383332.6875,2.5,3,16,0,1655418419315,1655418419816,1655418420827,57
1,1.6735039710000001,0.18352084700000001,15,15.8203125,15,40,1655418414153,1655418398332.6875,2.5,3,16,0,1655418434316,1655418434816,1655418435972,58
1,1.474282783,0.16616559,15,15.8203125,15,40,1655418429153,1655418413332.6875,2.5,3,16,0,1655418449313,1655418449813,1655418450772,59
1,1.639615618,0.160489604,15,15.8203125,15,40,1655418444153,1655418428332.6875,2.5,3,16,0,1655418464317,1655418464818,1655418465937,60
1,1.664532659,0.136264492,15,15.8203125,15,40,1655418459153,1655418443332.6875,2.5,3,16,0,1655418479321,1655418479822,1655418480963,61
1,1.517349423,0.154550925,15,15.8203125,15,40,1655418474153,1655418458332.6875,2.5,3,16,0,1655418494314,1655418494815,1655418495816,62
1,1.53720716,0.16556367800000002,15,15.8203125,15,40,1655418489153,1655418473332.6875,2.5,3,16,0,1655418509317,1655418509822,1655418510836,63
1,1.513575763,0.157813645,15,15.8203125,15,40,1655418504153,1655418488332.6875,2.5,3,15,0,1655418524320,1655418524820,1655418525812,64
1,1.458672532,0.16032437300000002,15,15.8203125,15,40,1655418519153,1655418503332.6875,2.5,3,15,0,1655418539316,1655418539819,1655418540758,65
1,1.47685066,0.141255267,15,15.8203125,15,40,1655418534153,1655418518332.6875,2.5,3,15,0,1655418554315,1655418554815,1655418555775,66
1,1.483935469,0.190859977,15,15.8203125,15,40,1655418549153,1655418533332.6875,2.5,3,15,0,1655418569318,1655418569818,1655418570783,67
1,1.5380330059999998,0.167049693,15,15.8203125,15,40,1655418564153,1655418548332.6875,2.5,3,14,0,1655418584323,1655418584822,1655418585838,68
1,1.497183057,0.111192865,15,15.8203125,15,40,1655418579153,1655418563332.6875,2.5,3,14,0,1655418599319,1655418599819,1655418600797,69
