RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID
1,5.506027241,0.505997977,15,128.78838630345516,15,90,1656625255002,1656625126213.6138,3,3.2,16,0,1656625320082,1656625320582,1656625325540,34,4
1,6.220947561,0.517331686,15,96.59128972759137,15,80,1656625270002,1656625173410.7102,3,3.2,16,0,1656625335058,1656625335558,1656625341255,35,4
1,5.437532516999999,0.2706537,15,72.44346729569352,15,60,1656625285002,1656625212558.5327,3,3.2,16,1,1656625350202,1656625351202,1656625355472,36,4
1,1.5323608899999999,0.23852672000000003,15,54.33260047177014,15,50,1656625300002,1656625245669.3994,3,3.2,16,0,1656625365059,1656625365559,1656625366567,37,4
1,1.598384765,0.27480917499999996,15,67.91575058971267,15,60,1656625315002,1656625247086.2495,3,3.2,16,0,1656625380064,1656625380564,1656625381635,38,4
1,1.566626546,0.351232034,15,84.89468823714084,15,70,1656625330002,1656625245107.3118,3,3.2,16,0,1656625395076,1656625395584,1656625396601,39,4
1,4.337210706,0.346955472,15,106.11836029642605,15,80,1656625345002,1656625238883.6396,3,3.2,16,0,1656625410524,1656625411025,1656625414371,40,4
1,2.1230298160000003,0.457101966,15,79.58877022231954,15,60,1656625360002,1656625280413.2297,3,3.2,16,0,1656625425051,1656625425551,1656625427157,41,4
1,2.705009877,0.47242636499999996,15,99.48596277789943,15,70,1656625375002,1656625275516.037,3,3.2,16,0,1656625440060,1656625440560,1656625442740,42,4
1,5.35871219,0.291838059,15,124.35745347237429,15,80,1656625390002,1656625265644.5466,3,3.2,16,0,1656625455323,1656625455823,1656625460399,43,4
1,5.967409103,0.502896244,15,93.26809010428072,15,70,1656625405002,1656625311733.91,3,3.2,16,0,1656625470072,1656625470572,1656625476006,44,4
1,5.627595581,0.213987731,15,69.95106757821054,15,60,1656625420002,1656625350050.9324,3,3.2,16,0,1656625485230,1656625485730,1656625490667,45,4
