RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES,ESC
1,1.906446272,0.665426442,15,37865.323450608565,15,240,1656873565378,1656835700054.5493,3,3.2,2,0,1656873630459,1656873630960,1656873632324,32,4,undefined
1,1.958838361,0.654672595,15,47331.654313260704,15,240,1656873580378,1656826248723.6868,3,3.2,2,0,1656873645475,1656873645975,1656873647376,33,4,undefined
1,1.870415577,0.680592618,15,59164.567891575876,15,240,1656873595378,1656814430810.1084,3,3.2,2,0,1656873660462,1656873660963,1656873662288,34,4,undefined
1,1.910794558,0.67607205,15,65536,15,240,1656873610378,1656808074378,3,3.2,2,0,1656873675468,1656873675968,1656873677329,35,4,undefined
1,1.82189863,0.667581338,15,65536,15,240,1656873625378,1656808089378,3,3.2,2,0,1656873690463,1656873690964,1656873692240,36,4,undefined
1,2.142013647,0.765197503,15,65536,15,240,1656873640378,1656808104378,3,3.2,2,0,1656873705465,1656873705966,1656873707561,37,4,undefined
1,1.8628196909999999,0.681426135,15,65536,15,240,1656873655378,1656808119378,3,3.2,2,0,1656873720458,1656873720959,1656873722283,38,4,undefined
1,1.8385007660000001,0.666535628,15,65536,15,240,1656873670378,1656808134378,3,3.2,2,0,1656873735468,1656873735969,1656873737259,39,4,undefined
1,1.8466884259999998,0.6730169469999999,15,65536,15,240,1656873685378,1656808149378,3,3.2,2,0,1656873750457,1656873750958,1656873752267,40,4,undefined
1,1.817500793,0.7014686920000001,15,65536,15,240,1656873700378,1656808164378,3,3.2,2,0,1656873765463,1656873765964,1656873767238,41,4,undefined
1,1.842995131,0.671932211,15,65536,15,240,1656873715378,1656808179378,3,3.2,2,0,1656873780471,1656873780972,1656873782264,42,4,undefined
1,1.807731092,0.658921226,15,65536,15,240,1656873730378,1656808194378,3,3.2,2,0,1656873795464,1656873795965,1656873797229,43,4,undefined
1,1.811004794,0.652206941,15,65536,15,240,1656873745378,1656808209378,3,3.2,2,0,1656873810461,1656873810962,1656873812232,44,4,undefined
1,1.851784767,0.665849594,15,65536,15,240,1656873760378,1656808224378,3,3.2,2,0,1656873825465,1656873825966,1656873827273,45,4,undefined
