TIMESTAMP,ESC1_Time,ESC2_Time,ESC1_Time_A,ESC2_Time_A,ESC1_Window,ESC2_Window
1658399213258,2.647380276,,0.037295800999999996,,30,,
1658399228258,2.7191827600000003,,0.0910705,,30,,
1658399243258,2.717794344,,0.093253333,,30,,
1658399258258,2.7216247979999997,,0.09808755200000001,,30,,
1658399273258,2.731432958,,0.10089335099999999,,30,,
1658399288258,2.739681838,,0.103711705,,30,,
1658399303258,2.740872685,,0.10064023500000001,,30,,
1658399318258,2.738978247,,0.102759659,,30,,
1658399333258,2.740703856,,0.095840203,,30,,
1658399348258,2.753449743,,0.10114569600000001,,30,,
1658399363258,2.743429424,,0.113133018,,30,,
1658399378258,2.744536715,,0.097413377,,30,,
1658399393258,2.737686913,,0.099862207,,30,,
1658399408258,2.747614887,,0.09713999200000001,,30,,
1658399423258,2.740234543,,0.09952662,,30,,
1658399438258,2.743323949,,0.10120169799999999,,30,,
1658399453258,2.750208798,,0.106274426,,30,,
1658399468258,2.727219446,,0.097137903,,30,,
1658399483258,2.75057164,,0.098011791,,30,,
1658399498258,2.730326047,,0.09929571699999999,,30,,
1658399513258,2.738308626,,0.097610067,,30,,
1658399528258,2.740508066,,0.09905713000000001,,30,,
1658399543258,2.7463917970000002,,0.099958227,,30,,
1658399558258,2.7462223960000003,,0.099001779,,30,,
1658399573258,2.744391244,,0.095578735,,30,,
1658399588258,2.740302894,,0.097880546,,30,,
1658399603258,2.755570281,,0.10096673199999999,,30,,
1658399618258,2.735722431,,0.1009075,,30,,
1658399633258,2.7406287430000003,,0.106244198,,30,,
1658399648258,2.748107601,,0.098993909,,30,,
1658399663258,2.745591375,,0.09741043,,30,,
1658399678258,2.737395223,,0.094470461,,30,,
1658399693258,2.7253824289999997,,0.116351715,,30,,
1658399708258,2.737632529,,0.107631634,,30,,
1658399723258,2.7336686909999997,,0.09621573,,30,,
1658399738258,2.7683203450000002,,0.125497496,,30,,
1658399753258,2.741105808,,0.097254041,,30,,
1658399768258,2.732533597,,0.101089789,,30,,
1658399783258,2.729162609,,0.09493918700000001,,30,,
1658399213414,,2.615776255,,0.043744313,,30,
1658399228414,,2.690962168,,0.095977536,,30,
1658399243414,,2.69355604,,0.099417918,,30,
1658399258414,,2.699904932,,0.106523338,,30,
1658399273414,,2.71229707,,0.11442698500000001,,30,
1658399288414,,2.7249951500000003,,0.100553327,,30,
1658399303414,,2.731790763,,0.10108811799999999,,30,
1658399318414,,2.7302863090000002,,0.11132601,,30,
1658399333414,,2.733225833,,0.099651046,,30,
1658399348414,,2.747369201,,0.100531655,,30,
1658399363414,,2.737976038,,0.10116502699999999,,30,
1658399378414,,2.736890147,,0.09613544,,30,
1658399393414,,2.732232572,,0.10974882700000001,,30,
1658399408414,,2.739941436,,0.122847762,,30,
1658399423414,,2.7314356039999996,,0.101739769,,30,
1658399438414,,2.739131279,,0.109311938,,30,
1658399453414,,2.7415407839999997,,0.09872420200000001,,30,
1658399468414,,2.7217120020000003,,0.096552317,,30,
1658399483414,,2.741659498,,0.097312353,,30,
1658399498414,,2.7257144429999998,,0.098992382,,30,
1658399513414,,2.7351378530000003,,0.097073637,,30,
1658399528414,,2.738116921,,0.115821227,,30,
1658399543414,,2.7420902959999998,,0.09878433099999999,,30,
1658399558414,,2.739757321,,0.09679776300000001,,30,
1658399573414,,2.732445368,,0.116199631,,30,
1658399588414,,2.733545259,,0.09982071999999999,,30,
1658399603414,,2.747025596,,0.099652779,,30,
1658399618414,,2.73218338,,0.10902753,,30,
1658399633414,,2.7381150389999998,,0.098157275,,30,
1658399648414,,2.738467478,,0.09964408500000001,,30,
1658399663414,,2.7393027310000004,,0.09913507099999999,,30,
1658399678414,,2.733839466,,0.12085639199999999,,30,
1658399693414,,2.721044234,,0.09300001399999999,,30,
1658399708414,,2.736440716,,0.09707388,,30,
1658399723414,,2.729198914,,0.095918886,,30,
1658399738414,,2.763842313,,0.11631077000000001,,30,
1658399753414,,2.737250735,,0.096088962,,30,
1658399768414,,2.728291819,,0.094893537,,30,
1658399783414,,2.72594716,,0.099006156,,30,
