RESPONSES,TOTAL_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING
1,2.576572279,10,60,11,1,1654036496453,1654036436453,2590,2600,3
1,2.576572279,10,75,11,3,1654036506453,1654036431453,2590,2600,3
1,2.631894812,10,93.75,11,4,1654036516453,1654036422703,2590,2600,3
1,2.350853077,10,70.3125,11,5,1654036526453,1654036456140.5,2590,2600,3
1,1.030359606,10,87.890625,11,5,1654036536453,1654036448562.375,2590,2600,3
1,0.9721801950000001,10,109.86328125,11,7,1654036546453,1654036436589.7188,2590,2600,3
1,1.004507863,10,137.3291015625,11,8,1654036556453,1654036419123.8984,2590,2600,3
1,0.940102303,10,171.661376953125,11,9,1654036566453,1654036394791.623,2590,2600,3
1,1.9678323720000002,10,214.57672119140625,11,10,1654036576453,1654036361876.2788,2590,2600,3
1,2.548955127,10,268.2209014892578,11,10,1654036586453,1654036318232.0986,2590,2600,4
1,1.074966792,10,335.27612686157227,11,13,1654036596453,1654036261176.873,2590,2600,4
1,2.174254203,10,419.09515857696533,11,14,1654036606453,1654036187357.8413,2590,2600,4
1,1.4146336240000001,10,523.8689482212067,11,15,1654036616453,1654036092584.0518,2590,2600,4
1,2.618293095,10,654.8361852765083,11,16,1654036626453,1654035971616.8147,2590,2600,4
1,2.618293095,10,491.12713895738125,11,17,1654036636453,1654036145325.861,2590,2600,3
1,2.255856713,10,368.34535421803594,11,18,1654036646453,1654036278107.6458,2590,2600,3
1,2.6354989300000002,10,460.4316927725449,11,19,1654036656453,1654036196021.3071,2590,2600,3
1,2.6397432469999997,10,345.3237695794087,11,20,1654036666453,1654036321129.2305,2590,2600,3
