RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,HOOK_DATA_RETRIES,INIT_EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES
1,2.116272313,0.036610891,30,90,30,10,1658771875994,1658771785994,3,3.2,1,0,0,31943,795576620,1658771923660,0,4
1,2.138307494,0.066232173,30,90,30,20,1658771905994,1658771815994,3,3.2,1,0,0,31973,797478746,1658771953706,1,4
1,2.157684922,0.095921905,30,90,30,30,1658771935994,1658771845994,3,3.2,1,0,0,32003,810102053,1658771983755,2,4
1,2.177810794,0.128346859,30,90,30,40,1658771965994,1658771875994,3,3.2,1,0,0,32033,808689004,1658772013795,3,4
1,2.1909678318,0.122951824,30,90,30,40,1658771995994,1658771905994,3,3.2,1,0,0,32063,817938591,1658772043810,4,4
1,2.2171103852,0.12851717199999999,30,90,30,40,1658772025994,1658771935994,3,3.2,1,0,0,32093,820388348,1658772073815,5,4
1,2.232894043,0.12470111,30,90,30,40,1658772055994,1658771965994,3,3.2,1,0,0,32123,828849648,1658772103816,6,4
1,2.2427037374,0.127260066,30,90,30,40,1658772085994,1658771995994,3,3.2,1,0,0,32153,834223202,1658772133828,7,4
1,2.2412408164,0.125726851,30,90,30,40,1658772115994,1658772025994,3,3.2,1,0,0,32183,838721162,1658772163818,8,4
1,2.2390680898,0.12322218700000001,30,90,30,40,1658772145994,1658772055994,3,3.2,1,0,0,32213,836209088,1658772193817,9,4
1,2.0717570452000005,0.12023254,30,90,30,40,1658772175994,1658772085994,3,3.2,1,0,0,32243,835686018,1658772222994,10,4
1,2.0734996106,0.130668428,30,90,30,40,1658772205994,1658772115994,3,3.2,2,0,0,32273,838383750,1658772253834,11,4
1,2.070375594,0.12167866,30,90,30,40,1658772235994,1658772145994,3,3.2,2,0,0,32303,843130593,1658772283821,12,4
1,2.0688602296,0.121943127,30,90,30,40,1658772265994,1658772175994,3,3.2,2,0,0,32333,847238562,1658772313819,13,4
1,2.0670929404,0.120917367,30,90,30,40,1658772295994,1658772205994,3,3.2,2,0,0,32363,844667170,1658772343817,14,4
1,2.2294426572,0.11792409999999999,30,90,30,40,1658772325994,1658772235994,3,3.2,2,0,0,32393,850322685,1658772373820,15,4
1,2.2244316324,0.12149336599999999,30,90,30,40,1658772355994,1658772265994,3,3.2,2,0,0,32423,850369426,1658772403821,16,4
1,2.2244369842,0.11898165899999999,30,90,30,40,1658772385994,1658772295994,3,3.2,2,0,0,32453,853211370,1658772433831,17,4
1,2.2249569208,0.12259449600000001,30,90,30,40,1658772415994,1658772325994,3,3.2,2,0,0,32483,856026556,1658772463830,18,4
1,2.2255835784,0.121663898,30,90,30,40,1658772445994,1658772355994,3,3.2,2,0,0,32513,856028480,1658772493831,19,4
1,2.2266351890000005,0.12042568799999999,30,90,30,40,1658772475994,1658772385994,3,3.2,2,0,0,32543,866113167,1658772523842,20,4
