NUMBER_SENSORS,FREQUENCY,TIME_DATA,MIN_TIME,MAX_TIME,AVG_TIME,STD_TIME,SUCCESFUL_CALCULATIONS
1,8,32,8.518435998916626,47.11982500076294,20.11187796884775,8.26762939225815,32
2,8,32,21.11432200050354,182.44434899902345,50.22341715627909,26.20679223409331,32
4,8,32,38.23325400161743,222.63680900001526,132.57858075016736,52.120296629477075,32
8,8,32,118.48346000099183,1009.0037699985504,517.6891894999742,265.4909394404054,32
16,8,32,227.35143899917603,3396.492056001663,1896.6444927001319,837.1327067572129,30
1,8,32,9.132049999237061,50.52653999710083,19.886841031193732,8.557417209782535,32
2,8,32,31.30905000305176,93.16791199874878,53.43030159318448,13.059636057269632,32
4,8,32,41.041115997314456,208.5615769996643,133.74549534368518,50.52993267866794,32
8,8,32,115.52672500228881,1080.6369319992066,534.3244320935012,272.71303956625786,32
16,8,32,285.10103099823,3287.936525997162,1947.6537917501926,851.7806017240215,32
1,8,32,8.764493999481202,70.85145000076294,19.018447187781334,10.176976477515604,32
2,8,32,18.466147998809813,67.20186500167847,48.11403725004195,11.179609970483277,32
4,8,32,50.86894300079346,254.5120069999695,137.00515821874143,54.63375902842648,32
8,8,32,119.34851899719239,1077.5434179992676,521.5132808752061,282.606917302311,32
16,8,32,263.881516002655,3349.4446509971617,2132.9104331998187,901.0803238122826,30
