NUMBER_SENSORS,FREQUENCY,TIME_DATA,MIN_TIME,MAX_TIME,AVG_TIME,STD_TIME,SUCCESFUL_CALCULATIONS
4,8,1,35.42017500114441,237.52243899917602,115.73712253117563,52.22393737267462,32
4,8,2,37.949010999679565,344.23201199913024,122.29276468747855,62.033892791221284,32
4,8,4,39.1033719997406,198.49438600158692,120.66805168747902,50.58051904979158,32
4,8,8,28.33151000022888,432.0080380001068,126.04825775009394,73.94067227137914,32
4,8,16,46.02973100090027,197.8225419998169,124.7365107815266,44.548952383341216,32
4,8,32,47.55521900177002,760.0836510009766,155.0443344373703,118.46162990544406,32
4,8,64,32.92930700111389,232.79153199958802,145.60135793733596,49.84277280462687,32
4,8,1,45.25892499923706,209.7827799987793,121.44710978162291,50.98514052732929,32
4,8,2,29.09122200012207,208.30759099960326,114.85286825001242,50.90099596833169,32
4,8,4,34.00185200119019,505.9755240020752,138.0530955314636,89.30085667990367,32
4,8,8,34.70546599960327,195.84844999694823,115.61659290564059,49.66257152102853,32
4,8,16,54.8315060005188,250.18749100112916,131.7358549685478,50.58829861792768,32
4,8,32,40.99715200042725,220.42289400100708,133.2276625318527,52.487329379962375,32
4,8,64,49.279062000274656,290.7591319999695,149.403620374918,58.42055722219187,32
4,8,1,30.649451999664308,215.6098050003052,123.57269425022604,49.81633632542884,32
4,8,2,25.7702559967041,800.6977669982911,141.0861869686842,132.48523834584213,32
4,8,4,45.63525099945068,201.4495900001526,123.93200756192209,47.0332040947158,32
4,8,8,39.849739002227786,212.8890999984741,120.7570789064169,48.62627673324161,32
4,8,16,35.20599600219727,217.7795999984741,133.57402878165246,51.996804417422766,32
4,8,32,41.66077500152588,225.06135800170898,138.0488915941715,50.996751527358334,32
4,8,64,61.355638000488284,232.90823699951173,158.6390548439026,52.65508198899551,32
