NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL
8,5,0.4070069999694824,[0;0;0;0.031;0;0;0.031;0.093],0.019375
8,3,0.3650590000152588,[0;0;0;0.031;0;0;0.031;0.031],0.011625
8,2,0.42832800102233887,[0;0;0;0.031;0;0;0;0.031],0.00775
8,0,0.5302250003814697,[0;0;0;0;0;0;0;0],0
8,1,0.5424650001525879,[0;0;0;0;0.031;0;0;0],0.003875
8,1,0.5203050003051758,[0;0;0;0;0.031;0;0;0],0.003875
16,0,1.2955209999084472,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],0
16,12,0.6882069988250732,[0.245;0.122;0;0;0;0;0;0;0;0;0;0;0;0;0;0],0.0229375
16,53,0.40484900093078613,[0.615;0.461;0.246;0.185;0.123;0;0;0;0;0;0;0;0;0;0;0],0.10187500000000001
16,110,0.6730669994354248,[0.888;0.704;0.551;0.459;0.337;0.184;0.153;0.092;0;0;0;0;0;0;0;0],0.21050000000000005
16,187,0.4516599998474121,[0.855;0.733;0.885;0.794;0.611;0.488;0.397;0.366;0.275;0.153;0.092;0.061;0;0;0;0],0.35687499999999994
16,236,0.49262300109863283,[0.732;0.671;0.671;0.762;0.762;0.732;0.64;0.549;0.427;0.396;0.335;0.213;0.122;0.091;0.061;0.03],0.449625
16,265,0.5984969997406006,[0.516;0.547;0.668;0.698;0.607;0.638;0.577;0.698;0.547;0.516;0.516;0.425;0.334;0.304;0.273;0.182],0.502875
16,279,0.5308870010375977,[0.246;0.4;0.523;0.523;0.584;0.738;0.676;0.615;0.676;0.615;0.584;0.584;0.553;0.461;0.43;0.369],0.5360625
16,240,0.48939399909973147,[0.03;0.06;0.212;0.333;0.454;0.454;0.514;0.665;0.635;0.544;0.665;0.635;0.544;0.514;0.454;0.544],0.4535625000000001
16,174,0.4880769996643066,[0;0;0;0.061;0.092;0.092;0.306;0.367;0.459;0.52;0.551;0.581;0.581;0.52;0.581;0.612],0.3326875
16,120,0.9797380008697509,[0;0;0;0.03;0.03;0.06;0.06;0.12;0.18;0.33;0.33;0.45;0.45;0.51;0.54;0.51],0.22499999999999998
16,64,0.5540130004882813,[0;0;0;0;0.03;0.03;0;0.061;0.061;0.091;0.183;0.183;0.274;0.335;0.335;0.366],0.12181249999999999
16,27,0.4955669994354248,[0;0;0;0;0;0.03;0;0;0;0.03;0.06;0.06;0.121;0.181;0.121;0.211],0.050875
16,12,0.3768090000152588,[0;0;0;0;0;0;0.03;0;0;0;0;0.03;0.03;0.061;0.091;0.121],0.0226875
16,2,0.39250400161743165,[0;0;0;0;0;0;0;0.03;0;0;0;0;0;0;0.03;0],0.00375
16,1,0.48526499938964845,[0;0;0;0;0;0;0;0;0.03;0;0;0;0;0;0;0],0.001875
32,0,0.7473429985046387,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],0
32,17,0.7230820007324219,[0.244;0.244;0.031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],0.01621875
32,95,0.448753999710083,[0.605;0.545;0.424;0.333;0.272;0.242;0.182;0.151;0.121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],0.08984374999999999
32,167,0.4292119998931885,[0.211;0.361;0.331;0.392;0.301;0.361;0.301;0.301;0.241;0.301;0.301;0.301;0.361;0.271;0.181;0.151;0.12;0.09;0.09;0.06;0;0;0;0;0;0;0;0;0;0;0;0],0.15709375
32,0,0.5427859992980957,[0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0],0

