RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES
1,1.544172778,0.063051235,15,30,15,10,1657546320907,1657546290907,3,3.2,16,0,1657546341060,1657546341560,1657546342592,0,4
1,1.5230353419999998,0.13759584,15,30,15,30,1657546335907,1657546305907,3,3.2,16,0,1657546356062,1657546356563,1657546357570,1,4
1,1.542691558,0.14447921400000002,15,30,15,30,1657546350907,1657546320907,3,3.2,16,0,1657546371063,1657546371563,1657546372590,2,4
1,1.545032193,0.158318768,15,30,15,30,1657546365907,1657546335907,3,3.2,16,0,1657546386062,1657546386562,1657546387592,3,4
1,1.5461456009999999,0.140647531,15,30,15,30,1657546380907,1657546350907,3,3.2,16,0,1657546401061,1657546401562,1657546402593,4,4
1,1.540190658,0.141470497,15,30,15,30,1657546395907,1657546365907,3,3.2,16,0,1657546416062,1657546416562,1657546417587,5,4
1,1.527865193,0.10066092500000001,15,30,15,30,1657546410907,1657546380907,3,3.2,16,0,1657546431062,1657546431563,1657546432575,6,4
1,1.530425008,0.151314684,15,30,15,30,1657546425907,1657546395907,3,3.2,16,0,1657546446061,1657546446561,1657546447578,7,4
1,1.541866911,0.14531892700000001,15,30,15,30,1657546440907,1657546410907,3,3.2,16,0,1657546461061,1657546461561,1657546462589,8,4
1,1.563590379,0.140500609,15,30,15,30,1657546455907,1657546425907,3,3.2,16,0,1657546476061,1657546476562,1657546477611,9,4
1,1.548445272,0.14451276999999998,15,30,15,30,1657546470907,1657546440907,3,3.2,16,0,1657546491063,1657546491563,1657546492596,10,4
1,1.524099786,0.14463171800000002,15,30,15,30,1657546485907,1657546455907,3,3.2,16,0,1657546506066,1657546506566,1657546507572,11,4
1,1.515273047,0.135640775,15,30,15,30,1657546500907,1657546470907,3,3.2,16,0,1657546521062,1657546521563,1657546522564,12,4
1,1.56012802,0.14485439500000002,15,30,15,30,1657546515907,1657546485907,3,3.2,16,0,1657546536062,1657546536562,1657546537608,13,4
1,1.550226312,0.09946200000000001,15,30,15,30,1657546530907,1657546500907,3,3.2,16,0,1657546551062,1657546551562,1657546552598,14,4
1,1.53469162,0.14776540900000001,15,30,15,30,1657546545907,1657546515907,3,3.2,16,0,1657546566062,1657546566562,1657546567583,15,4
1,1.530946114,0.144180349,15,30,15,30,1657546560907,1657546530907,3,3.2,16,0,1657546581064,1657546581565,1657546582580,16,4
1,1.5188930680000001,0.136261882,15,30,15,30,1657546575907,1657546545907,3,3.2,16,0,1657546596062,1657546596563,1657546597568,17,4
1,1.532470763,0.134824745,15,30,15,30,1657546590907,1657546560907,3,3.2,16,0,1657546611063,1657546611564,1657546612582,18,4
1,1.527988345,0.134308173,15,30,15,30,1657546605907,1657546575907,3,3.2,16,0,1657546626064,1657546626564,1657546627578,19,4
1,1.540307515,0.151450055,15,30,15,30,1657546620907,1657546590907,3,3.2,16,0,1657546641065,1657546641566,1657546642591,20,4
1,1.519526089,0.126551936,15,30,15,30,1657546635907,1657546605907,3,3.2,16,0,1657546656065,1657546656565,1657546657570,21,4
1,1.526949905,0.141284818,15,30,15,30,1657546650907,1657546620907,3,3.2,16,0,1657546671064,1657546671564,1657546672577,22,4
1,1.548249813,0.133500914,15,30,15,30,1657546665907,1657546635907,3,3.2,16,0,1657546686064,1657546686564,1657546687598,23,4
1,1.480215292,0.13192895699999999,15,30,15,30,1657546680907,1657546650907,3,3.2,16,0,1657546701064,1657546701565,1657546702530,24,4
