RESPONSES,TOTAL_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID
1,2.485623801,15,15,16,1,1655115329868,1655115314868,2590,2600,3,0,1655115349887,1655115350388,1655115352361,0
1,2.496601622,15,15,16,2,1655115344868,1655115329868,2590,2600,3,0,1655115364888,1655115365388,1655115367372,1
1,2.486012691,15,15,16,2,1655115359868,1655115344868,2590,2600,3,0,1655115379887,1655115380386,1655115382362,2
1,3.0729044250000004,15,15,16,2,1655115374868,1655115359868,2590,2600,3,1,1655115394887,1655115395886,1655115397949,3
1,1.652206614,15,15,16,2,1655115389868,1655115374868,2590,2600,3,0,1655115409886,1655115410386,1655115411528,4
1,2.586607594,15,15,16,2,1655115404868,1655115389868,2590,2600,4,0,1655115424887,1655115425387,1655115427462,5
1,1.595047016,15,15,16,2,1655115419868,1655115404868,2590,2600,4,0,1655115439889,1655115440389,1655115441470,6
1,2.501335653,15,15,16,2,1655115434868,1655115419868,2590,2600,4,0,1655115454886,1655115455386,1655115457376,7
1,2.494039717,15,15,16,2,1655115449868,1655115434868,2590,2600,3,0,1655115469890,1655115470390,1655115472370,8
1,2.4784990509999996,15,15,16,2,1655115464868,1655115449868,2590,2600,3,0,1655115484888,1655115485388,1655115487355,9
