RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES,ESC
1,2.7325997980000003,0.036409707,15,30,15,10,1656879268288,1656879238288,3,3.2,16,0,1656879573324,1656879573824,1656879576043,0,4,governifyoti_gc_ans11
1,0.952223635,0.063128568,15,37.5,15,20,1656879283288,1656879245788,3,3.2,16,0,1656879588324,1656879588824,1656879589263,1,4,governifyoti_gc_ans11
1,1.071084857,0.09343373599999999,15,46.875,15,30,1656879298288,1656879251413,3,3.2,16,0,1656879603334,1656879603834,1656879604382,2,4,governifyoti_gc_ans11
1,1.111061168,0.10829317399999999,15,58.59375,15,40,1656879313288,1656879254694.25,3,3.2,16,0,1656879618475,1656879618976,1656879619422,3,4,governifyoti_gc_ans11
1,1.211112453,0.131779586,15,73.2421875,15,50,1656879328288,1656879255045.8125,3,3.2,16,0,1656879633349,1656879633849,1656879634529,4,4,governifyoti_gc_ans11
1,1.1938947530000001,0.18473073099999998,15,91.552734375,15,60,1656879343288,1656879251735.2656,3,3.2,16,0,1656879648348,1656879648847,1656879649513,5,4,governifyoti_gc_ans11
1,1.3821601559999999,0.322866029,15,114.44091796875,15,70,1656879358288,1656879243847.082,3,3.2,16,0,1656879663348,1656879663847,1656879664705,6,4,governifyoti_gc_ans11
1,1.726168557,0.474930633,15,143.0511474609375,15,80,1656879373288,1656879230236.8525,3,3.2,16,0,1656879678637,1656879679138,1656879680048,7,4,governifyoti_gc_ans11
1,2.636262035,0.318818157,15,178.81393432617188,15,90,1656879388288,1656879209474.0657,3,3.2,16,0,1656879693417,1656879693918,1656879695960,8,4,governifyoti_gc_ans11
1,3.503374057,0.327968936,15,223.51741790771484,15,100,1656879403288,1656879179770.582,3,3.2,16,0,1656879708467,1656879708986,1656879711827,9,4,governifyoti_gc_ans11
1,4.356945755,0.600674532,15,167.63806343078613,15,110,1656879418288,1656879250649.9365,3,3.2,16,0,1656879724080,1656879724581,1656879727681,10,4,governifyoti_gc_ans11
1,4.093528179,0.40115318,15,125.7285475730896,15,90,1656879433288,1656879307559.4524,3,3.2,16,0,1656879738935,1656879739434,1656879742419,11,4,governifyoti_gc_ans11
1,2.275378758,0.280355683,15,94.2964106798172,15,70,1656879448288,1656879353991.5894,3,3.2,16,0,1656879753379,1656879753880,1656879755602,12,4,governifyoti_gc_ans11
1,2.0918945079999998,0.36640754,15,117.8705133497715,15,80,1656879463288,1656879345417.4866,3,3.2,16,0,1656879768361,1656879768861,1656879770419,13,4,governifyoti_gc_ans11
1,5.5479848149999995,0.468293833,15,147.33814168721437,15,90,1656879478288,1656879330949.8584,3,3.2,16,0,1656879783371,1656879783871,1656879788875,14,4,governifyoti_gc_ans11
1,5.685930373,0.273979702,15,110.50360626541078,15,80,1656879493288,1656879382784.3938,3,3.2,16,0,1656879799360,1656879799860,1656879804013,15,4,governifyoti_gc_ans11
1,4.411263022,0.28931961,15,82.87770469905809,15,70,1656879508288,1656879425410.2954,3,3.2,16,0,1656879814261,1656879814762,1656879817738,16,4,governifyoti_gc_ans11
1,1.517519806,0.251833904,15,62.158278524293564,15,50,1656879523288,1656879461129.7214,3,3.2,16,0,1656879828685,1656879829186,1656879829846,17,4,governifyoti_gc_ans11
1,3.939169861,0.31824870800000005,15,77.69784815536696,15,60,1656879538288,1656879460590.1519,3,3.2,16,0,1656879843845,1656879844350,1656879847266,18,4,governifyoti_gc_ans11
1,1.58947387,0.255415573,15,58.27338611652522,15,50,1656879553288,1656879495014.6138,3,3.2,16,0,1656879858379,1656879858885,1656879859917,19,4,governifyoti_gc_ans11
1,4.327052464,0.341075606,15,72.84173264565652,15,60,1656879568288,1656879495446.2673,3,3.2,16,0,1656879874268,1656879874767,1656879877654,20,4,governifyoti_gc_ans11
1,4.429802574,0.238041169,15,54.63129948424239,15,50,1656879583288,1656879528656.7004,3,3.2,16,0,1656879889184,1656879889685,1656879892757,21,4,governifyoti_gc_ans11
1,3.269501439,0.248558267,15,40.97347461318179,15,40,1656879598288,1656879557314.5254,3,3.2,16,0,1656879903349,1656879903849,1656879906596,22,4,governifyoti_gc_ans11
1,4.568143762,0.116919087,15,30.730105959886345,15,30,1656879613288,1656879582557.894,3,3.2,16,0,1656879918366,1656879918867,1656879922898,23,4,governifyoti_gc_ans11
1,4.292135568,0.169362022,15,23.04757946991476,15,30,1656879628288,1656879605240.4204,3,3.2,16,0,1656879933797,1656879934303,1656879937621,24,4,governifyoti_gc_ans11
1,1.30614304,0.137252916,15,17.28568460243607,15,20,1656879643288,1656879626002.3154,3,3.2,16,0,1656879948706,1656879949207,1656879949635,25,4,governifyoti_gc_ans11
1,4.3236100219999996,0.194250121,15,21.60710575304509,15,30,1656879658288,1656879636680.8943,3,3.2,16,0,1656879963746,1656879964246,1656879967653,26,4,governifyoti_gc_ans11
1,1.551874646,0.114823384,15,16.205329314783818,15,20,1656879673288,1656879657082.6707,3,3.2,16,0,1656879978857,1656879979359,1656879979882,27,4,governifyoti_gc_ans11
1,4.372128833,0.145078483,15,20.256661643479774,15,20,1656879688288,1656879668031.3384,3,3.2,16,0,1656879994001,1656879994507,1656879997702,28,4,governifyoti_gc_ans11
1,4.291744307,0.143834967,15,15.19249623260983,15,20,1656879703288,1656879688095.5037,3,3.2,16,0,1656880008849,1656880009350,1656880012622,29,4,governifyoti_gc_ans11
1,4.518657359,0.11959252,15,15.19249623260983,15,20,1656879718288,1656879703095.5037,3,3.2,16,0,1656880024131,1656880024630,1656880027850,30,4,governifyoti_gc_ans11
1,4.243546682,0.15666992600000001,15,15.19249623260983,15,20,1656879733288,1656879718095.5037,3,3.2,16,0,1656880039004,1656880039515,1656880042574,31,4,governifyoti_gc_ans11
1,4.297275169,0.099438202,15,15.19249623260983,15,20,1656879748288,1656879733095.5037,3,3.2,16,0,1656880053869,1656880054371,1656880057628,32,4,governifyoti_gc_ans11
