RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,HOOK_DATA_RETRIES,INIT_EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES
1,2.114844015,0.034657638,30,90,30,10,1658772231132,1658772141132,3,3.2,2,0,0,32298,908015376,1658772278771,0,4
1,2.134865294,0.062985141,30,90,30,20,1658772261132,1658772171132,3,3.2,2,0,0,32328,909182398,1658772308812,1,4
1,2.152980484,0.09330406499999999,30,90,30,30,1658772291132,1658772201132,3,3.2,2,0,0,32358,917859899,1658772338855,2,4
1,2.176225861,0.13018081799999998,30,90,30,40,1658772321132,1658772231132,3,3.2,2,0,0,32388,919978247,1658772368914,3,4
1,2.1911177887999997,0.13388978299999998,30,90,30,40,1658772351132,1658772261132,3,3.2,2,0,0,32418,912957574,1658772398912,4,4
1,2.2168550195999996,0.129003846,30,90,30,40,1658772381132,1658772291132,3,3.2,2,0,0,32448,915094692,1658772428907,5,4
1,2.2305212284,0.12129756500000001,30,90,30,40,1658772411132,1658772321132,3,3.2,2,0,0,32478,915652529,1658772458887,6,4
1,2.2385124463999997,0.12325382500000001,30,90,30,40,1658772441132,1658772351132,3,3.2,2,0,0,32508,922501705,1658772488900,7,4
1,2.2356261880000003,0.121928997,30,90,30,40,1658772471132,1658772381132,3,3.2,2,0,0,32538,931939367,1658772518911,8,4
1,2.231754398,0.119641487,30,90,30,40,1658772501132,1658772411132,3,3.2,2,0,0,32568,935399282,1658772548915,9,4
1,2.2308277434,0.12256936399999999,30,90,30,40,1658772531132,1658772441132,3,3.2,2,0,0,32598,946144385,1658772578933,10,4
1,2.2337629304,0.118940305,30,90,30,40,1658772561132,1658772471132,3,3.2,2,0,0,32628,953276675,1658772608939,11,4
1,2.2327254088000004,0.118883339,30,90,30,40,1658772591132,1658772501132,3,3.2,2,0,0,32658,957247635,1658772638929,12,4
1,2.2336000966000005,0.121436921,30,90,30,40,1658772621132,1658772531132,3,3.2,2,0,0,32688,968903437,1658772668953,13,4
1,2.2338194386000003,0.11827637,30,90,30,40,1658772651132,1658772561132,3,3.2,2,0,0,32718,975147285,1658772698956,14,4
1,2.2311136599999997,0.118344609,30,90,30,40,1658772681132,1658772591132,3,3.2,2,0,0,32748,979993860,1658772728953,15,4
1,2.2294177496000005,0.11958922400000001,30,90,30,40,1658772711132,1658772621132,3,3.2,2,0,0,32778,989593246,1658772758967,16,4
1,2.2301423962,0.11681884,30,90,30,40,1658772741132,1658772651132,3,3.2,2,0,0,32808,998268206,1658772788974,17,4
1,2.2296700448,0.122559003,30,90,30,40,1658772771132,1658772681132,3,3.2,2,0,0,32839,3290007,1658772818985,18,4
