RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES
1,1.634100242,0.036154201999999996,15,30,15,10,1658424095361,1658424065361,3,3.2,2,0,1658424115388,1658424115889,1658424117009,0,4
1,1.647390923,0.087856938,15,30,15,30,1658424110361,1658424080361,3,3.2,2,0,1658424130393,1658424130894,1658424132025,1,4
1,1.6455522169999999,0.090407854,15,30,15,30,1658424125361,1658424095361,3,3.2,2,0,1658424145397,1658424145898,1658424147028,2,4
1,1.6276182719999999,0.089900535,15,30,15,30,1658424140361,1658424110361,3,3.2,2,0,1658424160407,1658424160908,1658424162015,3,4
1,1.6302489949999999,0.089281525,15,30,15,30,1658424155361,1658424125361,3,3.2,2,0,1658424175403,1658424175904,1658424177017,4,4
1,1.6299463299999999,0.089214071,15,30,15,30,1658424170361,1658424140361,3,3.2,2,0,1658424190412,1658424190913,1658424192022,5,4
1,1.6340681320000001,0.082834306,15,30,15,30,1658424185361,1658424155361,3,3.2,2,0,1658424205409,1658424205910,1658424207027,6,4
1,1.6334935149999998,0.08838998499999999,15,30,15,30,1658424200361,1658424170361,3,3.2,2,0,1658424220418,1658424220919,1658424222031,7,4
1,1.626073611,0.08238167,15,30,15,30,1658424215361,1658424185361,3,3.2,2,0,1658424235413,1658424235914,1658424237024,8,4
1,1.626954706,0.086881832,15,30,15,30,1658424230361,1658424200361,3,3.2,2,0,1658424250422,1658424250923,1658424252029,9,4
1,1.618743466,0.08867836800000001,15,30,15,30,1658424245361,1658424215361,3,3.2,2,0,1658424265422,1658424265923,1658424267024,10,4
1,1.610738366,0.08522284999999999,15,30,15,30,1658424260361,1658424230361,3,3.2,2,0,1658424280430,1658424280930,1658424282022,11,4
1,1.6106155249999998,0.085830615,15,30,15,30,1658424275361,1658424245361,3,3.2,2,0,1658424295443,1658424295944,1658424297026,12,4
1,1.611801783,0.082623831,15,30,15,30,1658424290361,1658424260361,3,3.2,2,0,1658424310434,1658424310934,1658424312031,13,4
1,1.596124221,0.088526209,15,30,15,30,1658424305361,1658424275361,3,3.2,2,0,1658424325438,1658424325939,1658424327019,14,4
1,1.6089706000000001,0.082577121,15,30,15,30,1658424320361,1658424290361,3,3.2,2,0,1658424340447,1658424340948,1658424342037,15,4
1,1.605080038,0.082746354,15,30,15,30,1658424335361,1658424305361,3,3.2,2,0,1658424355444,1658424355945,1658424357033,16,4
1,1.5978774040000001,0.083077929,15,30,15,30,1658424350361,1658424320361,3,3.2,2,0,1658424370448,1658424370949,1658424372029,17,4
1,1.606628788,0.084422951,15,30,15,30,1658424365361,1658424335361,3,3.2,2,0,1658424385447,1658424385947,1658424387039,18,4
1,1.606896294,0.08720616699999999,15,30,15,30,1658424380361,1658424350361,3,3.2,2,0,1658424400456,1658424400957,1658424402042,19,4
1,1.584833193,0.082250996,15,30,15,30,1658424395361,1658424365361,3,3.2,2,0,1658424415455,1658424415956,1658424417024,20,4
