RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID
1,1.2250689769999998,0.034021317,15,30,15,10,1656624101783,1656624071783,3,3.2,16,0,1656624811844,1656624812345,1656624813057,0,4
1,1.1384002880000001,0.06490003500000001,15,37.5,15,20,1656624116783,1656624079283,3,3.2,16,0,1656624826844,1656624827344,1656624827970,1,4
1,1.184773958,0.090958837,15,46.875,15,30,1656624131783,1656624084908,3,3.2,16,0,1656624841852,1656624842352,1656624843017,2,4
1,1.264575612,0.108754182,15,58.59375,15,40,1656624146783,1656624088189.25,3,3.2,16,0,1656624857029,1656624857529,1656624858097,3,4
1,1.312738999,0.13479971000000002,15,73.2421875,15,50,1656624161783,1656624088540.8125,3,3.2,16,0,1656624871890,1656624872391,1656624873147,4,4
1,1.372602283,0.19224274700000002,15,91.552734375,15,60,1656624176783,1656624085230.2656,3,3.2,16,0,1656624886939,1656624887439,1656624888206,5,4
1,1.87177445,0.21504638399999998,15,114.44091796875,15,70,1656624191783,1656624077342.082,3,3.2,16,0,1656624901994,1656624902495,1656624903705,6,4
1,2.320854639,0.262222848,15,143.0511474609375,15,80,1656624206783,1656624063731.8525,3,3.2,16,0,1656624916874,1656624917374,1656624919155,7,4
1,2.823094924,0.313542182,15,178.81393432617188,15,90,1656624221783,1656624042969.0657,3,3.2,16,0,1656624932126,1656624932630,1656624934663,8,4
1,4.249751841999999,0.42856087200000004,15,223.51741790771484,15,100,1656624236783,1656624013265.582,3,3.2,16,0,1656624947388,1656624947889,1656624951091,9,4
1,5.768741296999999,0.418058011,15,167.63806343078613,15,110,1656624251783,1656624084144.9365,3,3.2,16,0,1656624962661,1656624963161,1656624967609,10,4
1,3.098780232,0.345159762,15,125.7285475730896,15,90,1656624266783,1656624141054.4524,3,3.2,16,0,1656624976882,1656624977382,1656624979939,11,4
1,2.773693444,0.299640872,15,125.7285475730896,15,90,1656624281783,1656624156054.4524,3,3.2,16,0,1656624991875,1656624992375,1656624994614,12,4
