TIMESTAMP,ESC1_Time,ESC2_Time,ESC3_Time,ESC4_Time,ESC5_Time,ESC6_Time,ESC7_Time,ESC8_Time,ESC9_Time,ESC10_Time,ESC11_Time,ESC12_Time,ESC13_Time,ESC14_Time,ESC15_Time,ESC16_Time,ESC1_Time_A,ESC2_Time_A,ESC3_Time_A,ESC4_Time_A,ESC5_Time_A,ESC6_Time_A,ESC7_Time_A,ESC8_Time_A,ESC9_Time_A,ESC10_Time_A,ESC11_Time_A,ESC12_Time_A,ESC13_Time_A,ESC14_Time_A,ESC15_Time_A,ESC16_Time_A,ESC1_Window,ESC2_Window,ESC3_Window,ESC4_Window,ESC5_Window,ESC6_Window,ESC7_Window,ESC8_Window,ESC9_Window,ESC10_Window,ESC11_Window,ESC12_Window,ESC13_Window,ESC14_Window,ESC15_Window,ESC16_Window
1657542986164,3.220404352,,,,,,,,,,,,,,,,0.42376786,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
1657543001164,1.2206129410000002,,,,,,,,,,,,,,,,0.25209437700000004,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
1657543016164,3.291496843,,,,,,,,,,,,,,,,0.49371157,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
1657543031164,3.151336084,,,,,,,,,,,,,,,,0.36812258800000003,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
1657543046164,1.274480484,,,,,,,,,,,,,,,,0.431421585,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
1657543061164,1.214555484,,,,,,,,,,,,,,,,0.327881052,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
1657543076164,3.185347926,,,,,,,,,,,,,,,,0.396807804,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
1657543091164,1.2205704800000001,,,,,,,,,,,,,,,,0.29118330099999995,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
1657543106164,3.165139177,,,,,,,,,,,,,,,,0.30915297199999997,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
1657543121164,3.360200086,,,,,,,,,,,,,,,,0.49124309699999996,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
1657543136164,3.258118782,,,,,,,,,,,,,,,,0.47797677,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
1657543151164,1.2241149660000001,,,,,,,,,,,,,,,,0.387435627,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
1657543166164,3.177955319,,,,,,,,,,,,,,,,0.430207487,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
1657543181164,3.2402638109999997,,,,,,,,,,,,,,,,0.49321014100000005,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
1657543196164,3.2916137229999998,,,,,,,,,,,,,,,,0.43286100099999997,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
1657543211164,3.2536573979999996,,,,,,,,,,,,,,,,0.45999348700000003,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
1657543226164,3.279219717,,,,,,,,,,,,,,,,0.402345484,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
