RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID,GUARANTEES
1,0.8871454569999999,0.128403387,15,30,15,10,1657880984439,1657880954439,3,3.2,16,0,1657881004573,1657881005087,1657881005436,0,4
1,2.410262683,0.290958321,15,30,15,30,1657880999439,1657880969439,3,3.2,16,0,1657881019627,1657881020135,1657881021965,1,4
1,2.888491498,0.329051406,15,30,15,30,1657881014439,1657880984439,3,3.2,16,0,1657881034625,1657881035134,1657881037450,2,4
1,3.019407804,0.309363899,15,30,15,30,1657881029439,1657880999439,3,3.2,16,0,1657881049619,1657881050123,1657881052583,3,4
1,2.86845849,0.298684466,15,30,15,30,1657881044439,1657881014439,3,3.2,16,0,1657881064636,1657881065136,1657881067432,4,4
1,2.9757361479999997,0.273485557,15,30,15,30,1657881059439,1657881029439,3,3.2,16,0,1657881079623,1657881080126,1657881082540,5,4
1,2.544306379,0.19124380700000002,15,30,15,30,1657881074439,1657881044439,3,3.2,16,0,1657881094626,1657881095128,1657881097126,6,4
1,3.090059222,0.34417984,15,30,15,30,1657881089439,1657881059439,3,3.2,16,0,1657881109829,1657881110333,1657881112671,7,4
1,2.776994186,0.37071916299999996,15,30,15,30,1657881104439,1657881074439,3,3.2,16,0,1657881124636,1657881125139,1657881127358,8,4
1,2.897070124,0.345255719,15,30,15,30,1657881119439,1657881089439,3,3.2,16,0,1657881139635,1657881140135,1657881142492,9,4
1,2.519560995,0.246523783,15,30,15,30,1657881134439,1657881104439,3,3.2,16,0,1657881154625,1657881155125,1657881157119,10,4
1,2.790448153,0.4578836,15,30,15,30,1657881149439,1657881119439,3,3.2,16,0,1657881169647,1657881170148,1657881172390,11,4
1,2.940796824,0.31048141900000004,15,30,15,30,1657881164439,1657881134439,3,3.2,16,0,1657881184645,1657881185148,1657881187539,12,4
1,2.608541557,0.270586791,15,30,15,30,1657881179439,1657881149439,3,3.2,16,0,1657881199655,1657881200157,1657881202208,13,4
1,2.8445159039999997,0.37094558699999997,15,30,15,30,1657881194439,1657881164439,3,3.2,16,0,1657881214650,1657881215154,1657881217444,14,4
1,2.911507528,0.43696104100000005,15,30,15,30,1657881209439,1657881179439,3,3.2,16,0,1657881229676,1657881230185,1657881232512,15,4
1,2.872155195,0.22480651499999998,15,30,15,30,1657881224439,1657881194439,3,3.2,16,0,1657881244711,1657881245218,1657881247472,16,4
1,2.7701783829999997,0.316103479,15,30,15,30,1657881239439,1657881209439,3,3.2,16,0,1657881259642,1657881260146,1657881262381,17,4
1,2.917880696,0.37800149800000005,15,30,15,30,1657881254439,1657881224439,3,3.2,16,0,1657881274664,1657881275170,1657881277530,18,4
1,2.908211405,0.232502209,15,30,15,30,1657881269439,1657881239439,3,3.2,16,0,1657881289688,1657881290188,1657881292520,19,4
1,2.9204684160000003,0.282157065,15,30,15,30,1657881284439,1657881254439,3,3.2,16,0,1657881304721,1657881305231,1657881307532,20,4
1,2.98701557,0.235259739,15,30,15,30,1657881299439,1657881269439,3,3.2,16,0,1657881319650,1657881320151,1657881322605,21,4
1,2.83384011,0.350721619,15,30,15,30,1657881314439,1657881284439,3,3.2,16,0,1657881334694,1657881335197,1657881337451,22,4
1,3.0031482890000003,0.295433759,15,30,15,30,1657881329439,1657881299439,3,3.2,16,0,1657881349724,1657881350224,1657881352620,23,4
1,2.5706159939999997,0.152995756,15,30,15,30,1657881344439,1657881314439,3,3.2,16,0,1657881364677,1657881365179,1657881367188,24,4
1,3.023507006,0.329858842,15,30,15,30,1657881359439,1657881329439,3,3.2,16,0,1657881379774,1657881380275,1657881382644,25,4
1,2.837151381,0.258852632,15,30,15,30,1657881374439,1657881344439,3,3.2,16,0,1657881394766,1657881395266,1657881397459,26,4
1,2.908396901,0.14605570499999998,15,30,15,30,1657881389439,1657881359439,3,3.2,16,0,1657881409726,1657881410226,1657881412529,27,4
1,2.980648505,0.299319188,15,30,15,30,1657881404439,1657881374439,3,3.2,16,0,1657881424782,1657881425290,1657881427603,28,4
1,2.8857629659999997,0.393193826,15,30,15,30,1657881419439,1657881389439,3,3.2,16,0,1657881439728,1657881440231,1657881442509,29,4
1,3.026307894,0.365632836,15,30,15,30,1657881434439,1657881404439,3,3.2,16,0,1657881454677,1657881455179,1657881457651,30,4
1,2.8971161320000003,0.315506343,15,30,15,30,1657881449439,1657881419439,3,3.2,16,0,1657881469685,1657881470196,1657881472521,31,4
1,2.8971265629999996,0.24434785199999998,15,30,15,30,1657881464439,1657881434439,3,3.2,16,0,1657881484743,1657881485244,1657881487523,32,4
1,2.883301622,0.174041935,15,30,15,30,1657881479439,1657881449439,3,3.2,16,0,1657881499771,1657881500273,1657881502517,33,4
1,2.852522795,0.218601781,15,30,15,30,1657881494439,1657881464439,3,3.2,16,0,1657881514765,1657881515265,1657881517490,34,4
1,2.884456377,0.316333537,15,30,15,30,1657881509439,1657881479439,3,3.2,16,0,1657881529725,1657881530239,1657881532522,35,4
1,2.925291918,0.258132606,15,30,15,30,1657881524439,1657881494439,3,3.2,16,0,1657881544663,1657881545164,1657881547563,36,4
1,2.91902441,0.272984665,15,30,15,30,1657881539439,1657881509439,3,3.2,16,0,1657881559792,1657881560295,1657881562560,37,4
1,2.9665934390000004,0.268925329,15,30,15,30,1657881554439,1657881524439,3,3.2,16,0,1657881574684,1657881575184,1657881577611,38,4
1,2.889244679,0.211476245,15,30,15,30,1657881569439,1657881539439,3,3.2,16,0,1657881589732,1657881590235,1657881592534,39,4
1,2.929540249,0.345775798,15,30,15,30,1657881584439,1657881554439,3,3.2,16,0,1657881604742,1657881605242,1657881607574,40,4
1,3.0067132809999997,0.31135494599999997,15,30,15,30,1657881599439,1657881569439,3,3.2,16,0,1657881619701,1657881620209,1657881622652,41,4
1,2.908405112,0.323363149,15,30,15,30,1657881614439,1657881584439,3,3.2,16,0,1657881634745,1657881635254,1657881637554,42,4
1,3.456825286,0.211800407,15,30,15,30,1657881629439,1657881599439,3,3.2,16,0,1657881649731,1657881650240,1657881653102,43,4
1,2.8849418260000004,0.178686715,15,30,15,30,1657881644439,1657881614439,3,3.2,16,0,1657881664819,1657881665322,1657881667530,44,4
1,2.897595414,0.142503054,15,30,15,30,1657881659439,1657881629439,3,3.2,16,0,1657881679822,1657881680325,1657881682543,45,4
1,2.950981784,0.18666272,15,30,15,30,1657881674439,1657881644439,3,3.2,16,0,1657881694819,1657881695321,1657881697596,46,4
1,3.1888557580000003,0.236239936,15,30,15,30,1657881689439,1657881659439,3,3.2,16,0,1657881709675,1657881710175,1657881712836,47,4
1,2.870209203,0.17277124800000002,15,30,15,30,1657881704439,1657881674439,3,3.2,16,0,1657881724792,1657881725298,1657881727525,48,4
