RESPONSES,TOTAL_TIME,ANALYSIS_TIME,FREQUENCY,TIME_DATA,FREQUENCY_DATA,RESPONSES_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME,CURRENT_ESC_RUNNING,ANALYSIS_RETRIES,INIT_EXEC_TIME,EXEC_TIME,FINAL_EXEC_TIME,ID
1,1.33993213,0.033554825999999996,15,30,15,10,1656624624807,1656624594807,3,3.2,16,0,1656624809831,1656624810331,1656624811160,0,4
1,1.513900152,0.060300201000000005,15,37.5,15,20,1656624639807,1656624602307,3,3.2,16,0,1656624824832,1656624825332,1656624826334,1,4
1,1.583650808,0.089206299,15,46.875,15,30,1656624654807,1656624607932,3,3.2,16,0,1656624839918,1656624840418,1656624841403,2,4
1,1.632445097,0.120743702,15,58.59375,15,40,1656624669807,1656624611213.25,3,3.2,16,0,1656624854845,1656624855345,1656624856452,3,4
1,1.757806435,0.191715916,15,73.2421875,15,50,1656624684807,1656624611564.8125,3,3.2,16,0,1656624869916,1656624870416,1656624871579,4,4
1,1.753164,0.272585474,15,91.552734375,15,60,1656624699807,1656624608254.2656,3,3.2,16,0,1656624885067,1656624885571,1656624886574,5,4
1,2.15949768,0.30655555500000004,15,114.44091796875,15,70,1656624714807,1656624600366.082,3,3.2,16,0,1656624899845,1656624900346,1656624901981,6,4
1,2.635423639,0.402460635,15,143.0511474609375,15,80,1656624729807,1656624586755.8525,3,3.2,16,0,1656624914896,1656624915396,1656624917457,7,4
1,2.830437382,0.589899177,15,178.81393432617188,15,90,1656624744807,1656624565993.0657,3,3.2,16,0,1656624930361,1656624930863,1656624932652,8,4
1,4.493051777,0.761939333,15,223.51741790771484,15,100,1656624759807,1656624536289.582,3,3.2,16,0,1656624945483,1656624945986,1656624949314,9,4
1,4.794407568,0.557703943,15,167.63806343078613,15,110,1656624774807,1656624607168.9365,3,3.2,16,0,1656624959919,1656624960419,1656624964619,10,4
